Fund Holdings as of,"2026/08/20"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"6857","ADVANTEST","Electric Appliances","Equity","15,837,744,000.00","2.68","15,837,744,000.00","447,900.00","35,360.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8411","MIZUHO FINANCIAL GROUP","Banks","Equity","13,269,910,500.00","2.24","13,269,910,500.00","1,641,300.00","8,085.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9984","SOFTBANK GROUP","Information & Communication","Equity","12,530,162,000.00","2.12","12,530,162,000.00","2,326,000.00","5,387.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8035","TOKYO ELECTRON","Electric Appliances","Equity","12,192,314,000.00","2.06","12,192,314,000.00","225,700.00","54,020.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8316","SUMITOMO MITSUI FINANCIAL GROUP","Banks","Equity","11,970,015,600.00","2.02","11,970,015,600.00","1,828,600.00","6,546.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6098","RECRUIT HOLDINGS LTD","Services","Equity","11,209,473,500.00","1.89","11,209,473,500.00","694,300.00","16,145.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8306","MITSUBISHI UFJ FINANCIAL GROUP","Banks","Equity","10,813,222,400.00","1.83","10,813,222,400.00","3,121,600.00","3,464.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6981","MURATA MANUFACTURING","Electric Appliances","Equity","10,228,938,500.00","1.73","10,228,938,500.00","1,419,700.00","7,205.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8058","MITSUBISHI","Wholesale Trade","Equity","10,167,309,600.00","1.72","10,167,309,600.00","2,165,100.00","4,696.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8031","MITSUI","Wholesale Trade","Equity","10,054,521,400.00","1.70","10,054,521,400.00","2,106,100.00","4,774.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
