ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2236,Global X S&P 500 Dividend Aristocrats ETF,3629251.27687,4700000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,ALBEMARLE CORP,US0126531013,XNYS,USD,5044.038348,134.19
,ABBOTT LABORATORIES,US0028241000,XNYS,USD,5890.840642,114.14
,ABBVIE INC,US00287Y1091,XNYS,USD,2339.109878,261.83
,AFLAC INC,US0010551028,XNYS,USD,4794.352643,116.17
,AIR PRODUCTS & CHEMICALS INC,US0091581068,XNYS,USD,1994.582317,300.33
,AMCOR PLC,JE00BV7DQ550,XNYS,USD,13711.42274,47.81
,SMITH (A.O.) CORP,US8318652091,XNYS,USD,9982.589325,62.43
,ARCHER-DANIELS-MIDLAND CO,US0394831020,XNYS,USD,6785.063864,81.7
,ATMOS ENERGY CORP,US0495601058,XNYS,USD,3319.464991,169.52
,AUTOMATIC DATA PROCESSING,US0530151036,XNAS,USD,2436.855057,279.21
,BECTON DICKINSON AND CO,US0758871091,XNYS,USD,3868.192877,187.62
,BROWN & BROWN INC,US1152361010,XNYS,USD,9060.300656,72.08
,BROWN-FORMAN CORP-CLASS B,US1156372096,XNYS,USD,22433.97025,28.41
,CARDINAL HEALTH INC,US14149Y1082,XNYS,USD,2686.540762,228.46
,CATERPILLAR INC,US1491231015,XNYS,USD,665.828546,815.39
,CHEVRON CORP,US1667641005,XNYS,USD,3069.779286,205.77
,CHUBB LTD,CH0044328745,XNYS,USD,1726.508905,342.87
,CHURCH & DWIGHT CO INC,US1713401024,XNYS,USD,6099.879837,97.41
,CINCINNATI FINANCIAL CORP,US1720621010,XNAS,USD,3305.916154,168.19
,CINTAS CORP,US1729081059,XNAS,USD,2942.033112,203.52
,CLOROX COMPANY,US1890541097,XNYS,USD,6186.979501,106.04
,COCA-COLA CO/THE,US1912161007,XNYS,USD,7207.981124,90.5
,COLGATE-PALMOLIVE CO,US1941621039,XNYS,USD,6465.698428,89.7
,CONSOLIDATED EDISON INC,US2091151041,XNYS,USD,5285.981861,108.31
,DOVER CORP,US2600031080,XNYS,USD,2762.027138,199.88
,ECOLAB INC,US2788651006,XNYS,USD,2220.07367,281.48
,EMERSON ELECTRIC CO,US2910111044,XNYS,USD,4242.721435,154.72
,EXPEDITORS INTL WASH INC,US3021301094,XNYS,USD,3338.820472,186.4
,FRANKLIN RESOURCES INC,US3546131018,XNYS,USD,18297.70396,33.97
,GENERAL DYNAMICS CORP,US3695501086,XNYS,USD,1588.117216,386.07
,GENUINE PARTS CO,US3724601055,XNYS,USD,4922.098818,132.92
,HORMEL FOODS CORP,US4404521001,XNYS,USD,23501.42503,24.08
,ILLINOIS TOOL WORKS,US4523081093,XNYS,USD,2162.975001,282.74
,INTERNATIONAL BUSINESS MACHINES CORP,US4592001014,XNYS,USD,2879.127798,233.69
,JOHNSON & JOHNSON,US4781601046,XNYS,USD,2317.818849,267.37
,KIMBERLY-CLARK CORP,US4943681035,XNAS,USD,5441.793483,108.69
,LOWES COS INC,US5486611073,XNYS,USD,2899.451053,217.34
,MCCORMICK & CO-NON VTG SHRS,US5797802064,XNYS,USD,11389.73279,55.22
,MCDONALDS CORP,US5801351017,XNYS,USD,2248.139118,269.13
,MEDTRONIC PLC,IE00BTN1Y115,XNYS,USD,7235.078797,92.3
,NEXTERA ENERGY INC,US65339F1012,XNYS,USD,6626.34892,85.03
,NUCOR CORP,US6703461052,XNYS,USD,2511.373659,240.48
