ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2243,Global X Semiconductor ETF,-3370700933.0,9480000,20260626

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
INTC,INTEL CORP,US4581401001,XNAS,USD,100425,131.65
NVDA,NVIDIA CORP,US67066G1040,XNAS,USD,163637,199.0
NXPI,NXP SEMICONDUCTOR NV,NL0009538784,XNAS,USD,27646,294.06
ON,ON SEMICONDUCTOR CORPORATION,US6821891057,XNAS,USD,42914,115.74
QCOM,QUALCOMM INC,US7475251036,XNAS,USD,45880,197.41
COHR,COHERENT CORP,US19247G1076,XNYS,USD,21422,392.5
,ASML HOLDING NV-NY REG SHS,USN070592100,XNAS,USD,7141,1762.77
ENTG,ENTEGRIS INC,US29362U1043,XNAS,USD,16699,171.46
GFS,GLOBALFOUNDRIES INC,KYG393871085,XNAS,USD,60124,83.7
LRCX,LAM RESEARCH CORP,US5128073062,XNAS,USD,36195,374.8
MRVL,MARVELL TECHNOLOGY INC,US5738741041,XNAS,USD,56179,276.7
MCHP,MICROCHIP TECHNOLOGY INC,US5950171042,XNAS,USD,59358,92.48
MU,MICRON TECHNOLOGY INC,US5951121038,XNAS,USD,23721,1048.51
MPWR,MONOLITHIC POWER SYSTEMS INC,US6098391054,XNAS,USD,5379,1434.95
QRVO,QORVO INC,US74736K1016,XNAS,USD,9637,97.18
SWKS,SKYWORKS SOLUTIONS INC,US83088M1027,XNAS,USD,16469,71.4
TSM,TAIWAN SEMICONDUCTOR-SP ADR,US8740391003,XNYS,USD,27522,440.83
TER,TERADYNE INC,US8807701029,XNAS,USD,17141,427.2
AMD,ADVANCED MICRO DEVICES,US0079031078,XNAS,USD,22315,519.74
AVGO,BROADCOM INC,US11135F1012,XNAS,USD,64444,382.07
KLAC,KLA CORP,US4824801009,XNAS,USD,59930,240.48
TXN,TEXAS INSTRUMENTS INC,US8825081040,XNAS,USD,37676,303.11
ADI,ANALOG DEVICES INC,US0326541051,XNAS,USD,27828,413.16
AMAT,APPLIED MATERIALS INC,US0382221051,XNAS,USD,25589,588.97
RMBS,RAMBUS INC,US7509171069,XNAS,USD,11841,124.52
ARM,ARM HOLDINGS ADR,US0420682058,XNAS,USD,15476,359.08
MTSI,MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC,US55405Y1001,XNAS,USD,8354,373.08
ALAB,ASTERA LABS INC,US04626A1034,XNAS,USD,18769,399.92
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,KYG254571055,XNAS,USD,20197,268.99
NVMI,NOVA LTD,IL0010845571,XNAS,USD,3482,521.93
SOXQ,INVESCO PHLX SEMICONDUCTOR ETF,US46138G6153,XNAS,USD,1423,105.84
,nan,CASHUSDJPY01,,USD,23905431.98,0.006179705
,PHLX EMINI Semico Sep26,,CME,USD,9.0,13587
,2026-06-26,FORWARD,,USD,-1595000.0,0.0061805
,2026-06-29,FORWARD,,USD,-14380000.0,0.006188471
,2026-06-26,FORWARD,,USD,-4850000.0,0.006188612
