ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2565,Global X Logistics J-REIT ETF,230036667.0,27357026,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2979,SOSILA LOGISTICS REIT INC,JP3048960003,TSE,JPY,4577,102000.0
3249,IND & INFRA FU/D,JP3046500009,TSE,JPY,16741,137900.0
3281,GLP J-REIT/D,JP3047510007,TSE,JPY,30177,138800.0
3283,NIPPON PROLOGIS REIT INC,JP3047550003,TSE,JPY,47214,86300.0
3292,AEON REIT INVESTMENT CORPORATION,JP3047650001,TSE,JPY,1594,120100.0
3462,NOMURA REAL ESTATE MASTER FUND INC,JP3048110005,TSE,JPY,4183,149500.0
3466,LASALLE LOGIPORT REIT,JP3048180008,TSE,JPY,11500,148800.0
3471,MITSUI FUDOSAN LOGISTICS PARK INC,JP3048300002,TSE,JPY,20250,106100.0
3481,MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORP,JP3048480002,TSE,JPY,9341,119300.0
3487,CRE LOGISTICS REIT INC,JP3048680007,TSE,JPY,3859,134300.0
8954,ORIX JREIT INC ORD,JP3040880001,TSE,JPY,5231,100000.0
8960,UNITED URBAN INV CORP (REIT) ORD,JP3045540006,TSE,JPY,3026,160600.0
8967,JAPAN LOGISTICS FUND INC ORD,JP3046230003,TSE,JPY,18181,95200.0
8972,KENEDIX OFFICE INVESTMENT CORP,JP3046270009,TSE,JPY,3829,149900.0
8984,DAIWA HOUSE REIT INVESTMENT CORP,JP3046390005,TSE,JPY,28555,119600.0
,TSE-REIT FUTURES SEP.2026,,OSE,JPY,221.0,1786
