ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2641,Global X Japan Global Leaders ETF,280960959.0,32287968,20260810

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
3382,SEVEN & I HOLDINGS CO LTD ORD,JP3422950000,TSE,JPY,1203900,2097.5
4502,TAKEDA PHARMACEUTICAL,JP3463000004,TSE,JPY,836000,5540.0
4568,DAIICHI SANKYO CO LTD ORD,JP3475350009,TSE,JPY,1079700,2752.0
6098,RECRUIT HOLDINGS CO LTD,JP3970300004,TSE,JPY,694800,13165.0
6367,DAIKIN INDUSTRIES LTD ORD,JP3481800005,TSE,JPY,190300,22210.0
6501,HITACHI LTD,JP3788600009,TSE,JPY,2894100,5620.0
6503,MITSUBISHI ELECTRIC CORP,JP3902400005,TSE,JPY,1234800,5826.0
6758,SONY GROUP CORP,JP3435000009,TSE,JPY,3154400,3721.0
6981,MURATA MANUFACTURING LTD ORD,JP3914400001,TSE,JPY,1083900,7263.0
7011,MITSUBISHI HEAVY INDUSTRIES LTD,JP3900000005,TSE,JPY,2105400,4044.0
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,4906900,2980.0
7267,HONDA MOTOR,JP3854600008,TSE,JPY,2373100,1683.0
7751,CANON INC,JP3242800005,TSE,JPY,530300,4635.0
7974,NINTENDO CO LTD,JP3756600007,TSE,JPY,574700,8043.0
8002,MARUBENI CORP ORD,JP3877600001,TSE,JPY,1187300,5024.0
8015,TOYOTA TSUSHO CORP ORD,JP3635000007,TSE,JPY,431900,7424.0
8031,MITSUI & CO LTD,JP3893600001,TSE,JPY,2074900,4933.0
8053,SUMITOMO,JP3404600003,TSE,JPY,2874900,1788.0
8058,MITSUBISHI CORP,JP3898400001,TSE,JPY,2046600,4868.0
9983,FAST RETAILING CO LTD ORD,JP3802300008,TSE,JPY,123800,79310.0
,TOPIX FUTURES SEP.2026,,OSE,JPY,7.0,4073
