ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
282A,Global X Japan Semiconductor Top 10 ETF,42719718.0,6605285,20260806

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
285A,KIOXIA HLDG CORP ORD,JP3236330001,TSE,JPY,36800,54300.0
3436,SUMCO CORP,JP3322930003,TSE,JPY,115600,3756.0
4063,SHIN-ETSU CHEMICAL CO LTD,JP3371200001,TSE,JPY,258400,6163.0
6146,DISCO CORP ORD,JP3548600000,TSE,JPY,31500,63740.0
6525,KOKUSAI ELECTRIC CORP,JP3293330001,TSE,JPY,77100,8488.0
6723,RENESAS ELECTRONICS CORP,JP3164720009,TSE,JPY,551300,3813.0
6857,ADVANTEST CORP ORD,JP3122400009,TSE,JPY,95100,33720.0
6920,LASERTEC CORP,JP3979200007,TSE,JPY,26700,46680.0
7735,SCREEN HOLDINGS CO LTD,JP3494600004,TSE,JPY,53600,13690.0
8035,TOKYO ELECTRON LTD ORD,JP3571400005,TSE,JPY,38900,58550.0
,225-MINI FUTURES SEP.2026,,OSE,JPY,6.0,66340
