ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2864,Global X Logistics REIT ETF,-1040168.0,75000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,GOODMAN GROUP ORD UNIT,AU000000GMG2,XASX,AUD,6024,28.78
,CENTURIA INDUSTRIAL REIT,AU000000CIP0,XASX,AUD,3023,2.99
,BWP GROUP,AU000000BWP3,XASX,AUD,3801,3.72
,DREAM INDUSTRIAL REAL ESTATE,CA26153W1095,XTSE,CAD,1356,14.11
,GRANITE REAL ESTATE INVESTMENT TRUST,CA3874372053,XTSE,CAD,294,90.97
,WAREHOUSES DE PAUW SCA,BE0974349814,XBRU,EUR,1164,21.1
,MONTEA NV,BE0003853703,XBRU,EUR,113,66.0
,TRITAX BIG BOX REIT PLC,GB00BG49KP99,XLON,GBP,13140,1.58
,MAPLETREE LOGISTICS TRUST,SG1S03926213,XSES,SGD,24800,1.17
,FRASERS LOGISTICS & COMMERCIAL,SG1CI9000006,XSES,SGD,18400,0.94
,AIMS APAC REIT MANAGEMENT LTD,SG2D63974620,XSES,SGD,4000,1.47
,REXFORD INDUSTRIAL REALTY IN,US76169C1009,XNYS,USD,1093,37.05
,AMERICOLD REALTY TRUST,US03064D1081,XNYS,USD,1381,15.02
,FIRST INDUSTRIAL REALTY TR,US32054K1034,XNYS,USD,642,62.62
,PROLOGIS INC,US74340W1036,XNYS,USD,900,140.68
,STAG INDUSTRIAL INC,US85254J1025,XNYS,USD,926,36.37
,TERRENO REALTY CORP,US88146M1018,XNYS,USD,515,68.4
,INNOVATIVE INDUSTRIAL PROPER,US45781V1017,XNYS,USD,139,56.73
,LXP INDUSTRIAL TRUST,US5290434084,XNYS,USD,285,60.88
,LINEAGE ORD,US53566V1061,XNAS,USD,1102,41.46
,nan,CASHUSDJPY01,,USD,1846.64,0.006283775
,nan,CASHSGDJPY01,,SGD,694.0,0.007989773
,nan,CASHGBPJPY01,,GBP,376.94,0.004606808
,nan,CASHEURJPY01,,EUR,270.52,0.005378078
,nan,CASHCADJPY01,,CAD,628.23,0.008658008
,nan,CASHAUDJPY01,,AUD,1866.6,0.008821453
