Fund Holdings as of,"2026/08/20"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"BAI","ISHARES A.I. AND TECH ACTIVE CL1","Other","Equity","13,289,757,685.20","99.95","13,289,757,685.20","1,881,169.00","7,065.08","United States","NYSE Arca","JPY","0.01","USD"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","5,535,942.00","0.04","5,535,942.00","5,535,942.00","100.00","Japan","-","JPY","1.00","JPY"
"USD","USD CASH","Cash and/or Derivatives","Cash","807,067.39","0.01","807,067.39","5,085.00","15,873.02","United States","-","JPY","0.01","USD"
 
Fund Holdings as of,"2026/08/19"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"MU","MICRON TECHNOLOGY","Information Technology","Equity","833,315,589.98","6.32","833,315,589.98","937,152.00","-","United States","NASDAQ","JPY","-","USD"
"NVDA","NVIDIA","Information Technology","Equity","688,055,286.45","5.22","688,055,286.45","3,332,981.00","-","United States","NASDAQ","JPY","-","USD"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","633,028,890.29","4.80","633,028,890.29","1,430,325.00","-","United States","NASDAQ","JPY","-","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","614,322,182.11","4.66","614,322,182.11","1,786,078.00","-","United States","NASDAQ","JPY","-","USD"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","603,550,934.39","4.58","603,550,934.39","1,543,514.00","-","Taiwan","New York Stock Exchange Inc.","JPY","-","USD"
"LRCX","LAM RESEARCH","Information Technology","Equity","552,259,027.59","4.19","552,259,027.59","1,894,755.00","-","United States","NASDAQ","JPY","-","USD"
"2383","ELITE MATERIAL","Information Technology","Equity","421,433,302.91","3.20","421,433,302.91","2,417,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"SNOW","SNOWFLAKE","Information Technology","Equity","377,298,069.26","2.86","377,298,069.26","1,223,422.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"000660","SK HYNIX","Information Technology","Equity","377,263,807.89","2.86","377,263,807.89","370,539.00","-","Korea (South)","Korea Exchange (Stock Market)","JPY","-","KRW"
"SPCX","SPACE EXPLORATION TECHNOLOGIES COR","Communication","Equity","374,261,984.75","2.84","374,261,984.75","2,824,378.00","-","United States","NASDAQ","JPY","-","USD"
"GOOGL","ALPHABET CLASS A","Communication","Equity","362,954,414.82","2.75","362,954,414.82","1,109,619.00","-","United States","NASDAQ","JPY","-","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","360,394,036.26","2.73","360,394,036.26","821,940.00","-","United States","NASDAQ","JPY","-","USD"
"LITE","LUMENTUM HOLDINGS","Information Technology","Equity","355,791,152.94","2.70","355,791,152.94","453,068.00","-","United States","NASDAQ","JPY","-","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","346,066,194.76","2.62","346,066,194.76","3,930,069.00","-","United States","NASDAQ","JPY","-","USD"
"3037","UNIMICRON TECHNOLOGY","Information Technology","Equity","334,614,990.61","2.54","334,614,990.61","9,986,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"SNDK","SANDISK","Information Technology","Equity","319,944,535.41","2.43","319,944,535.41","214,920.00","-","United States","NASDAQ","JPY","-","USD"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","311,864,123.00","2.37","311,864,123.00","1,385,193.00","-","United States","NASDAQ","JPY","-","USD"
"3017","ASIA VITAL COMPONENTS","Information Technology","Equity","300,663,290.41","2.28","300,663,290.41","3,276,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"TSEM","TOWER SEMICONDUCTOR","Information Technology","Equity","296,762,765.18","2.25","296,762,765.18","1,381,038.00","-","Israel","NASDAQ","JPY","-","USD"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","294,734,755.60","2.24","294,734,755.60","1,322,770.00","-","United States","NASDAQ","JPY","-","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","270,717,535.03","2.05","270,717,535.03","1,073,212.00","-","United States","NASDAQ","JPY","-","USD"
"2308","DELTA ELECTRONICS","Information Technology","Equity","267,814,542.78","2.03","267,814,542.78","5,117,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"MSFT","MICROSOFT","Information Technology","Equity","256,257,919.03","1.94","256,257,919.03","557,626.00","-","United States","NASDAQ","JPY","-","USD"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","253,401,047.85","1.92","253,401,047.85","1,432,305.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","229,112,371.81","1.74","229,112,371.81","1,197,515.00","-","United States","NASDAQ","JPY","-","USD"
"CRWV","COREWEAVE CLASS A","Information Technology","Equity","224,626,767.79","1.70","224,626,767.79","2,605,127.00","-","United States","NASDAQ","JPY","-","USD"
"3711","ASE TECHNOLOGY HOLDING","Information Technology","Equity","206,427,391.44","1.57","206,427,391.44","11,839,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","201,665,060.97","1.53","201,665,060.97","590,754.00","-","United States","NASDAQ","JPY","-","USD"
