1593,MAXIS JPX日経インデックス400上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（ＭＡＸＩＳ　ＪＰＸ－Ｎｉｋｋｅｉ４００）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),1182958398471 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,98.77%,,,,
Future contracts*,先物組入比率(Future contracts)*,1.23%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,1.23%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),401 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
1,1332,ニッスイ　　　　　　　　　　　　　　　　,NISSUI CORPORATION                                                              ,383900 ,492927600 ,0.04%
2,1414,ショーボンドホールディングス　　　　　　,"SHO-BOND HOLDINGS CO.,LTD.                                                      ",250400 ,315253600 ,0.03%
3,1518,三井松島ホールディングス　　　　　　　　,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.                                             ",52300 ,120813000 ,0.01%
4,1605,ＩＮＰＥＸ　　　　　　　　　　　　　　　,INPEX CORPORATION                                                               ,1439700 ,5598993300 ,0.47%
5,1662,石油資源開発　　　　　　　　　　　　　　,"JAPAN PETROLEUM EXPLORATION CO.,LTD.                                            ",264500 ,507046500 ,0.04%
6,1719,安藤・間　　　　　　　　　　　　　　　　,HAZAMA ANDO CORPORATION                                                         ,227700 ,438094800 ,0.04%
7,1721,コムシスホールディングス　　　　　　　　,COMSYS HOLDINGS CORPORATION                                                     ,134900 ,733856000 ,0.06%
8,1801,大成建設　　　　　　　　　　　　　　　　,TAISEI CORPORATION                                                              ,223900 ,2860322500 ,0.24%
9,1802,大林組　　　　　　　　　　　　　　　　　,OBAYASHI CORPORATION                                                            ,949200 ,2894110800 ,0.24%
10,1803,清水建設　　　　　　　　　　　　　　　　,SHIMIZU CORPORATION                                                             ,819400 ,1955498100 ,0.17%
11,1808,長谷工コーポレーション　　　　　　　　　,HASEKO CORPORATION                                                              ,267500 ,777488750 ,0.07%
