Fund Holdings as of,2026/08/21
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
IVV,ISHARES CORE S&P ETF TRUST,Financials,Equity,"79,854,509,455.85",98.80,"79,854,509,455.85","652,975.00","122,306.84",United States,NYSE Arca,JPY,0.01,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"1,176,856,919.32",1.46,"1,176,856,919.32","7,403,245.00","15,898.25",United States,-,JPY,0.01,USD
USD,USD/JPY,Cash and/or Derivatives,Forwards,"797,657,622.21",0.99,"797,657,622.21","-532,659,514.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"30,422,084.93",0.04,"30,422,084.93","26,886,509.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"21,999,000.69",0.03,"21,999,000.69","13,365,128.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"9,827,373.16",0.01,"9,827,373.16","-6,796,247.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"7,853,283.44",0.01,"7,853,283.44","4,377,527.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"5,211,081.13",0.01,"5,211,081.13","-4,284,900.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"1,263,600.48",0.00,"1,263,600.48","2,318,533.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"1,109,836.07",0.00,"1,109,836.07","2,043,897.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"957,694.50",0.00,"957,694.50","-3,150,000.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,FX,"911,625.12",0.00,"911,625.12","-7,226,517.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"773,652.00",0.00,"773,652.00","550,000.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"301,735.00",0.00,"301,735.00","700,000.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"241,040.70",0.00,"241,040.70","-535,646.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"-990,032.83",0.00,"-990,032.83","7,226,517.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"-1,125,012.80",0.00,"-1,125,012.80","-800,436.00",1.00,Japan,-,JPY,0.01,JPY
USD,USD/JPY,Cash and/or Derivatives,Forwards,"-1,529,249.23",0.00,"-1,529,249.23","3,901,146.00",1.00,Japan,-,JPY,0.01,JPY
JPY,JPY CASH,Cash and/or Derivatives,Cash,"-1,079,464,803.00",-1.34,"-1,079,464,803.00","-1,079,464,803.00",100.00,Japan,-,JPY,1.00,JPY
 
