ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2564,Global X MSCI SuperDividend Japan ETF,356373328.0,21502726,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1419,TAMA HOME CO LTD,JP3470900006,TSE,JPY,775600,3095.0
167A,RYOYO RYOSAN HOLDINGS INC,JP3975410006,TSE,JPY,1040600,3110.0
2146,UT GROUP CO LTD,JP3949500007,TSE,JPY,15534500,231.0
4023,KUREHA CORP,JP3271600003,TSE,JPY,740700,4455.0
4114,NIPPON SHOKUBAI CO LTD,JP3715200006,TSE,JPY,1358700,2633.0
4928,NOEVIR HOLDING CO,JP3760450001,TSE,JPY,647300,4875.0
5192,MITSUBOSHI BELTI,JP3904000001,TSE,JPY,710600,4360.0
5451,YODOGAWA STEEL WORKS LTD,JP3959400007,TSE,JPY,2336000,1411.0
5938,LIXIL GROUP CORP,JP3626800001,TSE,JPY,1687500,1756.0
6737,EIZO CORP.,JP3651080008,TSE,JPY,1160300,3005.0
7148,FINANCIAL PRODUCTS GROUP CO LTD,JP3166990006,TSE,JPY,1821600,1660.0
7177,GMO FINANCIAL HOLDINGS INC,JP3386550002,TSE,JPY,2647900,1126.0
7261,MAZDA MOTOR CORP ORD,JP3868400007,TSE,JPY,2619400,1207.5
7267,HONDA MOTOR,JP3854600008,TSE,JPY,2082800,1753.0
7278,EXEDY CORP ORD,JP3161160001,TSE,JPY,476400,6170.0
8097,SAN-AI OBBLI CO LTD,JP3323600001,TSE,JPY,1291600,2414.0
8130,SANGETSU CO LTD ORD,JP3330000005,TSE,JPY,930500,3180.0
8219,AOYAMA TRADING CO LTD ORD,JP3106200003,TSE,JPY,3905300,762.0
8595,JAFCO GROUP CO LTD,JP3389900006,TSE,JPY,1236200,2299.0
8601,DAIWA SECURITIES GROUP INC ORD,JP3502200003,TSE,JPY,1874800,1779.0
8616,TOKAI TOKYO FINANCIAL HOLDINGS ORD,JP3577600004,TSE,JPY,4000300,853.0
8628,MATSUI SECURITIES CO LTD ORD,JP3863800003,TSE,JPY,2946500,1109.0
8963,INVINCIBLE INVESTMENT CORP,JP3046190009,TSE,JPY,46142,60600.0
8985,JAPAN HOTEL REIT INVESTMENT,JP3046400002,TSE,JPY,36792,80800.0
9744,MEITEC GROUP HOLDINGS INC,JP3919200000,TSE,JPY,910500,3339.0
,TOPIX FUTURES SEP.2026,,OSE,JPY,9.0,4076
