ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2637,Global X CleanTech Japan ETF,8044747.0,451065,20260619

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1407,WEST HOLDING,JP3154750008,TSE,JPY,3400,2308.0
1813,FUDO TETRA CORP,JP3825600004,TSE,JPY,1200,2652.0
1926,RAITO KOGYO CO LTD,JP3965800000,TSE,JPY,3300,4020.0
1965,TECHNO RYOWA LTD,JP3545040002,TSE,JPY,1300,5930.0
4022,RASA INDUSTRIES LTD,JP3967400007,TSE,JPY,2400,2326.0
5332,TOTO LTD,JP3596200000,TSE,JPY,12200,8262.0
5602,KURIMOTO LTD,JP3270800000,TSE,JPY,4700,1468.0
5711,MITSUBISHI MATERIALS CORP,JP3903000002,TSE,JPY,9600,4901.0
5714,DOWA HOLDINGS (MINING) CO LTD ORD,JP3638600001,TSE,JPY,4500,9745.0
5857,ARE HOLDINGS INC,JP3116700000,TSE,JPY,5800,3190.0
5938,LIXIL GROUP CORP,JP3626800001,TSE,JPY,21100,1721.0
5943,NORITZ CORP ORD,JP3759400009,TSE,JPY,3600,2237.0
5947,RINNAI CORP ORD,JP3977400005,TSE,JPY,10400,3433.0
6005,MIURA CO LTD ORD,JP3880800002,TSE,JPY,9200,3143.0
6254,NOMURA MICRO SCIENCE CO LTD,JP3762950008,TSE,JPY,2000,5070.0
6361,EBARA CORP ORD,JP3166000004,TSE,JPY,20500,6694.0
6363,TORISHIMA PUM,JP3636600003,TSE,JPY,1800,3025.0
6367,DAIKIN INDUSTRIES LTD ORD,JP3481800005,TSE,JPY,4700,23795.0
6368,ORGANO CORP,JP3201600008,TSE,JPY,2300,18395.0
6370,KURITA WATER INDUSTRIES LTD,JP3270000007,TSE,JPY,8500,9537.0
6376,NIKKISO CO LTD,JP3668000007,TSE,JPY,5100,3945.0
6458,SINKO INDUSTRIES,JP3372800007,TSE,JPY,4400,1249.0
6490,NIPPON PILLAR PACKING CO LTD,JP3747800005,TSE,JPY,1500,10390.0
6516,SANYO DENKI,JP3340800006,TSE,JPY,2900,6760.0
6617,TAKAOKA TOKO CO LTD,JP3591600006,TSE,JPY,800,7910.0
6622,DAIHEN CORP,JP3497800007,TSE,JPY,1800,18240.0
6644,OSAKI ELECTRIC CO LTD,JP3187600006,TSE,JPY,3400,1476.0
6651,NITTO KOGYO CORPORATION,JP3682400001,TSE,JPY,3000,4520.0
6674,GS YUASA CORP,JP3385820000,TSE,JPY,7400,6717.0
6768,TAMURA CORP,JP3471000004,TSE,JPY,6100,1006.0
6976,TAIYO YUDEN CO LTD ORD,JP3452000007,TSE,JPY,9600,19860.0
6981,MURATA MANUFACTURING LTD ORD,JP3914400001,TSE,JPY,28300,11745.0
6996,NICHICON CORP ORD,JP3661800007,TSE,JPY,5100,4705.0
7456,MATSUDA SANGYO CO LTD,JP3868500004,TSE,JPY,1600,6420.0
9247,TRE HOLDINGS CORP,JP3538540000,TSE,JPY,3900,1993.0
9336,DAIEI KANKYO CO LTD,JP3480470008,TSE,JPY,6100,3765.0
9519,RENOVA INC,JP3981200003,TSE,JPY,6700,831.0
9551,METAWATER CO LTD,JP3921260000,TSE,JPY,3200,3455.0
9793,DAISEKI CO LTD,JP3485600005,TSE,JPY,3500,3895.0
9960,TOTECH CORP,JP3595300009,TSE,JPY,2600,3955.0
,225-MINI FUTURES SEP.2026,,OSE,JPY,1.0,71240
