ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2640,Global X Japan Games & Animation ETF,10187237.0,1198164,20260729

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2432,DENA CO LTD,JP3548610009,TSE,JPY,44600,2469.0
3635,KOEI TECMO HOLDINGS CO LTD,JP3283460008,TSE,JPY,122600,1530.0
3659,NEXON CO. LTD,JP3758190007,TSE,JPY,146700,2488.0
3663,CELSYS INC,JP3100260003,TSE,JPY,13300,1884.0
3765,GUNGHO ONLINE ENTERTAINMENT,JP3235900002,TSE,JPY,25200,2442.0
4816,TOEI ANIMATION CO LTD,JP3560200002,TSE,JPY,76600,2902.0
5032,ANYCOLOR INC,JP3164780003,TSE,JPY,22200,2631.0
5253,COVER CORP,JP3218500001,TSE,JPY,24000,1608.0
6460,SEGA SAMMY HOLDINGS INC,JP3419050004,TSE,JPY,80600,2750.0
6758,SONY GROUP CORP,JP3435000009,TSE,JPY,137600,3662.0
6770,ALPS ALPINE CO LTD,JP3126400005,TSE,JPY,75900,2207.0
7552,HAPPINET CORP,JP3770300006,TSE,JPY,17500,3235.0
7803,BUSHIROAD INC,JP3829930001,TSE,JPY,50100,404.0
7832,BANDAI NAMCO HOLDINGS INC,JP3778630008,TSE,JPY,114000,4522.0
7974,NINTENDO CO LTD,JP3756600007,TSE,JPY,54000,7659.0
9404,NIPPON TELEVISION NETWORK CORP ORD,JP3732200005,TSE,JPY,95200,2967.5
9413,TV TOKYO HOLDINGS CORP,JP3547060008,TSE,JPY,10100,3640.0
9684,SQUARE ENIX HOLDINGS CO LTD ORD,JP3164630000,TSE,JPY,134100,2701.0
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,129400,3529.0
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,23400,20140.0
