ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2646,Global X Japan Metal Business ETF,4789338.0,2079573,20260821

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1515,NITTETSU MINING CO LTD,JP3680800004,TSE,JPY,45700,3520.0
3036,ALCONIX CORP,JP3126210008,TSE,JPY,26100,3320.0
3433,TOCALO CO LTD,JP3552290003,TSE,JPY,55700,2828.0
4095,NIHON PARKERIZING CO LTD ORD,JP3744600002,TSE,JPY,72300,1728.0
5016,JX ADVANCED META ORD,JP3379550001,TSE,JPY,185400,3624.0
5301,TOKAI CARBON CO LTD,JP3560800009,TSE,JPY,191300,1709.0
5302,NIPPON CARBON CO LTD,JP3690400001,TSE,JPY,9000,4925.0
5310,TOYO TANSO CO LTD,JP3616000000,TSE,JPY,13100,6910.0
5406,KOBE STEEL LTD,JP3289800009,TSE,JPY,363900,2009.5
5541,PACIFIC METALS CO LTD ORD,JP3448000004,TSE,JPY,16100,2662.0
5563,NIPPON DENKO CO LTD,JP3734600004,TSE,JPY,125300,454.0
5703,NIPPON LIGHT METAL HOLDINGS CO LTD,JP3700200003,TSE,JPY,53300,3040.0
5706,MITSUI MINING & SMELTING CO LTD ORD,JP3888400003,TSE,JPY,20100,28570.0
5711,MITSUBISHI MATERIALS CORP,JP3903000002,TSE,JPY,124600,5345.0
5713,SUMITOMO METAL MINING CO LTD ORD,JP3402600005,TSE,JPY,101000,10630.0
5714,DOWA HOLDINGS (MINING) CO LTD ORD,JP3638600001,TSE,JPY,53200,9789.0
5715,FURUKAWA CO LTD,JP3826800009,TSE,JPY,18700,4105.0
5726,OSAKA TITANIUM TECHNOLOGIES,JP3407200009,TSE,JPY,31200,2975.0
5741,UACJ CORP,JP3826900007,TSE,JPY,158100,2268.0
5857,ARE HOLDINGS INC,JP3116700000,TSE,JPY,78900,3755.0
6140,ASAHI DIAMOND IN,JP3114400009,TSE,JPY,39900,1183.0
6282,OILES CORP,JP3174200000,TSE,JPY,18900,2881.0
6309,TOMOE ENGINEERING CO LTD,JP3631600008,TSE,JPY,19300,1999.0
6474,NACHI-FUJIKOSHI CORP ORD,JP3813200007,TSE,JPY,12900,5510.0
6480,NIPPON THOMPSON,JP3739400004,TSE,JPY,46900,1725.0
6834,SEIKOH GIKEN CO LTD,JP3414870000,TSE,JPY,4900,24840.0
6966,MITSUI HIGH-TEC,JP3892400007,TSE,JPY,88000,923.0
7456,MATSUDA SANGYO CO LTD,JP3868500004,TSE,JPY,12900,6650.0
8053,SUMITOMO,JP3404600003,TSE,JPY,472200,1701.5
8078,HANWA CO LTD ORD,JP3777800008,TSE,JPY,145400,1836.0
,MINI-TPX FUTURES SEP.2026,,OSE,JPY,1.0,4062.5
