ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
283A,Global X US Tech Dividend Aristocrats ETF,120377.429337,425000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,APPLE INC,US0378331005,XNAS,USD,274,311.3
,MICROSOFT CORP,US5949181045,XNAS,USD,229,481.15
,QUALCOMM INC,US7475251036,XNAS,USD,509,160.74
,INTERNATIONAL BUSINESS MACHINES CORP,US4592001014,XNYS,USD,435,233.69
,ROPER TECHNOLOGIES INC,US7766961061,XNAS,USD,266,410.45
,LAM RESEARCH CORP,US5128073062,XNAS,USD,280,310.53
,MICROCHIP TECHNOLOGY INC,US5950171042,XNAS,USD,1052,75.355
,MONOLITHIC POWER SYSTEMS INC,US6098391054,XNAS,USD,64,1310.6
,SKYWORKS SOLUTIONS INC,US83088M1027,XNAS,USD,1416,67.94
,BROADCOM INC,US11135F1012,XNAS,USD,225,364.03
,INTUIT INC,US4612021034,XNAS,USD,314,361.87
,KLA CORP,US4824801009,XNAS,USD,417,185.86
,TEXAS INSTRUMENTS INC,US8825081040,XNAS,USD,304,265.6
,ANALOG DEVICES INC,US0326541051,XNAS,USD,231,370.24
,APPLIED MATERIALS INC,US0382221051,XNAS,USD,161,496.21
,BROADRIDGE FINL SOLUTIONS I COM,US11133T1034,XNYS,USD,620,178.5
,LITTELFUSE INC,US5370081045,XNAS,USD,215,411.97
,SS&C TECHNOLOGIES HOLDINGS INC,US78467J1007,XNAS,USD,1334,82.12
,ORACLE CORP,US68389X1054,XNYS,USD,711,142.07
,ACCENTURE PLC-CL A,IE00B4BNMY34,XNYS,USD,638,181.35
,AMPHENOL CORP NEW CL A,US0320951017,XNYS,USD,568,153.11
,AVNET INC,US0538071038,XNAS,USD,992,86.89
,BADGER METER INC,US0565251081,XNYS,USD,706,128.13
,CDW CORP/DE,US12514G1085,XNAS,USD,689,133.54
,CASS INFORMATION SYSTEMS INC,US14808P1093,XNAS,USD,1703,56.89
,CISCO SYSTEMS INC,US17275R1023,XNAS,USD,797,109.59
,COGNEX CORP,US1924221039,XNAS,USD,1430,59.73
,DOLBY LABORATORIES INC-CL A,US25659T1079,XNYS,USD,1820,64.19
,HP INC,US40434L1052,XNYS,USD,3563,29.47
,JACK HENRY & ASSOCIATES INC,US4262811015,XNAS,USD,612,165.08
,MASTERCARD INC-CLASS A,US57636Q1040,XNYS,USD,168,573.85
,MOTOROLA SOLUTIONS INC,US6200763075,XNYS,USD,221,473.63
,POWER INTEGRATIONS INC,US7392761034,XNAS,USD,1234,54.84
,TE CONNECTIVITY LTD,IE000IVNQZ81,XNYS,USD,446,199.76
,VISA INC-CLASS A SHARES,US92826C8394,XNYS,USD,253,365.73
,GENPACT LTD,BMG3922B1072,XNYS,USD,2980,36.93
,UNIVERSAL DISPLAY CORP,US91347P1057,XNAS,USD,1096,86.5
,KULICKE & SOFFA INDUSTRIES INC,US5012421013,XNAS,USD,847,85.13
,PROSHARES S&P TECH DVD ARIST,US74347G6061,BATS,USD,4,100.93
,nan,CASHUSDJPY01,,USD,40582.35,0.006283775
,SP500 MIC EMIN FUTSep26,,CME,USD,1.0,7662.5
