ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2847,Global X Japan New Growth Infrastructure ETF,1037377.0,260814,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1407,WEST HOLDING,JP3154750008,TSE,JPY,1500,2845.0
1414,SHO-BOND HLDG/D,JP3360250009,TSE,JPY,10800,1258.0
2749,JP-HOLDINGS INC,JP3386190007,TSE,JPY,3600,660.0
3360,SHIP HEALTHCARE HOLDINGS INC,JP3274150006,TSE,JPY,5500,2369.5
4307,NOMURA RESEARCH INSTITUTE LTD ORD,JP3762800005,TSE,JPY,9800,5012.0
4544,H.U. GROUP HOLDINGS INC,JP3822000000,TSE,JPY,4000,3680.0
5711,MITSUBISHI MATERIALS CORP,JP3903000002,TSE,JPY,9200,5565.0
5857,ARE HOLDINGS INC,JP3116700000,TSE,JPY,5300,3910.0
6005,MIURA CO LTD ORD,JP3880800002,TSE,JPY,6300,3044.0
6332,TSUKISHIMA HOLDING,JP3532200007,TSE,JPY,1700,2737.0
6370,KURITA WATER INDUSTRIES LTD,JP3270000007,TSE,JPY,7300,8026.0
6564,MIDAC HOLDINGS CO LTD,JP3887800005,TSE,JPY,700,2040.0
6622,DAIHEN CORP,JP3497800007,TSE,JPY,1300,13020.0
6644,OSAKI ELECTRIC CO LTD,JP3187600006,TSE,JPY,2200,1522.0
6674,GS YUASA CORP,JP3385820000,TSE,JPY,5700,5273.0
6701,NEC CORP ORD,JP3733000008,TSE,JPY,11700,4656.0
6703,OKI ELECTRIC INDUSTRY CO LTD ORD,JP3194000000,TSE,JPY,6000,2686.0
6762,TDK CORP ORD,JP3538800008,TSE,JPY,25400,3041.0
6814,FURUNO ELECTRIC CO LTD,JP3828400006,TSE,JPY,1600,7570.0
7071,AMVIS HOLDINGS INC,JP3128660002,TSE,JPY,2700,432.0
7821,MAEDA KOSEN CO LTD,JP3861250003,TSE,JPY,3000,2032.0
9064,YAMATO HDG.,JP3940000007,TSE,JPY,15900,1931.5
9072,NIKKON HOLDINGS CO LTD,JP3709600005,TSE,JPY,6500,5448.0
9075,FUKUYAMA TRANSPORTING CO LTD ORD,JP3806800003,TSE,JPY,1100,6480.0
9147,NIPPON EXPRESS HOLDINGS CO,JP3688370000,TSE,JPY,14600,5559.0
9336,DAIEI KANKYO CO LTD,JP3480470008,TSE,JPY,2600,3770.0
9432,NTT INC,JP3735400008,TSE,JPY,368100,166.1
9519,RENOVA INC,JP3981200003,TSE,JPY,3300,960.0
9706,JAPAN AIRPORT TERMINAL CO LTD,JP3699400002,TSE,JPY,4000,5683.0
9793,DAISEKI CO LTD,JP3485600005,TSE,JPY,2900,3805.0
9984,SOFTBANK GROUP CORP,JP3436100006,TSE,JPY,10100,5255.0
