Fund Holdings as of,"2026/09/17"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"NVDA","NVIDIA","Information Technology","Equity","631,648,295.48","11.16","631,648,295.48","150,103.00","-","United States","NASDAQ","JPY","-","USD"
"AAPL","APPLE","Information Technology","Equity","589,001,583.66","10.41","589,001,583.66","91,100.00","-","United States","NASDAQ","JPY","-","USD"
"MSFT","MICROSOFT","Information Technology","Equity","440,001,155.21","7.78","440,001,155.21","46,076.00","-","United States","NASDAQ","JPY","-","USD"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","362,150,915.05","6.40","362,150,915.05","19,311.00","-","United States","NASDAQ","JPY","-","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","321,543,152.89","5.68","321,543,152.89","66,722.00","-","United States","NASDAQ","JPY","-","USD"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","276,177,653.14","4.88","276,177,653.14","26,409.00","-","United States","NASDAQ","JPY","-","USD"
"META","META PLATFORMS CLASS A","Communication","Equity","241,738,730.93","4.27","241,738,730.93","18,467.00","-","United States","NASDAQ","JPY","-","USD"
"GOOGL","ALPHABET CLASS A","Communication","Equity","240,716,430.50","4.25","240,716,430.50","36,124.00","-","United States","NASDAQ","JPY","-","USD"
"GOOG","ALPHABET CLASS C","Communication","Equity","223,133,880.38","3.94","223,133,880.38","33,841.00","-","United States","NASDAQ","JPY","-","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","218,870,056.87","3.87","218,870,056.87","31,153.00","-","United States","NASDAQ","JPY","-","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","197,006,164.56","3.48","197,006,164.56","29,567.00","-","United States","NASDAQ","JPY","-","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","180,614,885.47","3.19","180,614,885.47","86,528.00","-","United States","NASDAQ","JPY","-","USD"
"WMT","WALMART INC","Consumer Staples","Equity","172,064,068.58","3.04","172,064,068.58","83,983.00","-","United States","NASDAQ","JPY","-","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","143,514,252.36","2.54","143,514,252.36","67,856.00","-","United States","NASDAQ","JPY","-","USD"
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","133,655,749.90","2.36","133,655,749.90","39,529.00","-","United States","NASDAQ","JPY","-","USD"
