Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,FX Rate,Maturity,Coupon (%),Market Currency,Effective Date
"JTDB","JAPAN (GOVERNMENT OF) #1384","Cash and/or Derivatives","Cash","110,978,577.00","15.13","110,978,577.00","111,000,000.00","111,000,000.00","99.98","Japan","-","JPY","0.03","1.00","2026/08/31","0.00","JPY","2026/06/01"
"JTDB","JAPAN (GOVERNMENT OF) #1399","Cash and/or Derivatives","Cash","99,770,410.00","13.60","99,770,410.00","100,000,000.00","100,000,000.00","99.77","Japan","-","JPY","0.22","1.00","2026/11/09","0.00","JPY","2026/08/10"
"JTDB","JAPAN (GOVERNMENT OF) #1390","Cash and/or Derivatives","Cash","92,913,696.00","12.67","92,913,696.00","93,000,000.00","93,000,000.00","99.91","Japan","-","JPY","0.10","1.00","2026/09/28","0.00","JPY","2026/06/29"
"JPGV","JAPAN (GOVERNMENT OF) #1396","Cash and/or Derivatives","Cash","69,871,270.00","9.53","69,871,270.00","70,000,000.00","70,000,000.00","99.82","Japan","-","JPY","0.18","1.00","2026/10/26","0.00","JPY","2026/07/27"
"JTDB","JAPAN (GOVERNMENT OF) #1351","Cash and/or Derivatives","Cash","62,763,561.00","8.56","62,763,561.00","63,000,000.00","63,000,000.00","99.62","Japan","-","JPY","0.33","1.00","2026/12/21","0.00","JPY","2025/12/22"
"JTDB","JAPAN (GOVERNMENT OF) #1398","Cash and/or Derivatives","Cash","49,715,220.00","6.78","49,715,220.00","50,000,000.00","50,000,000.00","99.43","Japan","-","JPY","0.47","1.00","2027/02/10","0.00","JPY","2026/08/10"
"JTDB","JAPAN (GOVERNMENT OF) #1363","Cash and/or Derivatives","Cash","49,691,650.00","6.78","49,691,650.00","50,000,000.00","50,000,000.00","99.38","Japan","-","JPY","0.50","1.00","2027/02/22","0.00","JPY","2026/02/20"
"JTDB","JAPAN (GOVERNMENT OF) #1388","Cash and/or Derivatives","Cash","39,552,440.00","5.39","39,552,440.00","40,000,000.00","40,000,000.00","98.88","Japan","-","JPY","0.83","1.00","2027/06/21","0.00","JPY","2026/06/22"
"JTDB","JAPAN (GOVERNMENT OF) #1382","Cash and/or Derivatives","Cash","34,659,415.00","4.73","34,659,415.00","35,000,000.00","35,000,000.00","99.03","Japan","-","JPY","0.74","1.00","2027/05/20","0.00","JPY","2026/05/20"
"JTDB","JAPAN (GOVERNMENT OF) #1369","Cash and/or Derivatives","Cash","29,781,570.00","4.06","29,781,570.00","30,000,000.00","30,000,000.00","99.27","Japan","-","JPY","0.58","1.00","2027/03/23","0.00","JPY","2026/03/23"
