ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
513A,Global X Japan Defense Tech ETF,49139294.0,25061727,20260821

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
186A,ASTROSCALE HLDG ORD,JP3119820003,TSE,JPY,218300,1243.0
290A,SYNSPECTIVE ORD,JP3376720003,TSE,JPY,132100,1384.0
3105,NISSHINBO HLDGS (NISSHINBO IND) ORD,JP3678000005,TSE,JPY,320400,2146.0
464A,QPS HOLDINGS INC,JP3244860007,TSE,JPY,94400,1840.0
5631,JAPAN STEEL WORKS LTD,JP3721400004,TSE,JPY,144900,7771.0
6503,MITSUBISHI ELECTRIC CORP,JP3902400005,TSE,JPY,541500,5655.0
6507,SINFONIA TECHNOLOGY CO LTD,JP3375400003,TSE,JPY,42800,12500.0
6701,NEC CORP ORD,JP3733000008,TSE,JPY,831200,4820.0
6814,FURUNO ELECTRIC CO LTD,JP3828400006,TSE,JPY,50900,7760.0
7011,MITSUBISHI HEAVY INDUSTRIES LTD,JP3900000005,TSE,JPY,859700,4054.0
7012,KAWASAKI HEAVY INDUSTRIES ORD,JP3224200000,TSE,JPY,1148500,2672.5
7013,IHI CORP,JP3134800006,TSE,JPY,1235900,2768.5
7224,SHINMAYWA INDUSTRIES LTD,JP3384600007,TSE,JPY,114400,1975.0
7721,TOKYO KEIKI INC,JP3624000000,TSE,JPY,29800,7120.0
9412,SKY PERFECT JSAT HOLDINGS INC ORD,JP3396350005,TSE,JPY,315100,2227.0
,MINI-TPX FUTURES SEP.2026,,OSE,JPY,12.0,4062.5
