Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
'0992,Lenovo Group Limited,,,,0.03023,0.00875,0.00071000005,0.81616,,0.32258727837881496,-0.3825540858638996,-0.35772690722766487,-0.06839348436320833,0.011200000000000002,3246927107.16,466167103488,34.477066,12.455779,8.918986,0.09498835472505608,0.2044871500336292,0.2006390069014334,0.1591610771896151,0.33736652988737204,0.7565361894624802,-0.7067221660457691,0.1905682277807345,37.58,,,1.4,Strong Buy,2.7679574276325876,Technology,
'1211,BYD Company Limited,,,,0.027999999,0.03786,0.07244,0.46055999999999997,0.337,0.034332392566059626,-0.39047962823957477,-0.258134412716004,-0.3085044562143233,0.005,1527865178.0,743051558912,21.618038,12.552227,2.6393404,0.004312981731854663,0.030993002576332064,0.02066376402516353,-0.003667518833318255,-0.095951207758946,0.848384417177914,0.17064196319018404,0.5433883435582822,81.5,3.94,3.93,1.5,Strong Buy,1.722247215573778,Consumer Cyclical,
'9888,"Baidu, Inc.",,,,0.01195,-0.02895,0.096540004,0.38258000000000003,-0.717,5.154039204906518,-0.1088558168894229,-0.13543366687327182,0.33163292199488154,,2021872566.4,237880590336,,11.604222,0.7456456,-0.0017172120977830409,-0.019122626509562327,-0.021324337897412438,-0.05422990361972578,-0.18352062258143553,1.2710700688073393,0.2680354357798164,0.7344255733944952,87.2,3.8,4.21,1.4,Strong Buy,,Communication Services,
'2382,Sunny Optical Technology (Group) Company Limited,,,,0.04401,0.10556,0.08432,0.20446,0.111,-0.4986673919257113,-0.5789023046597953,-0.42428138362550294,-0.3618481244372501,0.0179,584612436.6,72023425024,13.490947,13.583949,2.1353624,-0.006666666666666709,-0.0014892259658455787,-0.029667127632265426,-0.03663790991416825,0.1374045654322168,0.6483222967934378,-0.10188038777032066,0.25946249067859817,67.05,2.92,2.68,1.9,Buy,0.9931535373108364,Technology,
'0285,BYD Electronic (International) Company Limited,,,,0.01505,0.012209999,0.0069199996,0.25662,-0.753,-0.25638786107716993,-0.4135713927351351,-0.4017927157288356,-0.10615302676273458,0.0075,230433526.72,53412458496,20.678263,10.051904,1.3284435,0.002529539982394866,0.04942630892011245,-0.003352917364002641,-0.044979905047740736,-0.006683397263504463,1.1763191757779647,-0.3888010933557612,0.3460492851135406,23.78,,,2.0,Buy,2.0571488744818893,Technology,
'0981,Semiconductor Manufacturing International Corporation,,,,0.011,0.1003,0.17099,0.37031,2.587,-0.27024372634996274,-0.5844830145651981,-0.5794634280859641,-0.5062920704919324,,3389942327.4500003,557826310144,63.87255,36.331978,2.826796,0.04407048728966142,0.07242798353909474,0.03167060056683449,0.002307692307692395,-0.02615846765267932,1.3475404451266306,-0.46299273983115885,0.4489840368380658,65.15,,,1.9,Buy,1.758025670939248,Technology,
'1810,Xiaomi Corporation,,,,0.02636,0.07533,0.040120002,0.14557,-0.199,-0.3947764669978017,-0.5705855414765986,-0.5102691343785074,-0.42612715716706856,,3130584045.6,679140327424,18.461538,17.013538,2.1529071,0.009946465815700155,-0.003773584905660431,0.001517427493257657,0.0007581819510875144,-0.024390224647752014,2.0453659090909095,-0.1345393939393939,0.38044458333333336,26.4,3.98,4.02,1.7,Buy,1.0851086940294252,Technology,
'3690,Meituan,,,,-0.08067001,-0.100430004,-0.00574,0.56647,,-0.29603039722086116,-0.6072592408386766,-0.599949949019212,-0.3570375841553153,,1900523881.2,409384747008,,15.139168,2.5309758,0.004115205320189185,-0.02073578595317722,-0.02529958072869757,-0.059126000916704044,-0.20607372643307256,1.090501775956284,-0.1356553278688525,0.5122784153005464,73.2,3.89,4.12,1.6,Buy,,Consumer Cyclical,
'0780,Tongcheng Travel Holdings Limited,,,,0.05276,0.12151,0.16431,0.21902000000000002,-0.036,0.025478653662700593,-0.44557592400275364,-0.4250714559220059,0.25035266272044476,0.0231,136748732.3,25473632256,8.868852,5.3293953,0.91446936,0.027540386930948298,0.030476190476190504,0.023651874398652864,-0.022583532223682524,-0.2136628037774928,1.6628665434380776,0.20683290203327162,0.8410092421441776,10.82,,,1.3,Strong Buy,1.6641385186795958,Consumer Cyclical,
'9863,"Zhejiang Leapmotor Technology Co., Ltd.",,,,0.00437,0.00908,0.005,0.27903,6.329,0.22460360936241397,-0.15836775701395978,-0.14932352088438705,-0.2616479909397718,,247207319.82,52976734208,62.099995,8.021433,3.1563084,0.06639958398617532,0.0390406962024508,0.055524102133172215,0.052542327512651484,-0.04657118080297622,1.6340799785292541,0.34497461084272685,0.695083360171766,37.26,3.27,3.62,1.2,Strong Buy,7.7417582369633955,Consumer Cyclical,
