Ticker,Name,Fee,TER,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 10D,Price 15D,Price 20D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
1332,Nissui Corporation,,,,0.036510002,0.02955,0.037320003,0.86984,-0.087,0.0253,0.1843533707068,-0.279401576766935,-0.335297162900356,-0.245800653734107,1719865875,382880710656,14.005991,14.212541,1.2757537,-0.0140570089808668,-0.0314537782892213,-0.0239659837649787,0.0140562248995984,-0.019036519036519,0.0104041616646659,-0.0140570089808668,-0.047529234251226,0.544554455445545,-0.16039603960396,0.281848237623762,1262.5,,,,,0.985467060394056,Consumer Defensive,-
1605,Inpex Corporation,,,,0.0841,0.19073999,0.48582,0.26123,-0.107,0.0321,-0.361501585165387,-0.103840151553085,-0.278549720008811,-0.303105491508816,15014326420,3906119925760,10.162675,12.522355,0.7988075,-0.0192588269623578,0.0243828101188662,0.0367057371992597,0.0486739469578783,0.0194115862905672,-0.0239862074255896,-0.0401662833022758,-0.0521509042108699,0.472775959535852,-0.143112168997322,0.245029872061886,3361,,,2.3,Buy,0.811562601443578,Energy,-
1721,COMSYS Holdings Corporation,,,,0.05756,0.05757,0.0919,0.00592,0.306,0.0253,0.0528868578207358,-0.0393856375640657,-0.173692905261533,-0.377926699238563,2863070720,616032174080,17.211658,21.085934,1.538731,-0.00112401648557512,-0.020752984389348,-0.021830856723537,-0.0164176351226711,-0.012775411960748,-0.0164176351226711,0.00471075937441116,-0.0178670104991711,0.0315078769692423,-0.23105776444111,-0.0847711927981995,5332,,,,,0.816262537860547,Industrials,-
1801,Taisei Corporation,,,,0.045679998,0.081379995,0.09922,0.4708,0.814,0.0272,-0.202631144362911,-0.197286074173872,-0.216169308093524,-0.159865104627365,9949000500,2273977303040,13.605376,29.306723,2.3985226,-0.00711743772241993,-0.0618695359784802,-0.0477815699658703,-0.0288896623738253,-0.00357142857142857,-0.0564761582685154,0.0429906542056075,-0.00428265524625268,0.584229390681004,-0.240143369175627,0.171530967741936,13950,,,,,0.464240781884757,Industrials,-
1802,Obayashi Corporation,,,,0.03934,0.06719,0.06892,0.27078,-0.137,0.0291,-0.251032218068336,-0.304563742834892,-0.297859518283791,-0.142495944701412,7963621500,2216934244352,12.936741,23.376339,1.7618676,-0.00738688827331487,-0.0427426536064114,-0.0242057488653555,-0.0067754850631352,0.00718301061836352,-0.0167682926829268,0.0453808752025932,-0.0061633281972265,0.457364341085271,-0.0697674418604651,0.205426356589147,3225,,,1.6,Buy,0.553411763920775,Industrials,-
1803,Shimizu Corporation,,,,0.02865,0.061529998,0.07021,0.56674,0.815,0.0309,-0.387539490741039,-0.0844122870204617,-0.138285506302065,-0.258771572123333,6945700200,1692909174784,13.351009,30.351923,1.7310314,0.000200642054574639,-0.0555134520651762,-0.0409772989611389,-0.0261769876929088,-0.0250342264815177,-0.0244618395303327,0.0127996749288907,-0.0704829386537386,0.364092276830492,-0.0772316950852558,0.209342266800401,2492.5,,,2.3,Buy,0.439873579015076,Industrials,-
1808,HASEKO Corporation,,,,0.04435,0.043070003,0.09186,0.75428,0.063,0.0359,-0.0423999187782276,-0.37170505463407,-0.385003157940412,-0.154148805874322,2269699575,737960984576,13.623706,13.116797,1.3113824,0.00269687162891046,-0.0278891406658532,-0.0129203539823009,0.00522710886806056,-0.0224364592462752,0.0214285714285714,0.036231884057971,0.0280184331797235,0.362739824278286,0.0220548682087144,0.166397704859243,2788.5,,,2.3,Buy,1.03864579134677,Consumer Cyclical,-
1812,Kajima Corporation,,,,0.04196,0.05781,0.07143,0.58009,0.085,0.0253,-0.2548343051693,-0.351891929470332,-0.247221789276808,-0.20159265088148,11021414400,2657085554688,15.174667,21.611887,1.8966821,-0.00945829750644884,-0.0540318607324684,-0.0600522193211488,-0.0332326283987915,-0.0015600624024961,-0.0337191746351283,0.0432892591921753,-0.0248857287963433,0.597222222222222,-0.0625,0.271081371527778,5760,,,1.3,Strong Buy,0.702144472622867,Industrials,-
1925,"Daiwa House Industry Co., Ltd.",,,,0.04966,0.06286,0.16343,1.0625,0.426,0.0291,-0.302946247509804,-0.281026014814363,-0.138276087398511,0.103913439454947,10579862700,2790777946112,7.955508,9.572773,0.9634194,-0.00309734513274336,-0.0152972027972028,0.000666222518321119,0.0261899339558187,0.0185352622061483,0.0327756131102452,0.047906976744186,0.0396862021227504,0.375943186861962,0.020861074123391,0.147852197070573,4506,,,2.6,Hold,0.83105574528927,Real Estate,-
1928,"Sekisui House, Ltd.",,,,0.04611,0.06105,0.083739996,0.84768,0.752,0.0423,0.0401090921707408,-0.0878495542176686,-0.0425497722293426,0.235436349437326,9975863350,2239662915584,8.710889,9.153288,1.0370433,-0.00575539568345324,-0.0184659090909091,0.00290275761973875,0.0273565269104966,0.0344311377245509,0.0562519107306634,0.0504712678625722,0.0304205189382642,0.25904486251809,-0.0159189580318379,0.10789516642547,3455,,,2,Buy,0.951667750430228,Consumer Cyclical,-
