Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
A,"Agilent Technologies, Inc.",,,US00846U1016,0.086330004,0.19533001,0.25559,0.56336,0.085,1.25236502176497,0.10205582171596632,-0.026480570131591878,-0.01047291054714126,0.006500000000000001,346704661.3,44119191552.0,30.861933,23.155527,5.9920344,0.0008315444873645947,0.041259037407742304,0.06492893078181747,0.08096718480138168,0.10704686609683534,0.21429027928676425,-0.00939477216079759,0.11812091774781112,156.47,,,1.7,Buy,1.3328106503471073,Healthcare,
AAPL,Apple Inc.,,,US0378331005,0.27082002,0.27618998,0.32623002,0.78445,0.287,0.628777782238678,-0.3559019405491855,-0.2849678781721989,-0.36673376612918374,0.0032,16523626437.199999,4905541566464.0,38.591274,35.05517,45.669838,-0.0025816023738872537,0.01445646078061964,0.01161709186492101,0.06592885109262395,0.0768537508444765,0.20489096480528368,-0.3603665248564543,-0.02467072263707498,336.13,,,2.2,Buy,1.1008725389150873,Technology,
ABBV,AbbVie Inc.,,,US00287Y1091,0.105100006,0.098000005,0.40035,,2.904,0.32545499281126766,-0.37647494030652484,-0.3520426604866257,-0.4654461769833991,0.0262,1108777178.0,466448285696.0,74.56497,16.226177,-78.58291,-0.00022721390867412323,0.003497534311100772,0.026602384150229207,0.052010665766298106,0.08237997820584109,0.24261251704803768,-0.24230944082436726,0.055490036369146886,263.96,,,1.7,Buy,4.5953504636366285,Healthcare,
ABNB,"Airbnb, Inc.",,,US0090661010,0.061389998,0.2045,0.21009001,0.32004,0.334,1.1787166113039476,-0.34113121314723616,-0.35807406138171466,0.46525120492749567,,643321266.0,99530153984.0,37.863327,26.866573,12.574325,0.001747769161813973,-0.012476278712213382,-0.02332688397941037,-0.02010260440166983,0.09614877782271246,0.3235471062447359,-0.18782336662254842,0.10756828299843578,166.22,,,2.0,Buy,1.4093098885369564,Consumer Cyclical,
ABT,Abbott Laboratories,,,US0028241000,0.05328,0.116450004,0.14706999,0.63212,-0.475,1.7209555416418567,-0.30472226209272285,-0.2677110358267258,-0.3822536126085183,0.024700000000000003,995976782.3,177554636800.0,33.100002,16.917128,3.4739478,0.0037170755217492907,0.005684614600042647,0.006473791775519927,-0.024897873927141358,-0.04955538282550912,0.3156612415943865,0.003800799142383789,0.17204560958970858,102.61,,,1.5,Buy,1.9565970063003602,Healthcare,
ACN,Accenture plc,,,,0.10903,0.10656,0.16964,0.25035,0.09,0.6415557691910405,-0.44585038819284284,-0.4489030478341586,-0.4846765586503298,0.034300000000000004,923456814.9,110938972160.0,15.196143,12.353157,3.4782524,-0.04729619845327245,-0.0626163096104654,-0.014192463203416552,0.031228651040613765,0.0594938890382575,0.5169066137128359,-0.2829168735175685,0.022606872965966123,181.29,,,2.1,Buy,1.2301424647966508,Technology,
ADBE,Adobe Inc.,,,US00724F1012,0.19731002,0.28048,0.34822,0.5748,0.105,0.8981027593645529,-0.10689331654445355,0.1697535667782233,-0.16519704531028676,,1688872416.0,98945695744.0,14.103116,8.994958,8.358068,-0.014841485717025753,-0.03429550524017679,-0.01312292662889532,-0.023306915938657153,-0.04349827335983261,0.5148240398521614,-0.2166157801703358,0.11038598746585264,248.92,,,2.8,Hold,1.5678912564127592,Technology,
ADC,Agree Realty Corporation,,,US0084921008,0.02399,0.28842,0.48116,0.58984,0.021,1.3655473972879728,0.18048529230631408,0.11205139534916146,0.18698839053598745,0.047,109898708.5,8487667712.0,36.58602,35.20435,1.3319633,-0.0016139034066767466,-0.028828310312857482,-0.04464415565163738,-0.06254300271290734,-0.10544697064290944,0.36664217487141815,0.058045554739162425,0.2405094783247612,68.05,,,1.9,Buy,1.0392471384928283,Real Estate,
ADI,"Analog Devices, Inc.",,,US0326541051,0.06406,0.29787,0.39503,0.27314,1.635,0.9279947826057439,-0.31731807635117926,-0.21696249952216515,-0.25198872624026786,0.0121,1339855092.0,182060941312.0,43.087154,22.98246,5.4264216,0.03604027663997806,0.03976752083509815,-0.008078564837526735,0.029172466820378964,-0.0011800970279500422,0.7965506228042157,-0.028531885446609246,0.2528445384861066,375.72,,,1.4,Strong Buy,1.8747842485095154,Technology,
ADM,Archer-Daniels-Midland Company,,,US0394831020,0.02257,0.021559998,0.04008,0.39134,3.156,1.949666562284016,-0.0007162728304847963,-0.01833463374798373,0.012973612594716223,0.0236,385008489.20000005,41053319168.0,24.130312,14.8526325,1.7416729,-0.03303435644075428,-0.016510802450919775,-0.01775831640942673,-0.01582903527962361,0.10592990393466603,0.11528527823432722,-0.29560929795726704,-0.05963841277295154,85.18,,,3.0,Hold,1.624648829088042,Consumer Defensive,
