Ticker,Name,Short name,Region,Company
1305,iFreeETF TOPIX (Yearly Dividend Type),topix,JP,ifree
1306,NEXT FUNDS TOPIX Exchange Traded Fund,topix,JP,nextFunds
1308,Amova Exchange Traded Index Fund TOPIX,topix,JP,amova
1309,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,sse50,CN,nextFunds
1311,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,topix30,JP,nextFunds
1319,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,nikkei300,JP,nextFunds
1320,iFreeETF Nikkei225 (Yearly Dividend Type),nikkei,JP,ifree
1321,NEXT FUNDS Nikkei 225 Exchange Traded Fund,nikkei,JP,nextFunds
1322,Listed Index Fund China A Share (Panda) E Fund CSI300,csi300,CN,amova
1325,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,brazilStockIndex,BR,nextFunds
1326,SPDR Gold Shares,gold,GLOBAL,spdr
1328,NEXT FUNDS Gold Price Exchange Traded Fund,gold,GLOBAL,nextFunds
1329,iShares Core Nikkei 225 ETF,nikkei,JP,ishares
1330,Amova Exchange Traded Index Fund 225,nikkei,JP,amova
1343,NEXT FUNDS REIT INDEX ETF,jreit,JP,nextFunds
1345,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index),jreit,JP,amova
1346,MAXIS NIKKEI225 ETF,nikkei,JP,maxis
1348,MAXIS TOPIX ETF,topix,JP,maxis
1349,ABF Pan Asia Bond Index,asiaGovBond,ASIA,spdr
1364,iShares JPX-Nikkei 400 ETF,nikkei400,JP,ishares
1369,One ETF Nikkei225,nikkei,JP,one
1397,SMDAM NIKKEI225 ETF,nikkei,JP,smdam
1398,SMDAM REIT Index ETF,jreit,JP,smdam
1399,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility,japanHighdiv,JP,amova
1473,One ETF TOPIX,topix,JP,one
1474,One ETF JPX-Nikkei 400,nikkei400,JP,one
1475,iShares Core TOPIX ETF,topix,JP,ishares
1476,iShares Core Japan REIT ETF,jreit,JP,ishares
1477,iShares MSCI Japan Minimum Volatility ex-REITs ETF,japanMinvol,JP,ishares
1478,iShares MSCI Japan High Dividend ETF,japanHighdiv,JP,ishares
1479,iFreeETF MSCI Japan Human and Physical Investment Index,daiwaMsciJapanHumanAndPhy,JP,daiwa
1480,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,enterpriseValue,JP,nextFunds
1481,Listed Index Fund Japanese Economy Contributor Stocks,japanEconomyContributor,JP,amova
1482,iShares Core 7-10 Year US Treasury Bond JPY Hedged ETF,ust710Hedge,US,ishares
1483,iShares JPX/S&P CAPEX & Human Capital ETF,capex,JP,ishares
1484,One ETF JPX/S&P CAPEX & Human Capital Index,capex,JP,one
1485,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Idx ETF,humanCapital,JP,maxis
1486,Listed Index Fund US Bond (No Currency Hedge),bond,US,amova
1487,Listed Index Fund US Bond (Currency Hedge),bond,US,amova
1488,iFreeETF Tokyo Stock Exchange REIT Index,jreit,JP,daiwa
1489,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fd,nikkeiHighdiv,JP,nextFunds
1490,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility(Beta Hdg),japanMinvol,JP,amova
1493,One ETF JPX-Nikkei Mid Small,JpxNikkeiMidSmall,JP,one
1494,One ETF High Dividend Japan Equity,japanHighdiv,JP,one
1495,Listed Index Fund Asian REIT,asiaReit,ASIA,amova
1496,iShares USD Investment Grade Corporate Bond JPY Hedged ETF,corpoBondHedge,US,ishares
1497,iShares USD High Yield Corporate Bond JPY Hedged ETF,corpoBondHedge,US,ishares
1498,One ETF ESG,esg,JP,one
1499,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,highdivNeutral,JP,maxis
1540,Japan Physical Gold ETF,gold,GLOBAL,mitsubishi
1541,Japan Physical Platinum ETF,platinum,GLOBAL,mitsubishi
1542,Japan Physical Silver ETF,silver,GLOBAL,mitsubishi
1543,Japan Physical Palladium ETF,palladium,GLOBAL,mitsubishi
1545,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund,nasdaq100,US,nextFunds
1546,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,dow,US,nextFunds
1547,Listed Index Fund US Equity (S&P500),sp500,US,amova
1550,MAXIS Global Equity (MSCI Kokusai) ETF,msciKokusai,GLOBAL,maxis
1551,TSE Standard Top 20 ETF,standard20,JP,simplex
1554,Listed Index Fund World Equity (MSCI ACWI) ex Japan,world,GLOBAL,amova
1555,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),auReit,AU,amova
1557,State Street SPDR S&P 500 ETF Trust,sp500,US,spdr
1559,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,set50,TH,nextFunds
1560,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,klci,MY,nextFunds
1563,TSE Growth Core ETF,growth,JP,simplex
1566,Listed Index Fund Emerging Bond,emBond,EM,amova
1577,NEXT FUNDS Nomura Japan Equity High Dividend 70 ETF,highdiv,JP,nextFunds
1578,Listed Index Fund Nikkei 225 (Mini),nikkei,JP,amova
1585,iFreeETF TOPIX Ex-Financials,topixExFinancials,JP,daiwa
1586,Listed Index Fund TOPIX Ex-Financials,topixExFinancials,JP,amova
1591,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund,nikkei400,JP,nextFunds
1592,Listed Index Fund JPX-Nikkei Index 400,nikkei400,JP,amova
1593,MAXIS JPX-Nikkei Index 400 ETF,nikkei400,JP,maxis
1595,NZAM ETF J-REIT Index,jreit,JP,nzam
1596,NZAM ETF TOPIX Ex-Financials,topixExFinancials,JP,nzam
1597,MAXIS J-REIT ETF,jreit,JP,maxis
1599,iFreeETF JPX-Nikkei400,nikkei400,JP,daiwa
1615,NEXT FUNDS TOPIX Banks Exchange Traded Fund,topixBanks,JP,nextFunds
1617,NEXT FUNDS TOPIX-17 FOODS ETF,food,JP,nextFunds
1618,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF,energy,JP,nextFunds
1619,NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF,construction,JP,nextFunds
1620,NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF,materials,JP,nextFunds
1621,NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF,pharma,JP,nextFunds
1622,NEXT FUNDS TOPIX-17 AUTOMOBILES TRANSPORTATION EQUIPMENT ETF,auto,JP,nextFunds
1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,steel,JP,nextFunds
1624,NEXT FUNDS TOPIX-17 MACHINERY ETF,machinery,JP,nextFunds
1625,NEXT FUNDS TOPIX-17 ELECTRIC & PRECISION INSTRUMENTS ETF,electronics,JP,nextFunds
1626,"NEXT FUNDS TOPIX-17 IT & SERVICES,OTHERS ETF",it,JP,nextFunds
1627,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,utilities,JP,nextFunds
1628,NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF,transport,JP,nextFunds
1629,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,wholesale,JP,nextFunds
1630,NEXT FUNDS TOPIX-17 RETAIL TRADE ETF,retail,JP,nextFunds
1631,NEXT FUNDS TOPIX-17 BANKS ETF,banks,JP,nextFunds
1632,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,financials,JP,nextFunds
1633,NEXT FUNDS TOPIX-17 REAL ESTATE ETF,realestate,JP,nextFunds
1651,iFreeETF TOPIX High Dividend Yield 40 Index,topixHighdiv,JP,daiwa
1652,iFreeETF MSCI Japan Empowering Women Index (WIN),women,JP,daiwa
1653,iFreeETF MSCI Japan ESG Select Leaders Index,esg,JP,daiwa
1654,iFreeETF FTSE JPX Blossom Japan Index,blossom,JP,ifree
1655,iShares S&P 500 ETF,sp500,US,ishares
1656,iShares Core 7-10 Year US Treasury Bond ETF,ust710,US,ishares
1657,iShares Core MSCI Kokusai ETF,kokusai,GLOBAL,ishares
1658,iShares Core MSCI Emerging Markets IMI ETF,em,EM,ishares
1659,iShares US REIT ETF,usReit,US,ishares
1660,MAXIS High Yield J-REIT ETF,jreit,JP,maxis
1671,Simplex WTI ETF,oil,GLOBAL,simplex
1672,WisdomTree Physical Gold,gold,GLOBAL,wisdomTree
1673,WisdomTree Physical Silver,silver,GLOBAL,wisdomTree
1674,WisdomTree Physical Platinum,platinum,GLOBAL,wisdomTree
1675,WisdomTree Physical Palladium,palladium,GLOBAL,wisdomTree
1676,WisdomTree Physical Precious Metals,preciousMetals,GLOBAL,wisdomTree
1677,Listed Index Fund International Bond (FTSE WGBI) Monthly Dividend Payment,globalBond,GLOBAL,amova
1678,NEXT FUNDS Nifty 50 Linked Exchange Traded Fund,nifty50,IN,nextFunds
1679,Simple-X NY Dow Jones Index ETF,dow,US,simplex
1680,Listed Index Fund International Developed Countries Equity,developed,GLOBAL,amova
1681,Listed Index Fund International Emerging Countries Equity,em,EM,amova
1684,WisdomTree Broad Commodities,commodities,GLOBAL,wisdomTree
1685,WisdomTree Energy,energy,GLOBAL,wisdomTree
1686,WisdomTree Industrial Metals,industrialMetals,GLOBAL,wisdomTree
1687,WisdomTree Agriculture,agriculture,GLOBAL,wisdomTree
1688,WisdomTree Grains,grains,GLOBAL,wisdomTree
1689,WisdomTree Natural Gas,natgas,GLOBAL,wisdomTree
1690,WisdomTree WTI Crude Oil,oil,GLOBAL,wisdomTree
1691,WisdomTree Gasoline,gasoline,GLOBAL,wisdomTree
1692,WisdomTree Aluminium,aluminum,GLOBAL,wisdomTree
1693,WisdomTree Copper,copper,GLOBAL,wisdomTree
1694,WisdomTree Nickel,nickel,GLOBAL,wisdomTree
1695,WisdomTree Wheat,wheat,GLOBAL,wisdomTree
1696,WisdomTree Corn,corn,GLOBAL,wisdomTree
1697,WisdomTree Soybeans,soybeans,GLOBAL,wisdomTree
1698,Listed Index Fund Japan High Dividend,highdiv,JP,amova
1699,NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange,oil,GLOBAL,nextFunds
2011,SMDAM Active ETF Japan High Dividend Equity,japanHighdivActive,JP,smdam
2012,iShares 0-3 Month US Treasury Bond ETF,ust03m,US,ishares
2013,iShares US High Dividend ETF,usHighdiv,US,ishares
2014,iShares US Dividend Growth ETF,usDivgrowth,US,ishares
2015,iFreeETF US Treasury Bond 7-10 Year (Non Hedged),ust710,US,ifree
2016,iFreeETF US Treasury Bond 7-10 Year (JPY Hedged),ust710Hedge,US,ifree
2017,iFreeETF JPX Prime 150,prime150,JP,ifree
2018,Global X US REIT Top 20 ETF,reit,US,globalX
2019,Global X U.S. Preferred Security ETF (Bi-monthly Dividend Type),preferred,US,globalX
2080,PBR Improvement over 1x ETF,pbr,JP,simplex
2081,Strategic Shareholding Disposal Promotion ETF,shareholding,JP,simplex
