Ticker,Name,ISIN,Exchange,Currency,Region
ADCB,ADCB,AEA000201011,,AED,AE
ADIB,ADIB,AEA000801018,,AED,AE
ADNOCDIS,ADNOCDIS,AEA006101017,,AED,AE
ADNOCDRI,ADNOCDRI,AEA007301012,,AED,AE
ADNOCGAS,ADNOCGAS,AEE01195A234,,AED,AE
ADNOCLS,ADNOCLS,AEE01268A239,,AED,AE
AIRARABI,AIRARABI,AEA003001012,,AED,AE
ALDAR,ALDAR,AEA002001013,,AED,AE
DEWA,DEWA,AED001801011,,AED,AE
DIB,DIB,AED000201015,,AED,AE
EAND,EAND,AEE000401019,,AED,AE
EMAAR,EMAAR,AEE000301011,,AED,AE
EMAARDEV,EMAARDEV,AEE001901017,,AED,AE
EMIRATES,EMIRATES,AEE000801010,,AED,AE
FAB,FAB,AEN000101016,,AED,AE
SALIK,SALIK,AEE01110S227,,AED,AE
