Ticker,Name,ISIN,Exchange,Currency,Region
ABG,ABG,AU0000291882,,AUD,AU
ALL,ALL,AU000000ALL7,,AUD,AU
ANZ,ANZ,AU000000ANZ3,,AUD,AU
APA,APA,AU000000APA1,,AUD,AU
ARF,ARF,AU000000ARF6,,AUD,AU
ASX,ASX,AU000000ASX7,,AUD,AU
BHP,BHP,AU000000BHP4,,AUD,AU
BWP,BWP,AU000000BWP3,,AUD,AU
BXB,BXB,AU000000BXB1,,AUD,AU
CAR,CAR,AU000000CAR3,,AUD,AU
CBA,CBA,AU000000CBA7,,AUD,AU
CHC,CHC,AU000000CHC0,,AUD,AU
CIP,CIP,AU000000CIP0,,AUD,AU
CLW,CLW,AU000000CLW0,,AUD,AU
CMW,CMW,AU000000CMW8,,AUD,AU
CNI,CNI,AU000000CNI5,,AUD,AU
COF,COF,AU0000077893,,AUD,AU
COH,COH,AU000000COH5,,AUD,AU
COL,COL,AU0000030678,,AUD,AU
CPU,CPU,AU000000CPU5,,AUD,AU
CQE,CQE,AU0000030645,,AUD,AU
CQR,CQR,AU000000CQR9,,AUD,AU
CSL,CSL,AU000000CSL8,,AUD,AU
DGT,DGT,AU0000367088,,AUD,AU
DXI,DXI,AU0000192833,,AUD,AU
DXS,DXS,AU000000DXS1,,AUD,AU
EVN,EVN,AU000000EVN4,,AUD,AU
FMG,FMG,AU000000FMG4,,AUD,AU
GMG,GMG,AU000000GMG2,,AUD,AU
GOZ,GOZ,AU000000GOZ8,,AUD,AU
GPT,GPT,AU000000GPT8,,AUD,AU
HCW,HCW,AU0000169302,,AUD,AU
HDN,HDN,AU0000113136,,AUD,AU
IAG,IAG,AU000000IAG3,,AUD,AU
INA,INA,AU000000INA9,,AUD,AU
IREN,IREN,AU0000185993,,USD,AU
LTR,LIONTOWN RESOURCES LTD,AU000000LTR4,XASX,AUD,AU
LYC,LYC,AU000000LYC6,,AUD,AU
MGR,MGR,AU000000MGR9,,AUD,AU
MPL,MPL,AU000000MPL3,,AUD,AU
MQG,MQG,AU000000MQG1,,AUD,AU
NAB,NAB,AU000000NAB4,,AUD,AU
NST,NST,AU000000NST8,,AUD,AU
ORG,ORG,AU000000ORG5,,AUD,AU
PLS,PLS,AU000000PLS0,,AUD,AU
PME,PME,AU000000PME8,,AUD,AU
QAN,QAN,AU000000QAN2,,AUD,AU
QBE,QBE,AU000000QBE9,,AUD,AU
REA,REA,AU000000REA9,,AUD,AU
RFF,RFF,AU000000RFF5,,AUD,AU
RGN,RGN,AU0000253502,,AUD,AU
RIO,RIO,AU000000RIO1,,AUD,AU
S32,S32,AU000000S320,,AUD,AU
SCG,SCG,AU000000SCG8,,AUD,AU
SGH,SGH,AU0000364754,,AUD,AU
SGP,SGP,AU000000SGP0,,AUD,AU
SHL,SHL,AU000000SHL7,,AUD,AU
SIG,SIG,AU000000SIG5,,AUD,AU
SKG,SKG,AU0000477440,,AUD,AU
SOL,SOL,AU000000SOL3,,AUD,AU
STO,STO,AU000000STO6,,AUD,AU
SUN,SUN,AU000000SUN6,,AUD,AU
TCL,TCL,AU000000TCL6,,AUD,AU
TLC,TLC,AU0000219529,,AUD,AU
TLS,TLS,AU000000TLS2,,AUD,AU
TNE,TECHNOLOGY ONE LTD,AU000000TNE8,XASX,AUD,AU
VCX,VCX,AU000000VCX7,,AUD,AU
WBC,WBC,AU000000WBC1,,AUD,AU
WDS,WDS,AU0000224040,,AUD,AU
WES,WES,AU000000WES1,,AUD,AU
WOW,WOW,AU000000WOW2,,AUD,AU
WPR,WPR,AU0000088064,,AUD,AU
WTC,WTC,AU000000WTC3,,AUD,AU
