Ticker,Name,ISIN,Exchange,Currency,Region
1038,1038,BMG2178K1009,,HKD,BM
1193,1193,BMG2113B1081,,HKD,BM
135,135,BMG5320C1082,,HKD,BM
136,136,BMG4404N1149,,HKD,BM
241,241,BMG0171K1018,,HKD,BM
316,316,BMG677491539,,HKD,BM
384,384,BMG2109G1033,,HKD,BM
ACGL,ACGL,BMG0450A1053,,USD,BM
AGN,AGN,BMG0112X1056,,EUR,BM
BAP,BAP,BMG2519Y1084,,USD,BM
CCL,CARNIVAL CORP LTD,BMG2004J1036,XNYS,USD,BM
EG,EG,BMG3223R1088,,USD,BM
G,GENPACT LTD,BMG3922B1072,XNYS,USD,BM
HKL,HKL,BMG4587L1090,,USD,BM
IVZ,IVZ,BMG491BT1088,,,BM
JM,JM,BMG507361001,,USD,BM
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,BMG667211046,XNYS,USD,BM
