Ticker,Name,ISIN,Exchange,Currency,Region
ABEV3,ABEV3,BRABEVACNOR1,,,BR
ALOS3,ALOS3,BRALOSACNOR5,,,BR
ASAI3,ASAI3,BRASAIACNOR0,,,BR
AURE3,AURE3,BRAUREACNOR9,,,BR
AXIA3,AXIA3,BRAXIAACNOR0,,,BR
AXIA7,AXIA7,BRAXIAACNPC9,,BRL,BR
AZZA3,AZZA3,BRAZZAACNOR9,,,BR
B3SA3,B3SA3,BRB3SAACNOR6,,,BR
BBAS3,BBAS3,BRBBASACNOR3,,,BR
BBDC3,BBDC3,BRBBDCACNOR1,,,BR
BBDC4,BBDC4,BRBBDCACNPR8,,,BR
BBSE3,BBSE3,BRBBSEACNOR5,,,BR
BEEF3,BEEF3,BRBEEFACNOR6,,,BR
BPAC11,BPAC11,BRBPACUNT006,,,BR
BRAP4,BRAP4,BRBRAPACNPR2,,,BR
BRAV3,BRAV3,BRBRAVACNOR3,,,BR
BRKM5,BRKM5,BRBRKMACNPA4,,,BR
CEAB3,CEAB3,BRCEABACNOR1,,,BR
CMIG4,CMIG4,BRCMIGACNPR3,,,BR
CMIN3,CMIN3,BRCMINACNOR2,,,BR
COGN3,COGN3,BRCOGNACNOR2,,,BR
CPFE3,CPFE3,BRCPFEACNOR0,,,BR
CPLE3,CPLE3,BRCPLEACNOR8,,,BR
CSAN3,CSAN3,BRCSANACNOR6,,,BR
CSMG3,CSMG3,BRCSMGACNOR5,,,BR
CSNA3,CSNA3,BRCSNAACNOR6,,,BR
CURY3,CURY3,BRCURYACNOR3,,,BR
CXSE3,CXSE3,BRCXSEACNOR7,,,BR
CYRE3,CYRE3,BRCYREACNOR7,,,BR
DIRR3,DIRR3,BRDIRRACNOR0,,,BR
EGIE3,EGIE3,BREGIEACNOR9,,,BR
EMBJ3,EMBJ3,BREMBJACNOR1,,,BR
ENEV3,ENEV3,BRENEVACNOR8,,,BR
ENGI11,ENGI11,BRENGICDAM16,,,BR
EQTL3,EQTL3,BREQTLACNOR0,,,BR
FLRY3,FLRY3,BRFLRYACNOR5,,,BR
GGBR4,GGBR4,BRGGBRACNPR8,,,BR
GOAU4,GOAU4,BRGOAUACNPR8,,,BR
HAPV3,HAPV3,BRHAPVACNOR4,,,BR
HYPE3,HYPE3,BRHYPEACNOR0,,,BR
IGTI11,IGTI11,BRIGTICDAM16,,,BR
ISAE4,ISAE4,BRISAEACNPR9,,,BR
ITSA4,ITSA4,BRITSAACNPR7,,,BR
ITUB3,ITUB3,BRITUBACNOR4,,BRL,BR
ITUB4,ITUB4,BRITUBACNPR1,,,BR
KLBN11,KLBN11,BRKLBNCDAM18,,,BR
KLBN4,KLBN4,BRKLBNACNPR9,,,BR
LREN3,LREN3,BRLRENACNOR1,,,BR
MBRF3,MBRF3,BRMBRFACNOR1,,,BR
MGLU3,MGLU3,BRMGLUACNOR2,,,BR
MOTV3,MOTV3,BRMOTVACNOR7,,,BR
MRVE3,MRVE3,BRMRVEACNOR2,,,BR
MULT3,MULT3,BRMULTACNOR5,,,BR
NATU3,NATU3,BRNATUACNOR6,,,BR
PETR3,PETR3,BRPETRACNOR9,,,BR
PETR4,PETR4,BRPETRACNPR6,,,BR
POMO4,POMO4,BRPOMOACNPR7,,,BR
PRIO3,PRIO3,BRPRIOACNOR1,,,BR
PSSA3,PSSA3,BRPSSAACNOR7,,,BR
RADL3,RADL3,BRRADLACNOR0,,,BR
RAIL3,RAIL3,BRRAILACNOR9,,,BR
RDOR3,RDOR3,BRRDORACNOR8,,,BR
RECV3,RECV3,BRRECVACNOR3,,,BR
RENT3,RENT3,BRRENTACNOR4,,,BR
SANB11,SANB11,BRSANBCDAM13,,,BR
SBSP3,SBSP3,BRSBSPACNOR5,,,BR
SLCE3,SLCE3,BRSLCEACNOR2,,,BR
SMFT3,SMFT3,BRSMFTACNOR1,,,BR
SUZB3,SUZB3,BRSUZBACNOR0,,,BR
TAEE11,TAEE11,BRTAEECDAM10,,,BR
TIMS3,TIMS3,BRTIMSACNOR5,,,BR
TOTS3,TOTS3,BRTOTSACNOR8,,,BR
UGPA3,UGPA3,BRUGPAACNOR8,,,BR
USIM5,USIM5,BRUSIMACNPA6,,,BR
VALE3,VALE3,BRVALEACNOR0,,,BR
VAMO3,VAMO3,BRVAMOACNOR7,,,BR
VBBR3,VBBR3,BRVBBRACNOR1,,,BR
VIVA3,VIVA3,BRVIVAACNOR0,,,BR
VIVT3,VIVT3,BRVIVTACNOR0,,,BR
WEGE3,WEGE3,BRWEGEACNOR0,,,BR
YDUQ3,YDUQ3,BRYDUQACNOR3,,,BR
