Ticker,Name,ISIN,Exchange,Currency,Region
2099,2099,CA16890P1036,,HKD,CA
ABX,ABX,CA06849F1080,,CAD,CA
AEM,AEM,CA0084741085,,CAD,CA
AGI,AGI,CA0115321089,,CAD,CA
ALA,ALA,CA0213611001,,CAD,CA
AP-U,AP-U,CA0194561027,,CAD,CA
ARX,ARX,CA00208D4084,,CAD,CA
ATD,ATD,CA01626P1484,,CAD,CA
ATRL,ATRL,CA04764T1049,,CAD,CA
BAM,BAM,CA1130041058,,CAD,CA
BB,BLACKBERRY LTD,CA09228F1036,XTSE,CAD,CA
BBD/B,BBD/B,CA0977518616,,CAD,CA
BCE,BCE,CA05534B7604,,CAD,CA
BEI-U,BEI-U,CA0966311064,,CAD,CA
BEPC,BEPC,CA11285B1085,,CAD,CA
BMO,BMO,CA0636711016,,CAD,CA
BN,BN,CA11271J1075,,CAD,CA
BNS,BNS,CA0641491075,,CAD,CA
CAE,CAE,CA1247651088,,CAD,CA
CAR-U,CAR-U,CA1349211054,,CAD,CA
CCL/B,CCL/B,CA1249003098,,CAD,CA
CCO,CCO,CA13321L1085,,CAD,CA
CHP-U,CHP-U,CA17039A1066,,CAD,CA
CLS,CLS,CA15101Q2071,,CAD,CA
CM,CM,CA1360691010,,CAD,CA
CNQ,CNQ,CA1363851017,,CAD,CA
CNR,CNR,CA1363751027,,CAD,CA
CP,CP,CA13646K1084,,CAD,CA
CRR-U,CRR-U,CA2271071094,,CAD,CA
CRT-U,CRT-U,CA1264621006,,CAD,CA
CSU,CSU,CA21037X1006,,CAD,CA
CTC/A,CTC/A,CA1366812024,,CAD,CA
CU,CU,CA1367178326,,CAD,CA
CVE,CVE,CA15135U1093,,CAD,CA
D-U,D-U,CA26153P2035,,CAD,CA
DIR-U,DIR-U,CA26153W1095,,CAD,CA
DOL,DOL,CA25675T1075,,CAD,CA
DSG,DSG,CA2499061083,,CAD,CA
EFN,EFN,CA2861812014,,CAD,CA
EMA,EMA,CA2908761018,,CAD,CA
EMP/A,EMP/A,CA2918434077,,CAD,CA
ENB,ENB,CA29250N1050,,CAD,CA
EQX,EQX,CA29446Y5020,,CAD,CA
FCR-U,FCR-U,CA31890B1031,,CAD,CA
FFH,FFH,CA3039011026,,CAD,CA
FM,FM,CA3359341052,,CAD,CA
FNV,FNV,CA3518581051,,CAD,CA
FSV,FSV,CA33767E2024,,CAD,CA
FTS,FTS,CA3495531079,,CAD,CA
GFL,GFL,CA36168Q1046,,CAD,CA
GIB/A,GIB/A,CA12532H1047,,CAD,CA
GIL,GIL,CA3759161035,,CAD,CA
GRT-U,GRT-U,CA3874372053,,CAD,CA
GWO,GWO,CA39138C1068,,CAD,CA
H,H,CA4488112083,,CAD,CA
HR-U,HR-U,CA4039254079,,CAD,CA
IAG,IAG,CA45075E1043,,CAD,CA
IFC,IFC,CA45823T1066,,CAD,CA
IGM,IGM,CA4495861060,,CAD,CA
IMO,IMO,CA4530384086,,CAD,CA
IVN,IVN,CA46579R1047,,CAD,CA
K,K,CA4969024047,,CAD,CA
KEY,KEY,CA4932711001,,CAD,CA
KMP-U,KMP-U,CA49410M1023,,CAD,CA
L,L,CA5394811015,,CAD,CA
LUG,LUG,CA5503711080,,CAD,CA
LUN,LUN,CA5503721063,,CAD,CA
MDA,MDA SPACE LTD,CA55293N1096,XTSE,CAD,CA
MFC,MFC,CA56501R1064,,CAD,CA
MG,MG,CA5592224011,,CAD,CA
MI-U,MI-U,CA60448E1034,,CAD,CA
MRG-U,MRG-U,CA61761E1007,,CAD,CA
MRU,MRU,CA59162N1096,,CAD,CA
NTR,NTR,CA67077M1086,,CAD,CA
NXR-U,NXR-U,CA65344U1012,,CAD,CA
PAAS,PAAS,CA6979001089,,CAD,CA
PMZ-U,PMZ-U,CA74167K1093,,CAD,CA
POW,POW,CA7392391016,,CAD,CA
PPL,PPL,CA7063271034,,CAD,CA
QSR,QSR,CA76131D1033,,CAD,CA
RBA,RBA,CA74935Q1072,,CAD,CA
RCI/B,RCI/B,CA7751092007,,CAD,CA
REI-U,REI-U,CA7669101031,,CAD,CA
RY,RY,CA7800871021,,CAD,CA
SAP,SAP,CA8029121057,,CAD,CA
SGR-U,SGR-U,CA8310622037,,CAD,CA
SHOP,SHOP,CA82509L1076,,,CA
SLF,SLF,CA8667961053,,CAD,CA
SRU-U,SRU-U,CA83179X1087,,CAD,CA
STN,STN,CA85472N1096,,CAD,CA
SU,SU,CA8672241079,,CAD,CA
T,T,CA87971M1032,,CAD,CA
TD,TD,CA8911605092,,CAD,CA
TECK/B,TECK/B,CA8787422044,,CAD,CA
TFII,TFII,CA87241L1094,,CAD,CA
TIH,TIH,CA8911021050,,CAD,CA
TOU,TOU,CA89156V1067,,CAD,CA
TRI,TRI,CA8849038812,,,CA
TRP,TRP,CA87807B1076,,CAD,CA
VITL-U,VITL-U,CA92848P1071,,CAD,CA
WCN,WCN,CA94106B1013,,USD,CA
WCP,WCP,CA96467A2002,,CAD,CA
WN,WN,CA9611485090,,CAD,CA
WPM,WPM,CA9628791027,,CAD,CA
WSP,WSP,CA92938W2022,,CAD,CA
X,X,CA87262K1057,,CAD,CA
XIC,ISHARES S&P/TSX CAPPED COMPOSITE,,TORONTO STOCK EXCHANGE,JPY,CA
