Ticker,Name,ISIN,Exchange,Currency,Region
ADS,ADS,DE000A1EWWW0,,EUR,DE
ALV,ALV,DE0008404005,,EUR,DE
BAS,BAS,DE000BASF111,,EUR,DE
BAYN,BAYN,DE000BAY0017,,EUR,DE
BEI,BEI,DE0005200000,,EUR,DE
BMW,BMW,DE0005190003,,EUR,DE
BNR,BNR,DE000A1DAHH0,,EUR,DE
CBK,CBK,DE000CBK1001,,EUR,DE
CON,CON,DE0005439004,,EUR,DE
DB1,DB1,DE0005810055,,EUR,DE
DBK,DBK,DE0005140008,,EUR,DE
DHER,DHER,DE000A2E4K43,,EUR,DE
DHL,DHL,DE0005552004,,EUR,DE
DTE,DTE,DE0005557508,,EUR,DE
DTG,DTG,DE000DTR0CK8,,EUR,DE
ENR,ENR,DE000ENER6Y0,,EUR,DE
EOAN,EOAN,DE000ENAG999,,EUR,DE
EVD,EVD,DE0005470306,,EUR,DE
EVK,EVK,DE000EVNK013,,EUR,DE
FME,FME,DE0005785802,,EUR,DE
FRE,FRE,DE0005785604,,EUR,DE
G1A,G1A,DE0006602006,,EUR,DE
G24,G24,DE000A12DM80,,EUR,DE
HABA,HABA,DE000A3H2333,,EUR,DE
HAG,HAG,DE000HAG0005,,EUR,DE
HEI,HEI,DE0006047004,,EUR,DE
HEN,HEN,DE0006048408,,EUR,DE
HEN3,HEN3,DE0006048432,,EUR,DE
HLAG,HAPAG-LLOYD AG,DE000HLAG475,XETR,EUR,DE
HNR1,HNR1,DE0008402215,,EUR,DE
HOT,HOT,DE0006070006,,EUR,DE
IFX,IFX,DE0006231004,,EUR,DE
KBX,KBX,DE000KBX1006,,EUR,DE
LHA,LHA,DE0008232125,,EUR,DE
MBG,MBG,DE0007100000,,EUR,DE
MRK,MRK,DE0006599905,,EUR,DE
MTX,MTX,DE000A0D9PT0,,EUR,DE
MUV2,MUV2,DE0008430026,,EUR,DE
NEM,NEM,DE0006452907,,EUR,DE
P911,P911,DE000PAG9113,,EUR,DE
PAH3,PAH3,DE000PAH0038,,EUR,DE
RAA,RAA,DE0007010803,,EUR,DE
RHM,RHM,DE0007030009,,EUR,DE
RWE,RWE,DE0007037129,,EUR,DE
SAP,SAP,DE0007164600,,EUR,DE
SHL,SHL,DE000SHL1006,,EUR,DE
SIE,SIE,DE0007236101,,EUR,DE
SRT3,SRT3,DE0007165631,,EUR,DE
SY1,SY1,DE000SYM9999,,EUR,DE
TLX,TLX,DE000TLX1005,,EUR,DE
VNA,VNA,DE000A1ML7J1,,EUR,DE
VOW3,VOW3,DE0007664039,,EUR,DE
ZAL,ZAL,DE000ZAL1111,,EUR,DE
