Ticker,Name,ISIN,Exchange,Currency,Region
ACS,ACS,ES0167050915,,EUR,ES
AENA,AENA,ES0105046017,,EUR,ES
AMS,AMS,ES0109067019,,EUR,ES
ANA,ANA,ES0125220311,,EUR,ES
BBVA,BBVA,ES0113211835,,EUR,ES
BKT,BKT,ES0113679I37,,EUR,ES
CABK,CABK,ES0140609019,,EUR,ES
CLNX,CLNX,ES0105066007,,EUR,ES
COL,COL,ES0139140174,,EUR,ES
EDPR,EDPR,ES0127797019,,EUR,ES
ELE,ELE,ES0130670112,,EUR,ES
IAG,IAG,ES0177542018,,EUR,ES
IBE,IBE,ES0144580Y14,,EUR,ES
IDR,IDR,ES0118594417,,EUR,ES
ITX,ITX,ES0148396007,,EUR,ES
MAP,MAP,ES0124244E34,,EUR,ES
MRL,MRL,ES0105025003,,EUR,ES
NTGY,NTGY,ES0116870314,,EUR,ES
RED,RED,ES0173093024,,EUR,ES
REP,REP,ES0173516115,,EUR,ES
SAB,SAB,ES0113860A34,,EUR,ES
SAN,SAN,ES0113900J37,,EUR,ES
TEF,TEF,ES0178430E18,,EUR,ES
