Ticker,Name,ISIN,Exchange,Currency,Region
AAF,AAF,GB00BKDRYJ47,,GBP,GB
AAL,AAL,GB00BTK05J60,,GBP,GB
ABF,ABF,GB0006731235,,GBP,GB
ADM,ADM,GB00B02J6398,,GBP,GB
AEWU,AEWU,GB00BWD24154,,GBP,GB
ANG,ANG,GB00BRXH2664,,ZAR,GB
ANTO,ANTO,GB0000456144,,GBP,GB
AUTO,AUTO TRADER GROUP PLC,GB00BVYVFW23,XLON,GBP,GB
AV/,AV/,GB00BPQY8M80,,GBP,GB
AZN,AZN,GB0009895292,,GBP,GB
BA/,BA/,GB0002634946,,GBP,GB
BARC,BARC,GB0031348658,,GBP,GB
BATS,BATS,GB0002875804,,GBP,GB
BBOX,BBOX,GB00BG49KP99,,GBP,GB
BLND,BLND,GB0001367019,,GBP,GB
BNZL,BNZL,GB00B0744B38,,GBP,GB
BP/,BP/,GB0007980591,,GBP,GB
BT/A,BT/A,GB0030913577,,GBP,GB
BYG,BYG,GB0002869419,,GBP,GB
CCEP,CCEP,GB00BDCPN049,,,GB
CLI,CLI,GB00BF044593,,GBP,GB
CNA,CNA,GB00B033F229,,GBP,GB
CPG,CPG,GB00BD6K4575,,USD,GB
CREI,CREI,GB00BJFLFT45,,GBP,GB
DGE,DGE,GB0002374006,,GBP,GB
DLN,DLN,GB0002652740,,GBP,GB
EDV,EDV,GB00BL6K5J42,,GBP,GB
EXPN,EXPN,GB00B19NLV48,,GBP,GB
FRES,FRES,GB00B2QPKJ12,,GBP,GB
FTI,FTI,GB00BDSFG982,,USD,GB
GPE,GPE,GB00BF5H9P87,,GBP,GB
GRI,GRI,GB00B04V1276,,GBP,GB
GSK,GSK,GB00BN7SWP63,,GBP,GB
HLCL,HLCL,GB00BT5GNW84,,GBP,GB
HLMA,HLMA,GB0004052071,,GBP,GB
HLN,HLN,GB00BMX86B70,,GBP,GB
HMSO,HMSO,GB00BRJQ8J25,,GBP,GB
HSBA,HSBA,GB0005405286,,GBP,GB
IHG,IHG,GB00BHJYC057,,USD,GB
III,III,GB00B1YW4409,,GBP,GB
IMB,IMB,GB0004544929,,GBP,GB
INF,INF,GB00BMJ6DW54,,GBP,GB
INTU,INTU,GB0006834344,,GBP,GB
ITRK,ITRK,GB0031638363,,GBP,GB
KGF,KGF,GB0033195214,,GBP,GB
LAND,LAND,GB00BYW0PQ60,,GBP,GB
LGEN,LGEN,GB0005603997,,GBP,GB
LIVE,LIVE,GB00BF0P7H59,,GBP,GB
LLOY,LLOY,GB0008706128,,GBP,GB
LMP,LMP,GB00B4WFW713,,GBP,GB
LSEG,LSEG,GB00B0SWJX34,,GBP,GB
MKS,MKS,GB0031274896,,GBP,GB
MNG,MNG,GB00BKFB1C65,,GBP,GB
MRO,MRO,GB00BNGDN821,,GBP,GB
NG/,NG/,GB00BDR05C01,,GBP,GB
NMC,NMC,GB00B7FC0762,,GBP,GB
NRR,NRR,GB00BD7XPJ64,,GBP,GB
NWG,NWG,GB00BM8PJY71,,GBP,GB
NXT,NXT,GB0032089863,,GBP,GB
PCTN,PCTN,GB00B0LCW208,,GBP,GB
PHP,PHP,GB00BYRJ5J14,,GBP,GB
PRU,PRU,GB0007099541,,GBP,GB
PSON,PSON,GB0006776081,,GBP,GB
RBOD,ISHARES AUTOMATION & ROBOTIC USD_D,,LONDON STOCK EXCHANGE,JPY,GB
REL,REL,GB00B2B0DG97,,GBP,GB
RIO,RIO,GB0007188757,,GBP,GB
RKT,RKT,GB00BSZBP530,,GBP,GB
RPRX,ROYALTY PHARMA PLC- CL A,GB00BMVP7Y09,XNAS,USD,GB
RR/,RR/,GB00B63H8491,,GBP,GB
RTO,RTO,GB00B082RF11,,GBP,GB
SAFE,SAFE,GB00B1N7Z094,,GBP,GB
SBRY,SBRY,GB00B019KW72,,GBP,GB
SDLF,SDLF,GB00BGXQNP29,,GBP,GB
SDR,SDR,GB00BP9LHF23,,GBP,GB
SGE,SGE,GB00B8C3BL03,,GBP,GB
SGRO,SGRO,GB00B5ZN1N88,,GBP,GB
SHC,SHC,GB00B62G9D36,,GBP,GB
SHEL,SHEL,GB00BP6MXD84,,GBP,GB
SMIN,SMIN,GB00B1WY2338,,GBP,GB
SN/,SN/,GB0009223206,,GBP,GB
SPX,SPX,GB00BWFGQN14,,GBP,GB
SREI,SREI,GB00B01HM147,,GBP,GB
SSE,SSE,GB0007908733,,GBP,GB
STAN,STAN,GB0004082847,,GBP,GB
SUPR,SUPR,GB00BF345X11,,GBP,GB
SVT,SVT,GB00B1FH8J72,,GBP,GB
THRL,THRL,GB00BJGTLF51,,GBP,GB
TSCO,TSCO,GB00BLGZ9862,,GBP,GB
ULVR,ULVR,GB00BVZK7T90,,GBP,GB
UTG,UTG,GB0006928617,,GBP,GB
UU/,UU/,GB00B39J2M42,,GBP,GB
VOD,VOD,GB00BH4HKS39,,GBP,GB
VSURE,VSURE,GB00BVMN1558,,EUR,GB
WKP,WKP,GB00B67G5X01,,GBP,GB
