Ticker,Name,ISIN,Exchange,Currency,Region
ACN,ACN,IE00B4BNMY34,,USD,IE
AIBG,AIBG,IE00BF0L3536,,EUR,IE
ALLE,ALLEGION PLC,IE00BFRT3W74,XNYS,USD,IE
AON,AON,IE00BLP1HW54,,USD,IE
BIRG,BIRG,IE00BD1RP616,,EUR,IE
CNYA,CNYA,IE00BQT3WG13,,USD,IE
CRH,CRH,IE0001827041,,USD,IE
ETN,ETN,IE00B8KQN827,,USD,IE
FLUT,FLUT,IE00BWT6H894,,USD,IE
IRES,IRES,IE00BJ34P519,,EUR,IE
JCI,JCI,IE00BY7QL619,,USD,IE
KSP,KSP,IE0004927939,,EUR,IE
KYGA,KYGA,IE0004906560,,EUR,IE
LIN,LIN,IE000S9YS762,,,IE
MDT,MEDTRONIC PLC,IE00BTN1Y115,XNYS,USD,IE
PNR,PENTAIR PLC,IE00BLS09M33,XNYS,USD,IE
RYA,RYA,IE00BYTBXV33,,EUR,IE
STE,STE,IE00BFY8C754,,USD,IE
STX,STX,IE00BKVD2N49,,,IE
SW,SW,IE00028FXN24,,USD,IE
TEL,TEL,IE000IVNQZ81,,USD,IE
TT,TT,IE00BK9ZQ967,,USD,IE
WTW,WTW,IE00BDB6Q211,,USD,IE
