Ticker,Name,ISIN,Exchange,Currency,Region
BAMI,BAMI,IT0005218380,,EUR,IT
BMED,BMED,IT0004776628,,EUR,IT
BMPS,BMPS,IT0005508921,,EUR,IT
BPE,BPE,IT0000066123,,EUR,IT
BZU,BZU,IT0001347308,,EUR,IT
ENEL,ENEL,IT0003128367,,EUR,IT
ENI,ENI,IT0003132476,,EUR,IT
FBK,FBK,IT0000072170,,EUR,IT
G,G,IT0000062072,,EUR,IT
IG,IG,IT0005211237,,EUR,IT
IGD,IGD,IT0005322612,,EUR,IT
ISP,ISP,IT0000072618,,EUR,IT
LDO,LDO,IT0003856405,,EUR,IT
MONC,MONC,IT0004965148,,EUR,IT
PRY,PRY,IT0004176001,,EUR,IT
PST,PST,IT0003796171,,EUR,IT
REC,REC,IT0003828271,,EUR,IT
SRG,SRG,IT0003153415,,EUR,IT
TIT,TIT,IT0005712671,,EUR,IT
TRN,TRN,IT0003242622,,EUR,IT
UCG,UCG,IT0005239360,,EUR,IT
UNI,UNI,IT0004810054,,EUR,IT
