Ticker,Name,ISIN,Exchange,Currency,Region
000100,000100,KR7000100008,,KRW,KR
000150,000150,KR7000150003,,KRW,KR
000270,000270,KR7000270009,,KRW,KR
000660,000660,KR7000660001,,KRW,KR
000720,000720,KR7000720003,,KRW,KR
000810,000810,KR7000810002,,KRW,KR
003230,003230,KR7003230000,,KRW,KR
003490,003490,KR7003490000,,KRW,KR
003550,003550,KR7003550001,,KRW,KR
003670,003670,KR7003670007,,KRW,KR
005380,005380,KR7005380001,,KRW,KR
005385,005385,KR7005381009,,KRW,KR
005387,005387,KR7005382007,,KRW,KR
005490,005490,KR7005490008,,KRW,KR
005830,005830,KR7005830005,,KRW,KR
005930,005930,KR7005930003,,KRW,KR
005935,005935,KR7005931001,,KRW,KR
005940,005940,KR7005940002,,KRW,KR
006400,006400,KR7006400006,,KRW,KR
006800,006800,KR7006800007,,KRW,KR
009150,009150,KR7009150004,,KRW,KR
009540,009540,KR7009540006,,KRW,KR
010120,010120,KR7010120004,,KRW,KR
010140,010140,KR7010140002,,KRW,KR
010950,010950,KR7010950004,,KRW,KR
011200,011200,KR7011200003,,KRW,KR
012330,012330,KR7012330007,,KRW,KR
012450,012450,KR7012450003,,KRW,KR
0126Z0,0126Z0,KR70126Z0002,,KRW,KR
015760,015760,KR7015760002,,KRW,KR
017670,017670,KR7017670001,,KRW,KR
018260,018260,KR7018260000,,KRW,KR
024110,024110,KR7024110009,,KRW,KR
028260,028260,KR7028260008,,KRW,KR
028300,028300,KR7028300002,,KRW,KR
032640,032640,KR7032640005,,KRW,KR
032830,032830,KR7032830002,,KRW,KR
033780,033780,KR7033780008,,KRW,KR
034020,034020,KR7034020008,,KRW,KR
034220,034220,KR7034220004,,KRW,KR
034730,034730,KR7034730002,,KRW,KR
035420,035420,KR7035420009,,KRW,KR
035720,035720,KR7035720002,,KRW,KR
042660,042660,KR7042660001,,KRW,KR
042700,042700,KR7042700005,,KRW,KR
047050,047050,KR7047050000,,KRW,KR
047810,047810,KR7047810007,,KRW,KR
051910,051910,KR7051910008,,KRW,KR
055550,055550,KR7055550008,,KRW,KR
064350,064350,KR7064350002,,KRW,KR
066570,066570,KR7066570003,,KRW,KR
068270,068270,KR7068270008,,KRW,KR
071050,071050,KR7071050009,,KRW,KR
079550,079550,KR7079550000,,KRW,KR
086280,086280,KR7086280005,,KRW,KR
086520,086520,KR7086520004,,KRW,KR
086790,086790,KR7086790003,,KRW,KR
090430,090430,KR7090430000,,KRW,KR
096770,096770,KR7096770003,,KRW,KR
105560,105560,KR7105560007,,KRW,KR
138040,138040,KR7138040001,,KRW,KR
161390,161390,KR7161390000,,KRW,KR
196170,196170,KR7196170005,,KRW,KR
207940,207940,KR7207940008,,KRW,KR
247540,247540,KR7247540008,,KRW,KR
259960,259960,KR7259960003,,KRW,KR
267250,267250,KR7267250009,,KRW,KR
267260,267260,KR7267260008,,KRW,KR
272210,272210,KR7272210006,,KRW,KR
278470,278470,KR7278470000,,KRW,KR
293940,293940,KR7293940003,,KRW,KR
298040,298040,KR7298040007,,KRW,KR
316140,316140,KR7316140003,,KRW,KR
323410,323410,KR7323410001,,KRW,KR
329180,329180,KR7329180004,,KRW,KR
330590,330590,KR7330590001,,KRW,KR
334890,334890,KR7334890001,,KRW,KR
348950,348950,KR7348950007,,KRW,KR
352820,352820,KR7352820005,,KRW,KR
357120,357120,KR7357120005,,KRW,KR
365550,365550,KR7365550003,,KRW,KR
373220,373220,KR7373220003,,KRW,KR
395400,395400,KR7395400005,,KRW,KR
402340,402340,KR7402340004,,KRW,KR
451800,451800,KR7451800007,,KRW,KR
