Ticker,Name,ISIN,Exchange,Currency,Region
0863,OSL GROUP LTD,KYG1106B1095,XHKG,HKD,KY
1,1,KYG217651051,,HKD,KY
1024,1024,KYG532631028,,HKD,KY
1044,1044,KYG4402L1510,,HKD,KY
1109,1109,KYG2108Y1052,,HKD,KY
1113,1113,KYG2177B1014,,HKD,KY
1177,1177,KYG8167W1380,,HKD,KY
1209,1209,KYG2122G1064,,HKD,KY
1308,1308,KYG8187G1055,,HKD,KY
1378,1378,KYG211501005,,HKD,KY
151,151,KYG9431R1039,,HKD,KY
1519,1519,KYG4990A1040,,HKD,KY
1530,1530,KYG8875G1029,,HKD,KY
1548,1548,KYG3825B1059,,HKD,KY
1585,1585,KYG9830F1063,,HKD,KY
1590,1590,KYG014081064,,TWD,KY
175,175,KYG3777B1032,,HKD,KY
1801,1801,KYG4818G1010,,HKD,KY
1810,1810,KYG9830T1067,,HKD,KY
1882,1882,KYG4232C1087,,HKD,KY
1888,1888,KYG5257K1076,,HKD,KY
1908,1908,KYG3165D1097,,HKD,KY
1928,1928,KYG7800X1079,,HKD,KY
1929,1929,KYG211461085,,HKD,KY
1997,1997,KYG9593A1040,,HKD,KY
20,20,KYG8062L1041,,HKD,KY
2015,2015,KYG5479M1050,,HKD,KY
2018,2018,KYG2953R1149,,HKD,KY
2020,2020,KYG040111059,,HKD,KY
2026,2026,KYG7171B1068,,HKD,KY
2057,2057,KYG9897K1058,,HKD,KY
2228,2228,KYG7S12M1051,,HKD,KY
2268,2268,KYG9808A1058,,HKD,KY
2269,2269,KYG970081173,,HKD,KY
2313,2313,KYG8087W1015,,HKD,KY
2319,2319,KYG210961051,,HKD,KY
2331,2331,KYG5496K1242,,HKD,KY
2367,2367,KYG3887G1091,,HKD,KY
2382,2382,KYG8586D1097,,HKD,KY
2423,2423,KYG5223Y1089,,HKD,KY
2525,2525,KYG4417G1148,,HKD,KY
2618,2618,KYG5074S1012,,HKD,KY
268,268,KYG525681477,,HKD,KY
2688,2688,KYG3066L1014,,HKD,KY
288,288,KYG960071028,,HKD,KY
322,322,KYG8878S1030,,HKD,KY
3661,3661,KYG022421088,,TWD,KY
3665,3665,KYG114741062,,TWD,KY
3690,3690,KYG596691041,,HKD,KY
3692,3692,KYG549581067,,HKD,KY
3800,3800,KYG3774X1088,,HKD,KY
3888,3888,KYG5264Y1089,,HKD,KY
3998,3998,KYG126521064,,HKD,KY
4958,4958,KYG989221000,,TWD,KY
5871,5871,KYG202881093,,TWD,KY
6186,6186,KYG2121Q1055,,HKD,KY
6618,6618,KYG5074A1004,,HKD,KY
6862,6862,KYG4290A1013,,HKD,KY
6863,6863,KYG2117A1067,,HKD,KY
6969,6969,KYG8245V1023,,HKD,KY
700,700,KYG875721634,,HKD,KY
780,780,KYG8918W1069,,HKD,KY
960,960,KYG5635P1090,,HKD,KY
9618,9618,KYG8208B1014,,HKD,KY
9626,9626,KYG1098A1013,,HKD,KY
9660,9660,KYG4602S1057,,HKD,KY
968,968,KYG9829N1025,,HKD,KY
9698,9698,KYG3902L1095,,HKD,KY
9866,9866,KYG6525F1028,,HKD,KY
9868,9868,KYG982AW1003,,HKD,KY
9888,9888,KYG070341048,,HKD,KY
9896,9896,KYG6180F1081,,HKD,KY
9901,9901,KYG6470A1168,,HKD,KY
9926,9926,KYG0146B1032,,HKD,KY
9961,9961,KYG9066F1019,,HKD,KY
9988,9988,KYG017191142,,HKD,KY
9992,9992,KYG7170M1033,,HKD,KY
9999,9999,KYG6427A1022,,HKD,KY
BDFBM13,SEMICONDUCTOR MFG,KYG8020E1199,XHKG,HKD,KY
BLSH,BULLISH,KYG169101204,XNYS,USD,KY
BQS7PQ5,TENCENT MUSIC ENTE,KYG875771134,XHKG,HKD,KY
BULL,WEBULL CORP ORD SHARES,KYG9572D1034,XNAS,USD,KY
BWJFCD6,MINIMAX GROUP INC,KYG6181S1093,XHKG,HKD,KY
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,KYG254571055,XNAS,USD,KY
DLO,DLOCAL LTD,KYG290181018,XNAS,USD,KY
FN,FN,KYG3323L1005,,USD,KY
FTAI,FTAI,KYG3730V1059,,USD,KY
GFS,GLOBALFOUNDRIES INC,KYG393871085,XNAS,USD,KY
GRAB,GRAB,KYG4124C1096,,USD,KY
NU,NU,KYG6683N1034,,USD,KY
SN,SN,KYG8068L1086,,USD,KY
STNE,STNE,KYG851581069,,USD,KY
XP,XP,KYG982391099,,USD,KY
