Ticker,Name,ISIN,Exchange,Currency,Region
AC*,AC*,MX01AC100006,,MXN,MX
AMXB,AMXB,MX01AM050019,,MXN,MX
ASURB,ASURB,MXP001661018,,MXN,MX
BIMBOA,BIMBOA,MXP495211262,,MXN,MX
CEMEXCPO,CEMEXCPO,MXP225611567,,MXN,MX
FEMSAUBD,FEMSAUBD,MXP320321310,,MXN,MX
FIBRAPL,FIBRAPL,MXCFFI170008,,MXN,MX
FUNO11,FUNO11,MXCFFU000001,,MXN,MX
GAPB,GAPB,MX01GA000004,,MXN,MX
GCARSOA1,GCARSOA1,MXP461181085,,MXN,MX
GFINBURO,GFINBURO,MXP370641013,,MXN,MX
GFNORTEO,GFNORTEO,MXP370711014,,MXN,MX
GMEXICOB,GMEXICOB,MXP370841019,,MXN,MX
GRUMAB,GRUMAB,MXP4948K1056,,MXN,MX
KIMBERA,KIMBERA,MXP606941179,,MXN,MX
KOFUBL,KOFUBL,MX01KO000002,,MXN,MX
OMAB,OMAB,MX01OM000018,,MXN,MX
PE&OLES*,PE&OLES*,MXP554091415,,MXN,MX
PINFRA*,PINFRA*,MX01PI000005,,MXN,MX
SIGMAFA,SIGMAFA,MXP000511016,,MXN,MX
WALMEX*,WALMEX*,MX01WA000038,,MXN,MX
