Ticker,Name,ISIN,Exchange,Currency,Region
ABN,ABN,NL0011540547,,EUR,NL
AD,AD,NL0011794037,,EUR,NL
ADYEN,ADYEN,NL0012969182,,EUR,NL
AER,AER,NL0000687663,,USD,NL
AIR,AIR,NL0000235190,,EUR,NL
AKZA,AKZA,NL0013267909,,EUR,NL
ARGX,ARGX,NL0010832176,,EUR,NL
ASM,ASM,NL0000334118,,EUR,NL
ASML,ASML,NL0010273215,,EUR,NL
ASRNL,ASRNL,NL0011872643,,EUR,NL
BESI,BESI,NL0012866412,,EUR,NL
CNH,CNH INDUSTRIAL NV,NL0010545661,XNYS,USD,NL
CPR,CPR,NL0015435975,,EUR,NL
CSG,CSG,NL0015073TS8,,EUR,NL
ECMPA,ECMPA,NL0015000K93,,EUR,NL
ENX,ENX,NL0006294274,,EUR,NL
EXO,EXO,NL0012059018,,EUR,NL
FER,FER,NL0015001FS8,,,NL
HEIA,HEIA,NL0000009165,,EUR,NL
HEIO,HEIO,NL0000008977,,EUR,NL
IMEU,ISHARES CORE MSCI EUROPE UCITS ETF,,EURONEXT AMSTERDAM,JPY,NL
INGA,INGA,NL0011821202,,EUR,NL
JBS,JBS,NL0015002J37,,USD,NL
KPN,KPN,NL0000009082,,EUR,NL
LYB,LYONDELLBASELL INDU-CL A,NL0009434992,XNYS,USD,NL
MICC,MICC,NL0015002MS2,,EUR,NL
NBIS,NBIS,NL0009805522,,,NL
NN,NN,NL0010773842,,EUR,NL
NRP,NRP,NL0015000RT3,,ZAR,NL
NSI,NSI,NL0012365084,,EUR,NL
NXPI,NXPI,NL0009538784,,,NL
PHIA,PHIA,NL0000009538,,EUR,NL
PRX,PRX,NL0013654783,,EUR,NL
QIA,QIA,NL0015002SN0,,EUR,NL
RACE,RACE,NL0011585146,,EUR,NL
STLAM,STLAM,NL00150001Q9,,EUR,NL
STMPA,STMPA,NL0000226223,,EUR,NL
UMG,UMG,NL0015000IY2,,EUR,NL
WHA,WHA,NL0000289213,,EUR,NL
WKL,WKL,NL0000395903,,EUR,NL
