Ticker,Name,ISIN,Exchange,Currency,Region
ADDTB,ADDTB,SE0014781795,,SEK,SE
ALFA,ALFA,SE0000695876,,SEK,SE
ASSAB,ASSAB,SE0007100581,,SEK,SE
ATCOA,ATCOA,SE0017486889,,SEK,SE
ATCOB,ATCOB,SE0017486897,,SEK,SE
BALDB,BALDB,SE0017832488,,SEK,SE
BEIJB,BEIJB,SE0015949748,,SEK,SE
BOL,BOL,SE0020050417,,SEK,SE
EPIA,EPIA,SE0015658109,,SEK,SE
EPIB,EPIB,SE0015658117,,SEK,SE
EQT,EQT,SE0012853455,,SEK,SE
ERICB,ERICB,SE0000108656,,SEK,SE
ESSITYB,ESSITYB,SE0009922164,,SEK,SE
EVO,EVO,SE0012673267,,SEK,SE
HEXAB,HEXAB,SE0015961909,,SEK,SE
HMB,HMB,SE0000106270,,SEK,SE
INDT,INDT,SE0001515552,,SEK,SE
INDUA,INDUA,SE0000190126,,SEK,SE
INDUC,INDUC,SE0000107203,,SEK,SE
INVEB,INVEB,SE0015811963,,SEK,SE
LATOB,LATOB,SE0010100958,,SEK,SE
LIFCOB,LIFCOB,SE0015949201,,SEK,SE
LUNDB,LUNDB,SE0000108847,,SEK,SE
NIBEB,NIBEB,SE0015988019,,SEK,SE
OCTVSDB,OCTVSDB,SE0028329433,,SEK,SE
SAABB,SAABB,SE0021921269,,SEK,SE
SAGAB,SAGAB,SE0005127818,,SEK,SE
SAND,SAND,SE0000667891,,SEK,SE
SCAB,SCAB,SE0000112724,,SEK,SE
SEBA,SEBA,SE0000148884,,SEK,SE
SECT-B,SECTRA AB-B SHS,SE0022419784,XSTO,SEK,SE
SECUB,SECUB,SE0000163594,,SEK,SE
SHBA,SHBA,SE0007100599,,SEK,SE
SKAB,SKAB,SE0000113250,,SEK,SE
SKFB,SKFB,SE0000108227,,SEK,SE
SOBI,SOBI,SE0000872095,,SEK,SE
SWEDA,SWEDA,SE0000242455,,SEK,SE
TEL2B,TEL2B,SE0005190238,,SEK,SE
TELIA,TELIA,SE0000667925,,SEK,SE
TRELB,TRELB,SE0000114837,,SEK,SE
VOLVB,VOLVB,SE0000115446,,SEK,SE
