Ticker,Name,ISIN,Exchange,Currency,Region
ABG,ABG,ZAE000255915,,ZAR,ZA
BID,BID,ZAE000216537,,ZAR,ZA
BVT,BVT,ZAE000117321,,ZAR,ZA
CLS,CLS,ZAE000134854,,ZAR,ZA
CPI,CPI,ZAE000035861,,ZAR,ZA
DSY,DSY,ZAE000022331,,ZAR,ZA
FSR,FSR,ZAE000066304,,ZAR,ZA
GFI,GFI,ZAE000018123,,ZAR,ZA
HAR,HAR,ZAE000015228,,ZAR,ZA
IMP,IMP,ZAE000083648,,ZAR,ZA
MTN,MTN,ZAE000042164,,ZAR,ZA
NED,NED,ZAE000004875,,ZAR,ZA
NPH,NPH,ZAE000298253,,ZAR,ZA
NPN,NPN,ZAE000351946,,ZAR,ZA
OUT,OUT,ZAE000314084,,ZAR,ZA
PPH,PPH,ZAE000259479,,ZAR,ZA
REM,REM,ZAE000026480,,ZAR,ZA
SBK,SBK,ZAE000109815,,ZAR,ZA
SHP,SHP,ZAE000012084,,ZAR,ZA
SLM,SLM,ZAE000070660,,ZAR,ZA
SOL,SOL,ZAE000006896,,ZAR,ZA
SSW,SSW,ZAE000259701,,ZAR,ZA
VAL,VAL,ZAE000013181,,ZAR,ZA
VOD,VOD,ZAE000132577,,ZAR,ZA
