ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2096,Global X Office J-REIT ETF,3997118.0,631271,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
3234,MORI HILLS REI/D,JP3046470005,TSE,JPY,220,128400.0
3279,ACTIVIA PROPERTIES INC,JP3047490002,TSE,JPY,293,136400.0
3295,HULIC REIT INC,JP3047660000,TSE,JPY,168,153500.0
3296,NIPPON REIT INVESTMENT CORP,JP3047750009,TSE,JPY,250,81900.0
8951,NIPPON BUILDING FUND INC.,JP3027670003,TSE,JPY,1004,128400.0
8952,JAPAN REAL ESTATE INVT CORP ORD,JP3027680002,TSE,JPY,996,118500.0
8954,ORIX JREIT INC ORD,JP3040880001,TSE,JPY,756,100000.0
8955,JAPAN PRIME REALTY INVESTMENT ORD,JP3040890000,TSE,JPY,526,97100.0
8956,NTT UD REIT INVESTMENT CORP,JP3041770003,TSE,JPY,191,129700.0
8957,TOKYU REIT INC,JP3044510000,TSE,JPY,125,184800.0
8958,GLOBAL ONE REIT,JP3044520009,TSE,JPY,149,110700.0
8961,MORI TRUST REIT INC,JP3046170001,TSE,JPY,366,74400.0
8975,ICHIGO OFFICE REIT INVESTMENT CORPORATION,JP3046300004,TSE,JPY,136,94000.0
8976,DAIWA OFFICE INVESTMENT CORP ORD,JP3046310003,TSE,JPY,77,324000.0
8987,JAPAN EXCELLENT,JP3046420000,TSE,JPY,159,140400.0
,TSE-REIT FUTURES SEP.2026,,OSE,JPY,4.0,1786
