221A,ＭＡＸＩＳ日経半導体株上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（MAXIS Nikkei Semiconductor Stock (Japan) ETF）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),9845024368 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,99.62%,,,,
Future contracts*,先物組入比率(Future contracts)*,0.37%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,0.38%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),31 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
1,285A,キオクシアホールディングス　　　　　　　,KIOXIA HOLDINGS CORPORATION                                                     ,55435 ,2864346575 ,29.09%
2,3132,マクニカホールディングス　　　　　　　　,"MACNICA HOLDINGS,INC.                                                           ",18390 ,64384460 ,0.65%
3,3436,ＳＵＭＣＯ　　　　　　　　　　　　　　　,SUMCO CORPORATION                                                               ,35968 ,113300151 ,1.15%
4,4021,日産化学　　　　　　　　　　　　　　　　,NISSAN CHEMICAL CORPORATION                                                     ,14045 ,112278889 ,1.14%
5,4043,トクヤマ　　　　　　　　　　　　　　　　,TOKUYAMA CORPORATION                                                            ,7405 ,29095182 ,0.30%
6,4063,信越化学工業　　　　　　　　　　　　　　,"SHIN-ETSU CHEMICAL CO.,LTD.                                                     ",61008 ,357447099 ,3.63%
7,4186,東京応化工業　　　　　　　　　　　　　　,"TOKYO OHKA KOGYO CO.,LTD.                                                       ",13129 ,106858443 ,1.09%
8,4203,住友ベークライト　　　　　　　　　　　　,"SUMITOMO BAKELITE COMPANY,LIMITED                                               ",9625 ,67701695 ,0.69%
9,4272,日本化薬　　　　　　　　　　　　　　　　,"NIPPON KAYAKU CO.,LTD.                                                          ",16435 ,34472614 ,0.35%
