ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
235A,Global X Japan High Dividend 30 ETF,71828422.0,16892359,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1928,SEKISUI HOUSE LTD ORD,JP3420600003,TSE,JPY,229900,3471.0
2181,PERSOL HOLDINGS CO LTD,JP3547670004,TSE,JPY,784100,291.5
2914,JAPAN TOBACCO,JP3726800000,TSE,JPY,366300,6980.0
4183,MITSUI CHEMICALS INC,JP3888300005,TSE,JPY,115600,2143.0
4502,TAKEDA PHARMACEUTICAL,JP3463000004,TSE,JPY,418100,5764.0
4503,ASTELLAS PHARMA INC,JP3942400007,TSE,JPY,544500,2387.0
4519,CHUGAI PHARMACEUTICAL CO LTD ORD,JP3519400000,TSE,JPY,303200,7011.0
4523,EISAI,JP3160400002,TSE,JPY,90100,4902.0
4528,ONO PHARMACEUTICAL CO LTD ORD,JP3197600004,TSE,JPY,132400,2448.0
4716,ORACLE CORP JAPAN ORD,JP3689500001,TSE,JPY,24100,9233.0
5021,COSMO ENERGY HOLDINGS COMPANY LTD,JP3298000005,TSE,JPY,60600,4266.0
5076,INFRONEER HOLDINGS INC,JP3153850007,TSE,JPY,53400,2755.0
5105,TOYO TIRE CORP,JP3610600003,TSE,JPY,43800,3811.0
5110,SUMITOMO RUBBER INDUSTRIES LTD ORD,JP3404200002,TSE,JPY,65100,2297.0
5406,KOBE STEEL LTD,JP3289800009,TSE,JPY,172600,2024.5
5411,JFE HOLDINGS INC,JP3386030005,TSE,JPY,302700,1845.5
5444,YAMATO KOGYO CO LTD ORD,JP3940400009,TSE,JPY,16900,11805.0
5938,LIXIL GROUP CORP,JP3626800001,TSE,JPY,120500,1756.0
6305,HITACHI CONSTRUCTION MACHINERY ORD,JP3787000003,TSE,JPY,64200,5644.0
7202,ISUZU MOTORS LTD,JP3137200006,TSE,JPY,236500,2228.5
7267,HONDA MOTOR,JP3854600008,TSE,JPY,1498200,1753.0
7270,SUBARU CORP,JP3814800003,TSE,JPY,310400,2655.5
7751,CANON INC,JP3242800005,TSE,JPY,291500,4593.0
8473,SBI HOLDINGS INC ORD,JP3436120004,TSE,JPY,170200,3216.0
9021,WEST JAPAN RAILWAY CO,JP3659000008,TSE,JPY,127100,2959.5
9101,NIPPON YUSEN KK,JP3753000003,TSE,JPY,215500,7101.0
9107,KAWASAKI KISEN KAISHA LTD,JP3223800008,TSE,JPY,238000,3405.0
9143,SG HOLDINGS CO LTD,JP3162770006,TSE,JPY,175100,1566.0
9364,KAMIGUMI CO LTD,JP3219000001,TSE,JPY,28500,4856.0
9434,SOFTBANK CORP,JP3732000009,TSE,JPY,10599000,233.8
,TOPIX FUTURES SEP.2026,,OSE,JPY,3.0,4076
