Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RBOD","ISHARES AUTOMATION & ROBOTIC USD_D","Financials","Equity","5,589,705,791.26","99.93","5,589,705,791.26","2,456,383.00","2,275.83","Ireland","London Stock Exchange","JPY","0.01","USD"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","3,055,231.00","0.05","3,055,231.00","3,055,231.00","100.00","Japan","-","JPY","1.00","JPY"
"USD","USD CASH","Cash and/or Derivatives","Cash","609,180.90","0.01","609,180.90","3,832.00","15,898.25","United States","-","JPY","0.01","USD"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","117,726.59","0.00","117,726.59","634.00","18,552.88","European Union","-","JPY","0.01","EUR"
 
Fund Holdings as of,"2026/08/20"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"6857","ADVANTEST","Information Technology","Equity","207,418,646.70","3.73","207,418,646.70","932,000.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"SNOW","SNOWFLAKE","Information Technology","Equity","205,126,156.43","3.69","205,126,156.43","639,106.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"NOW","SERVICENOW INC","Information Technology","Equity","185,593,827.87","3.33","185,593,827.87","1,431,872.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"SAP","SAP","Information Technology","Equity","185,541,548.86","3.33","185,541,548.86","856,339.00","-","Germany","Xetra","JPY","-","EUR"
"6861","KEYENCE","Information Technology","Equity","166,728,890.95","3.00","166,728,890.95","328,300.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"EMR","EMERSON ELECTRIC","Industrials","Equity","166,222,229.46","2.99","166,222,229.46","1,075,452.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"SIE","SIEMENS N AG","Industrials","Equity","161,461,502.46","2.90","161,461,502.46","501,228.00","-","Germany","Xetra","JPY","-","EUR"
"NVDA","NVIDIA","Information Technology","Equity","159,377,015.91","2.86","159,377,015.91","735,724.00","-","United States","NASDAQ","JPY","-","USD"
"TER","TERADYNE","Information Technology","Equity","158,785,261.99","2.85","158,785,261.99","414,849.00","-","United States","NASDAQ","JPY","-","USD"
"ADSK","AUTODESK","Information Technology","Equity","155,545,631.76","2.79","155,545,631.76","620,295.00","-","United States","NASDAQ","JPY","-","USD"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","151,059,091.48","2.71","151,059,091.48","322,108.00","-","United States","NASDAQ","JPY","-","USD"
"ABBN","ABB LTD","Industrials","Equity","150,942,854.11","2.71","150,942,854.11","1,515,828.00","-","Switzerland","SIX Swiss Exchange","JPY","-","CHF"
"GRMN","GARMIN","Consumer Discretionary","Equity","150,266,007.75","2.70","150,266,007.75","513,225.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","143,907,433.94","2.59","143,907,433.94","573,905.00","-","United States","NASDAQ","JPY","-","USD"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","140,894,716.86","2.53","140,894,716.86","326,898.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"CSU","CONSTELLATION SOFTWARE","Information Technology","Equity","138,804,112.56","2.49","138,804,112.56","62,253.00","-","Canada","Toronto Stock Exchange","JPY","-","CAD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","134,310,342.20","2.41","134,310,342.20","359,029.00","-","United States","NASDAQ","JPY","-","USD"
"KLAC","KLA","Information Technology","Equity","132,925,504.56","2.39","132,925,504.56","715,931.00","-","United States","NASDAQ","JPY","-","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","130,618,554.14","2.35","130,618,554.14","1,419,231.00","-","United States","NASDAQ","JPY","-","USD"
"ALAB","ASTERA LABS","Information Technology","Equity","130,089,090.10","2.34","130,089,090.10","448,243.00","-","United States","NASDAQ","JPY","-","USD"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","125,234,372.11","2.25","125,234,372.11","541,880.00","-","United States","NASDAQ","JPY","-","USD"
"ROP","ROPER TECHNOLOGIES","Information Technology","Equity","121,564,830.43","2.18","121,564,830.43","296,481.00","-","United States","NASDAQ","JPY","-","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","120,393,558.10","2.16","120,393,558.10","1,589,736.00","-","United States","NASDAQ","JPY","-","USD"
"WDAY","WORKDAY CLASS A","Information Technology","Equity","117,969,814.14","2.12","117,969,814.14","598,479.00","-","United States","NASDAQ","JPY","-","USD"
"6954","FANUC CORP","Industrials","Equity","111,087,337.89","2.00","111,087,337.89","2,885,870.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","109,114,083.29","1.96","109,114,083.29","971,856.00","-","United States","NASDAQ","JPY","-","USD"
"7769","HONPRECISION INC","Information Technology","Equity","66,932,707.22","1.20","66,932,707.22","332,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"HEXA B","HEXAGON CLASS B","Information Technology","Equity","64,659,126.38","1.16","64,659,126.38","6,231,520.00","-","Sweden","Nasdaq Omx Nordic","JPY","-","SEK"
"6920","LASERTEC","Information Technology","Equity","60,831,079.19","1.09","60,831,079.19","276,700.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","55,346,788.41","0.99","55,346,788.41","2,133,185.00","-","France","Nyse Euronext - Euronext Paris","JPY","-","EUR"
