ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2836,Global X Japan Fintech ETF,311827.0,93260,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
3626,TIS INC,JP3104890003,TSE,JPY,2300,3820.0
3769,GMO PAYMENT GATEWAY INC,JP3385890003,TSE,JPY,2700,9222.0
3836,AVANT GROUP CORP,JP3548680002,TSE,JPY,200,1206.0
3994,MONEY FORWARD INC,JP3869960009,TSE,JPY,6300,6100.0
4072,DENSAN SYSTEM HOLDINGS CO LTD,JP3551440005,TSE,JPY,100,3065.0
4307,NOMURA RESEARCH INSTITUTE LTD ORD,JP3762800005,TSE,JPY,4400,5012.0
4419,FINATEXT HOLDINGS LTD,JP3803110000,TSE,JPY,300,1380.0
4477,BASE INC,JP3835260005,TSE,JPY,700,312.0
4478,FREEE KK,JP3826520003,TSE,JPY,6200,3780.0
4755,RAKUTEN GROUP INC,JP3967200001,TSE,JPY,16300,780.8
4765,SBI GLOBAL ASSET MANAGEMENT,JP3922100007,TSE,JPY,9600,625.0
4812,INFORMATION SERVICES INTERNATI,JP3551530003,TSE,JPY,800,2752.0
4819,DIGITAL GARAGE INC,JP3549070005,TSE,JPY,2500,2285.0
5838,RAKUTEN BANK ORD,JP3967220009,TSE,JPY,3400,6095.0
7157,LIFENET INSURANCE CO,JP3966660007,TSE,JPY,8300,1529.0
7164,ZENKOKU HOSHO CO LTD,JP3429250008,TSE,JPY,6700,3188.0
8304,AOZORA BANK LTD ORD,JP3711200000,TSE,JPY,1100,3285.0
8572,ACOM CO LTD ORD,JP3108600002,TSE,JPY,4500,488.8
8584,JACCS CO LTD,JP3388600003,TSE,JPY,200,3785.0
8585,ORIENT CORP,JP3199000005,TSE,JPY,900,874.0
8595,JAFCO GROUP CO LTD,JP3389900006,TSE,JPY,6700,2299.0
8613,MARUSAN SECURITIES CO LTD,JP3874800000,TSE,JPY,600,1265.0
8622,MITO SECURITIES CO LTD,JP3905400002,TSE,JPY,500,920.0
8628,MATSUI SECURITIES CO LTD ORD,JP3863800003,TSE,JPY,15400,1109.0
8697,JAPAN EXCHANGE GROUP INC,JP3183200009,TSE,JPY,11400,2238.0
8698,MONEX GROUP INC,JP3869970008,TSE,JPY,24600,729.0
8707,IWAICOSMO HOLDINGS INC,JP3149950002,TSE,JPY,2600,4600.0
8771,EGUARANTEE INC,JP3130300001,TSE,JPY,4300,1838.0
9682,DTS CORP,JP3548500002,TSE,JPY,1500,1116.0
9759,NSD CO LTD,JP3712600000,TSE,JPY,700,2869.5
