ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2837,Global X Japan Mid & Small Cap Leaders ETF,195355476.0,13541925,20260810

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1980,DAI-DAN CO LTD,JP3486000007,TSE,JPY,771200,2511.0
2127,NIHON M&A CENTER HOLDINGS INC,JP3689050007,TSE,JPY,2528100,642.4
2146,UT GROUP CO LTD,JP3949500007,TSE,JPY,2752000,183.0
2222,KOTOBUKI SPIRITS CO LTD,JP3299600001,TSE,JPY,845500,2609.0
2317,SYSTENA CORP,JP3351050004,TSE,JPY,2093400,422.0
2353,NIPPON PARKING DEVELOPMENT C,JP3728000005,TSE,JPY,1985200,250.0
2371,KAKAKU.COM INC,JP3206000006,TSE,JPY,858700,3711.0
247A,AI ROBOTICS ORD,JP3160060004,TSE,JPY,230700,827.0
2726,PAL GROUP HOLDINGS CO. LTD.,JP3781650001,TSE,JPY,918100,1490.0
2767,TSUBURAYA FIELDS HOLDINGS INC,JP3802680003,TSE,JPY,349000,2508.0
277A,GLOBE-ING ORD,JP3274430002,TSE,JPY,58800,1636.0
3046,JINS HOLDINGS INC,JP3386110005,TSE,JPY,108800,6220.0
3064,MONOTARO CO LTD,JP3922950005,TSE,JPY,1593800,1924.5
3076,AI HOLDINGS CORP,JP3105090009,TSE,JPY,316100,2973.0
3092,ZOZO INC,JP3399310006,TSE,JPY,2705900,1149.0
3110,NITTO BOSEKI CO,JP3684400009,TSE,JPY,912300,2825.0
319A,NEXT GENERATION ORD,JP3264350004,TSE,JPY,16400,19370.0
3661,M-UP HOLDINGS INC,JP3167310006,TSE,JPY,520900,803.0
3663,CELSYS INC,JP3100260003,TSE,JPY,199700,1869.0
3687,FIXSTARS CORP,JP3802950000,TSE,JPY,208200,2240.0
3697,SHIFT INC,JP3355400007,TSE,JPY,1533100,896.4
3923,RAKUS CO LTD,JP3967170006,TSE,JPY,1368300,1052.5
4194,VISIONAL INC,JP3800270005,TSE,JPY,216800,9000.0
4259,EXAWIZARDS INC,JP3161330000,TSE,JPY,496700,836.0
4431,SMAREGI INC,JP3400110007,TSE,JPY,63000,3200.0
4506,SUMITOMO PHARMA CO LTD,JP3495000006,TSE,JPY,1860100,1295.0
4704,TREND MICRO INC,JP3637300009,TSE,JPY,500700,6732.0
4716,ORACLE CORP JAPAN ORD,JP3689500001,TSE,JPY,293700,9110.0
5032,ANYCOLOR INC,JP3164780003,TSE,JPY,208000,2729.0
6016,JAPAN ENGINE CORP,JP3291000002,TSE,JPY,45500,9310.0
6036,KEEPER TECHNICAL LABORATORY CO,JP3236320002,TSE,JPY,105800,2873.0
6058,VECTOR INC,JP3835500004,TSE,JPY,239100,1848.0
6088,SIGMAXYZ HOLDINGS INC,JP3348950001,TSE,JPY,479600,514.0
6196,STRIKE CO LTD,JP3399780000,TSE,JPY,214800,1307.0
6200,INSOURCE CO LTD,JP3152670000,TSE,JPY,423000,713.0
6269,MODEC INC,JP3888250002,TSE,JPY,318400,10320.0
6366,CHIYODA CORP ORD,JP3528600004,TSE,JPY,1573500,681.0
6532,BAYCURRENT CONSULTING INC,JP3835250006,TSE,JPY,469700,7122.0
6727,WACOM CO LTD,JP3993400005,TSE,JPY,1037000,786.0
6777,SANTEC HLDGS CORP,JP3335410001,TSE,JPY,53300,19150.0
6946,NIPPON AVIONICS CO LTD,JP3686200001,TSE,JPY,59700,5700.0
7148,FINANCIAL PRODUCTS GROUP CO LTD,JP3166990006,TSE,JPY,605500,1614.0
7685,BUYSELL TECHNOLOGIES CO LTD,JP3778270003,TSE,JPY,229200,3060.0
7839,SHOEI CO LTD,JP3360900009,TSE,JPY,405600,2018.0
8111,GOLDWIN INC,JP3306600002,TSE,JPY,835900,2075.0
8136,SANRIO CO LTD ORD,JP3343200006,TSE,JPY,2750900,1397.0
8919,KATITAS CO LTD,JP3932950003,TSE,JPY,447200,3350.0
9416,VISION INC/TOKYO JAPAN,JP3800330007,TSE,JPY,245900,1016.0
9744,MEITEC GROUP HOLDINGS INC,JP3919200000,TSE,JPY,589700,3286.0
9757,FUNAI SOKEN HOLDINGS INC,JP3825800000,TSE,JPY,600600,1107.0
,NK225 FUTURES SEP.2026,,OSE,JPY,3.0,65660
