ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2867,Global X Autonomous & EV ETF,268582.0,250000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
5301,TOKAI CARBON CO LTD,JP3560800009,XJPX,JPY,2200,1685.0
6526,SOCIONEXT INC,JP3433500000,XJPX,JPY,1400,1990.0
6674,GS YUASA CORP,JP3385820000,XJPX,JPY,600,5273.0
6902,DENSO CORP ORD,JP3551500006,XJPX,JPY,1900,1948.5
7201,NISSAN MOTOR CO LTD ORD,JP3672400003,XJPX,JPY,11100,336.0
7203,TOYOTA MOTOR CORP,JP3633400001,XJPX,JPY,2600,3132.0
,IGO LTD,AU000000IGO4,XASX,AUD,4597,8.04
,PILBARA MINERALS LTD,AU000000PLS0,XASX,AUD,7290,4.83
,LIONTOWN RESOURCES LTD,AU000000LTR4,XASX,AUD,22289,1.205
,LITHIUM AMERICAS CORP,CA53681J1030,XTSE,CAD,7163,4.09
,LITHIUM ARGENTINA CORP,CH1403212751,XTSE,CAD,3094,8.27
,FORVIA,FR0000121147,XPAR,EUR,2090,8.822
,INFINEON TECHNOLOGIES AG,DE0006231004,XETR,EUR,494,55.41
,RENAULT SA,FR0000131906,XPAR,EUR,749,28.61
,STELLANTIS NV,NL00150001Q9,XMIL,EUR,4057,4.4675
,STMICROELECTRONICS NV,NL0000226223,XPAR,EUR,429,42.99
,VOLKSWAGEN AG PREF,DE0007664039,XETR,EUR,292,74.44
,ERAMET,FR0000131757,XPAR,EUR,444,45.82
,RIO TINTO PLC,GB0007188757,XLON,GBP,373,75.04
,GEELY AUTOMOBILE HOLDINGS LT,KYG3777B1032,XHKG,HKD,10000,18.54
,NEXTEER AUTOMOTIVE GROUP LTD,KYG6501M1050,XHKG,HKD,45000,5.185
,JIANGXI GANFENG LITHIUM CO LTD,CNE1000031W9,XHKG,HKD,4500,37.38
,ROBOSENSE ORD,KYG7611S1075,XHKG,HKD,7700,21.28
,BYD CO LTD,CNE100000296,XHKG,HKD,2600,91.8
,LI AUTO INC-CLASS A,KYG5479M1050,XHKG,HKD,3700,50.55
,TIANQI LITHIUM CORP-H,CNE100005F09,XHKG,HKD,5200,33.74
