ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
315A,Global X Japan Bank High Dividend ETF,41299977.0,12259006,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
5844,KYOTO FINANCIAL GROUP INC,JP3252200005,TSE,JPY,66400,4841.0
7184,FIRST BANK OF TOYAMA LTD/THE,JP3632150003,TSE,JPY,15000,3175.0
7327,DAISHI HOKUETSU FINANCIAL GROUP INC,JP3483850008,TSE,JPY,45600,2465.0
7337,HIROGIN HOLDINGS INC,JP3796150005,TSE,JPY,67200,2300.5
8303,SBI SHINSEI BANK LTD,JP3729000004,TSE,JPY,82200,1567.0
8304,AOZORA BANK LTD ORD,JP3711200000,TSE,JPY,30800,3285.0
8306,MITSUBISHI UFJ FINANCIAL GRO,JP3902900004,TSE,JPY,2335900,3508.0
8309,SUMITOMO MITSUI TRUST HOLDINGS ORD,JP3892100003,TSE,JPY,667000,1715.5
8316,SUMITOMO MITSUI FINANCIAL GR,JP3890350006,TSE,JPY,1053900,6606.0
8370,KIYO BANK LTD/THE,JP3248000006,TSE,JPY,16100,4885.0
8399,BANK OF THE RYUKYUSLIMITED,JP3975000005,TSE,JPY,10300,3155.0
8410,SEVEN BANK LTD ORD,JP3105220002,TSE,JPY,151500,332.5
8411,MIZUHO FINANCIAL GROUP INC,JP3885780001,TSE,JPY,672600,8110.0
8522,BANK OF NAGOYA LTD/THE,JP3648800005,TSE,JPY,9100,6980.0
8600,TOMONY HOLDINGS INC,JP3631700006,TSE,JPY,46200,1083.0
,TOPIX FUTURES SEP.2026,,OSE,JPY,1.0,4076
