ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,,,
380A,Global X China Tech ETF,-373351,1650000,20260729,,,,
,,,,,,,,
Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price,,
,HSTECH FUTURES AUG26,,,HKD,12,4698,56376,0.07%
6218089,LENOVO GROUP LTD,HK0992009065,XHKG,HKD,150000,23.42,3513000,4.48%
6536651,BYD COMPANY LTD,CNE100000296,XHKG,HKD,71000,89.8,6375800,8.14%
B0J2D41,BAIDU INC,KYG070341048,XHKG,HKD,33400,101.6,3393440,4.33%
B1YBT08,SUNNY OPTICAL TECH,KYG8586D1097,XHKG,HKD,15500,58.05,899775,1.15%
B29SHS5,BYD ELECTRONIC INT,HK0285041858,XHKG,HKD,17500,23.18,405650,0.52%
BDFBM13,SEMICONDUCTOR MFG,KYG8020E1199,XHKG,HKD,84000,69.1,5804400,7.41%
BG0ZMJ9,XIAOMI CORPORATION,KYG9830T1067,XHKG,HKD,231800,29.26,6782468,8.66%
BGJW376,MEITUAN,KYG596691041,XHKG,HKD,80300,90.3,7251090,9.26%
BGM5R25,TONGCHENG TRAVEL,KYG8918W1069,XHKG,HKD,31200,13.81,430872,0.55%
BJLVDM7,ZHEJIANG LEAPMOTOR,CNE100005K77,XHKG,HKD,16200,38.52,624024,0.80%
BK6YZP5,ALIBABA GROUP HLDG,KYG017191142,XHKG,HKD,52500,112,5880000,7.51%
BKPQZT6,JD.COM INC,KYG8208B1014,XHKG,HKD,35200,124.1,4368320,5.58%
BLC90T0,KUAISHOU TECHNOLOG,KYG532631028,XHKG,HKD,67300,42.34,2849482,3.64%
BLD4QD0,HAIER SMART HOME C,CNE1000048K8,XHKG,HKD,53600,21.78,1167408,1.49%
BLF8533,BILIBILI INC,KYG1098A1013,XHKG,HKD,7040,140.5,989120,1.26%
BM93SF4,NETEASE INC,KYG6427A1022,XHKG,HKD,34700,199.6,6926120,8.84%
BMMV2K8,TENCENT HLDGS LTD,KYG875721634,XHKG,HKD,14300,447.2,6394960,8.16%
BMW5M00,LI AUTO INC,KYG5479M1050,XHKG,HKD,31000,49.68,1540080,1.97%
BMW8R04,JD HEALTH INTERNAT,KYG5074A1004,XHKG,HKD,24800,37.96,941408,1.20%
BNYK8H9,TRIP COM GROUP LTD,KYG9066F1019,XHKG,HKD,6100,349.2,2130120,2.72%
BP6FB33,XPENG INC,KYG982AW1003,XHKG,HKD,35900,49.56,1779204,2.27%
BPK3C96,SENSETIME GRP INC,KYG8062L1041,XHKG,HKD,759000,1.4,1062600,1.36%
BPR9XV6,NIO INC,KYG6525F1028,XHKG,HKD,13670,36.98,505516.6,0.65%
BQB7ZL7,MIDEA GROUP CO LTD,CNE100006M58,XHKG,HKD,13700,96.35,1319995,1.68%
BQS7PQ5,TENCENT MUSIC ENTE,KYG875771134,XHKG,HKD,1400,36.5,51100,0.07%
BRB3857,HUA HONG GRACE SEM,HK0000218211,XHKG,HKD,18000,138.3,2489400,3.18%
BRXVS60,ALIBABA HEALTH INF,BMG0171K1018,XHKG,HKD,142000,3.43,487060,0.62%
BS5YNY7,HORIZON ROBOTICS,KYG4602S1057,XHKG,HKD,258600,5,1293000,1.65%
BT9QZ17,Z.AI CO LTD,CNE100007DH9,XHKG,HKD,400,1042,416800,0.53%
BWJFCD6,MINIMAX GROUP INC,KYG6181S1093,XHKG,HKD,420,197.2,82824,0.11%
CASH,HKD,,,HKD,2818467.02,0.04787,134920.0162474,0.17%
,,,,,,,78346332.6162474,100.00%
