Ticker,Name,Exchange,asset_type,stock_sector,etf_category,Country,country_code,ISIN,aliases
1306,NEXT FUNDS TOPIX Exchange Traded Fund,TSE,ETF,,Equity,Japan,JP,JP3027630007,next funds topix
1311,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,TSE,ETF,,Equity,Japan,JP,JP3040140000,next funds topix core 30
1320,iFreeETF Nikkei225 (Yearly Dividend Type),TSE,ETF,,Equity,Japan,JP,JP3027640006,ifreeetf nikkei225 yearly dividend type
1322,Listed Index Fund China A Share (Panda) E Fund CSI300,TSE,ETF,,Equity,Japan,JP,JP3046760009,listed china a panda e csi300
1328,NEXT FUNDS Gold Price Exchange Traded Fund,TSE,ETF,,Commodity,Japan,JP,JP3046490003,next funds gold price
1329,iShares Core Nikkei 225 ETF,TSE,ETF,,Equity,Japan,JP,JP3027710007,core nikkei 225
1330,Listed Index Fund 225,TSE,ETF,,Equity,Japan,JP,JP3027660004,listed 225
1332,Nissui Corporation,TSE,Stock,Consumer Staples,,Japan,JP,JP3718800000,nissui
1333,Umios Corporation,TSE,Stock,Consumer Staples,,Japan,JP,JP3876600002,umios
1345,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index)Bi-Monthly Dividend Payment Type,TSE,ETF,,Equity,Japan,JP,JP3047030006,listed j-reit tokyo stock exchange reit bi-monthly dividend payment type
1346,MAXIS NIKKEI 225 ETF,TSE,ETF,,Equity,Japan,JP,JP3047040005,maxis nikkei 225
1348,MAXIS TOPIX ETF,TSE,ETF,,Equity,Japan,JP,JP3047060003,maxis topix
1356,TOPIX Bear -2x ETF,TSE,ETF,,Other,Japan,JP,JP3047770007,topix bear -2x
1357,NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund,TSE,ETF,,Other,Japan,JP,JP3047780006,next funds nikkei 225 double inverse
1358,Listed Index Fund Nikkei Leveraged Index,TSE,ETF,,Other,Japan,JP,JP3047790005,listed nikkei leveraged
1360,Nikkei225 Bear -2x ETF,TSE,ETF,,Other,Japan,JP,JP3047810001,nikkei225 bear -2x
1364,iShares JPX-Nikkei 400 ETF,TSE,ETF,,Equity,Japan,JP,JP3047840008,jpx-nikkei 400
