Ticker,Name,Exchange,asset_type,stock_sector,etf_category,Country,country_code,ISIN,aliases
SVA,Sinovac Biotech Ltd,NASDAQ,Stock,Health Care,,United States,US,AGP8696W1045,sinovac biotech
VD,Visa Inc.,BCBA,Stock,Financials,,United States,US,ARBCOM460127,
QCOMD,QUALCOMM Incorporated,BCBA,Stock,Information Technology,,United States,US,ARDEUT111457,
NTCHF,N1 Technologies Inc,OTC,Stock,Materials,,United States,US,BZP730982071,n1 technologies
AQBN,Diamond Energy Partners Inc,OTC,Stock,Energy,,United States,US,US0003031079,diamond energy partners
WHWK,"Whitehawk Therapeutics, Inc.",NASDAQ,Stock,Health Care,,United States,US,US00032Q1040,whitehawk therapeutics
AAON,AAON Inc,NASDAQ,Stock,Industrials,,United States,US,US0003602069,
AIR,AAR Corp,NYSE,Stock,Industrials,,United States,US,US0003611052,
AAPJ,AAP Inc,OTC,Stock,Real Estate,,United States,US,US00037T1034,
YEAR,AB Ultra Short Income ETF,NYSE ARCA,ETF,,Other,United States,US,US00039J1034,ultra short income
TAFI,Ab Tax-Aware Short Duration ETF,NYSE ARCA,ETF,,Other,United States,US,US00039J2024,tax-aware short duration
LOWV,AB US Low Volatility Equity ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J3014,us low volatility equity
HIDV,AB US High Dividend ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J4004,us high dividend
FWD,AB Disruptors ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J5092,
HYFI,AB High Yield ETF,NYSE ARCA,ETF,,Fixed Income,United States,US,US00039J6082,high yield
LRGC,AB US Large Cap Strategic Equities ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J7072,us large cap strategic equities
XCHG,Ab US Equity ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J7312,us equity
IGGY,AB International Growth ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J7494,international growth
CORB,AB Core Bond ETF,NYSE ARCA,ETF,,Fixed Income,United States,US,US00039J7569,
NYM,AB New York Intermediate Municipal ETF,NYSE ARCA,ETF,,Fixed Income,United States,US,US00039J7643,new york intermediate municipal
CAM,AB California Intermediate Municipal ETF,NYSE ARCA,ETF,,Fixed Income,United States,US,US00039J7726,california intermediate municipal
EMOP,AB Emerging Markets Opportunities ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J7809,emerging markets opportunities
BUFM,AB Moderate Buffer ETF,NASDAQ,ETF,,Alternative,United States,US,US00039J7981,moderate buffer
BUFC,AB Conservative Buffer ETF,NASDAQ,ETF,,Alternative,United States,US,US00039J8062,conservative buffer
BUFI,AB International Buffer ETF,NASDAQ,ETF,,Alternative,United States,US,US00039J8146,international buffer
ILOW,AB International Low Volatility Equity ETF,NYSE ARCA,ETF,,Equity,United States,US,US00039J8229,international low volatility equity
SYFI,AB Short Duration High Yield ETF,NYSE ARCA,ETF,,Other,United States,US,US00039J8302,short duration high yield
SDFI,AB Short Duration Income ETF,NYSE ARCA,ETF,,Other,United States,US,US00039J8484,short duration income
CPLS,AB Core Plus Bond ETF,NASDAQ,ETF,,Fixed Income,United States,US,US00039J8559,core plus bond
TAFL,AB Tax-Aware Long Municipal ETF,NYSE ARCA,ETF,,Fixed Income,United States,US,US00039J8716,tax-aware long municipal
TAFM,AB Tax-Aware Intermediate Municipal ETF,NYSE ARCA,ETF,,Fixed Income,United States,US,US00039J8898,tax-aware intermediate municipal
ACCO,Acco Brands Corporation,NYSE,Stock,Industrials,,United States,US,US00081T1088,acco brands
ABVN,ABV Consulting Inc,OTC,Stock,Financials,,United States,US,US00083Q1022,abv consulting
ABQQ,AB International Group Corp,OTC,Stock,Information Technology,,United States,US,US00083U2024,
AERA,AI Era Corp.,OTC,Stock,Communication Services,,United States,US,US00083U5092,ai era
ACNB,ACNB Corporation,NASDAQ,Stock,Financials,,United States,US,US0008681092,
CAVG,ACC Aviation Holdings Ltd,OTC,Stock,Financials,,United States,US,US00086F1030,acc aviation holdings|acc aviation
ADMA,ADMA Biologics Inc,NASDAQ,Stock,Health Care,,United States,US,US0008991046,adma biologics
ACSAY,ACS Actividades De Construccion Y Servicios SA ADR,OTC,Stock,,,United States,US,US00089H1068,
DRWN,A Clean Slate Inc.,OTC,Stock,Health Care,,United States,US,US00089L1070,a clean slate
ADMQ,ADM Endeavors Inc,OTC,Stock,Industrials,,United States,US,US00089T1007,adm endeavors
AQFD,A Classified Ad Inc.,OTC,Stock,Financials,,United States,US,US00089Y1091,a classified ad
ADT,ADT Inc,NYSE,Stock,Industrials,,United States,US,US00090Q1031,adt security
ACPS,AC Partners Inc,OTC,Stock,Industrials,,United States,US,US00090X1081,ac partners
ABSI,Absci Corp,NASDAQ,Stock,Health Care,,United States,US,US00091E1091,absci
ABVC,ABVC Biopharma Inc,NASDAQ,Stock,Health Care,,United States,US,US00091F1066,abvc biopharma
ACVA,ACV Auctions Inc.,NYSE,Stock,Consumer Discretionary,,United States,US,US00091G1040,acv auctions
AERN,AER Energy Resources Inc,OTC,Stock,Energy,,United States,US,US0009441082,aer energy resources
ABM,ABM Industries Incorporated,NYSE,Stock,Industrials,,United States,US,US0009571003,abm industries
ADMT,Adm Tronics Unltd,OTC,Stock,Health Care,,United States,US,US0010041004,adm tronics unltd|adm tronics un|adm tronics unlimited
AFL,Aflac Incorporated,NYSE,Stock,Financials,,United States,US,US0010551028,aflac|aflac duck
AGCO,AGCO Corporation,NYSE,Stock,Industrials,,United States,US,US0010841023,
ACMR,Acm Research Inc,NASDAQ,Stock,Information Technology,,United States,US,US00108J1097,acm research
AFCG,Advanced Flower Capital Inc.,NASDAQ,Stock,Financials,,United States,US,US00109K1051,advanced flower capital
BTAL,AGFiQ U.S. Market Neutral Anti-Beta Fund,NYSE ARCA,ETF,,Equity,United States,US,US00110G4082,agfiq u.s. market neutral anti-beta
AGLXY,AGL Energy Ltd Sponsored ADR,OTC,Stock,Utilities,,United States,US,US0012012011,agl energy sponsored
MITT,AG Mortgage Investment Trust Inc,NYSE,Stock,Real Estate,,United States,US,US0012285013,mortgage investment trust
AGNC,AGNC Investment Corp,NASDAQ,Stock,Real Estate,,United States,US,US00123Q1040,agnc investment
