No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",370612400,1323456880400,0.03934566000641329
2,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,293002400,898638360800.0001,0.02671603430107292
3,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",128065200,872636272800.0001,0.025943006234154995
4,6501,JP3788600009,日立製作所,"HITACHI,LTD.",151756500,799301485500,0.023762802518808895
5,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,199595000,755866265000,0.02247149681523352
6,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,12528000,695304000000.0001,0.020671013306327583
7,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",81735300,667532195100,0.019845372509455082
8,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,114668500,603156310000.0001,0.017931512129666226
9,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,17960900,583729250000,0.017353956102715673
10,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,115874700,553417567200,0.016452806104303493
11,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",42699700,535881235000,0.01593146039616665
12,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",60396200,490054766800.00006,0.01456906418681909
13,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,5967500,484262625000.00006,0.014396866931776782
14,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",89459600,441662045200.00006,0.013130374646527351
15,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,212116900,427203436600.00006,0.012700528002812397
16,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",112879700,424879190800,0.012631429427428138
17,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",56923200,422142451200,0.012550067633611975
18,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,65992400,390147068800,0.0115988621532301
