No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,残高数量 Quantity,評価金額(円） Valuation (yen),純資産比率 % of NAV,償還日 Maturity Date,MOTHER FUND/DIRECT
1,065B05GVN,CNE000001LM6,CHINA 50 ETF,中国,CN,中国・人民元,CNY,39762372.5469,2860100920.1853905,0.9775852436687519,,MOTHER FUND
2,-,-,CHA50 2608,アメリカ,US,アメリカ・ドル,USD,24.0004,56598827.321241304,0.01934553358159642,,MOTHER FUND
,,,,,,,,,,,,
,,,合計（Total）,,,,,,2916699747.506632,0.9969307772503483,,
,,,,,,,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,,,,,2925679309,1,,
,,,,,,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,,,,,,
1309,"NEXT FUNDS ChinaAMC・中国株式・上証50連動型上場投信
　（NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund）",,,,,,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3046510008,,,,,,,
