No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8951,-,日本ビルファンド投資法人,Nippon Building Fund Inc.,299672,40365818400.00001,0.07327515317727162
2,8952,-,ジャパンリアルエステイト投資法人,Japan Real Estate Investment Corporation,260643,31824510300.000004,0.05777031061072598
3,8953,-,日本都市ファンド投資法人,Japan Metropolitan Fund Investment Corporation,257394,30346752600.000004,0.055087770627184056
4,3281,-,GLP投資法人,GLP J-REIT,171687,24894615000,0.045190629094595626
5,3462,-,野村不動産マスターファンド投資法人,"Nomura Real Estate Master Fund, Inc.",157956,24119881200,0.04378427242658342
6,3283,-,日本プロロジスリート投資法人,"Nippon Prologis REIT, Inc.",255173,23118673800.000004,0.04196680337714585
7,8972,-,KDX不動産投資法人,KDX Realty Investment Corporation,144543,22563162300.000004,0.04095839597039212
8,8954,-,オリックス不動産投資法人,ORIX JREIT Inc.,197533,20365652300,0.036969305986808726
9,8984,-,大和ハウスリート投資法人,Daiwa House REIT Investment Corporation,154335,19060372500,0.03459986121706764
10,8960,-,ユナイテッド・アーバン投資法人,United Urban Investment Corporation,108786,17721239400,0.032168963320860125
11,8985,-,ジャパン・ホテル・リート投資法人,Japan Hotel REIT Investment Corporation,211275,17197785000.000004,0.03121874843951595
12,8963,-,インヴィンシブル投資法人,Invincible Investment Corporation,259947,15908756400,0.028878804103966836
13,3269,-,アドバンス・レジデンス投資法人,Advance Residence Investment Corporation,102069,15096005100,0.027403435131823646
14,8955,-,日本プライムリアルティ投資法人,Japan Prime Realty Investment Corporation,137623,13500816300,0.024507725140058233
15,3249,-,産業ファンド投資法人,Industrial & Infrastructure Fund Investment Corporation,90481,12784965300.000002,0.023208257081283466
16,3471,-,三井不動産ロジスティクスパーク投資法人,Mitsui Fudosan Logistics Park Inc.,109456,11832193600,0.021478712257773345
17,3309,-,積水ハウス・リート投資法人,"Sekisui House Reit, Inc.",146316,11090752800,0.020132791616365543
18,3279,-,アクティビア・プロパティーズ投資法人,Activia Properties Inc.,76533,10936565700,0.019852899276304396
19,3226,-,三井不動産アコモデーションファンド投資法人,Mitsui Fudosan Accommodations Fund Inc.,85579,10509101200.000002,0.0190769326798896
20,8967,-,日本ロジスティクスファンド投資法人,"Japan Logistics Fund, Inc.",98271,9719001900,0.01764268336877554
21,3466,-,ラサールロジポート投資法人,LaSalle LOGIPORT REIT,62151,9484242600,0.01721653014436107
22,3282,-,コンフォリア・レジデンシャル投資法人,"Comforia Residential REIT, Inc",75099,7667607900.000001,0.01391883444076927
23,8964,-,三井不動産商業ファンド投資法人,Mitsui Fudosan Retail Fund Investment Corporation,91958,7540556000,0.013688200012855294
24,3234,-,森ヒルズリート投資法人,Mori Hills REIT Investment Corporation,57374,7464357400.000001,0.01354987842522972
