No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,12000,666000000.0000001,0.0412303739508216
2,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,19600,637000000,0.03943505736737741
3,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",92200,628250800,0.03889341654489914
4,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",168400,601356400.0000001,0.03722845232690669
5,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",37900,475645000.00000006,0.02944597780456237
6,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,5000,405750000.00000006,0.025118955301119916
7,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,131800,404230600.00000006,0.02502489309364112
8,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",46200,374866800.00000006,0.023207054573194972
9,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",72100,355957700.00000006,0.022036440062574127
10,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",42700,316663200,0.019603817045741455
11,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,155000,312170000,0.019325654408750715
12,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",79100,297732400,0.01843185914305645
13,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,48000,283776000,0.017567853751153675
14,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",44700,259260000.00000003,0.016050130255991002
15,6752,JP3866800000,パナソニック　ホールディングス,PANASONIC HOLDINGS CORPORATION,57800,247615200,0.015329230168029248
16,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,9200,227010000.00000003,0.01405361440026428
17,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,75300,219951300.00000003,0.013616628153107126
18,7974,JP3756600007,任天堂,"NINTENDO CO.,LTD.",28000,215012000,0.013310848594465545
19,9432,JP3735400008,ＮＴＴ,"NTT,INC.",1389900,211820760,0.013113287005025875
20,8002,JP3877600001,丸紅,MARUBENI CORPORATION,39300,204399300,0.012653843204633886
21,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,28100,200493500.00000003,0.012412045014578153
22,8591,JP3200450009,オリックス,ORIX CORPORATION,30200,193582000,0.011984171546768688
23,8053,JP3404600003,住友商事,SUMITOMO CORPORATION (SUMITOMO SHOJI KAI,110500,184535000,0.011424094680202496
24,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,33000,181929000,0.011262763817566098
25,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",109800,178479900,0.01104923876832619
26,6954,JP3802400006,ファナック,FANUC CORPORATION,25000,178375000.00000003,0.011042744674891596
27,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",2100,164199000,0.010165144402929361
28,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,733800,163930920.00000003,0.010148548248802132
29,6301,JP3304200003,小松製作所,KOMATSU LTD.,22900,160162600.00000003,0.009915261097501292
30,5803,JP3811000003,フジクラ,FUJIKURA LTD.,36900,153946800,0.009530456655453967
31,5802,JP3407400005,住友電気工業,"SUMITOMO ELECTRIC INDUSTRIES,LTD.",69300,151351200.00000003,0.009369769630488875
32,6762,JP3538800008,ＴＤＫ,TDK CORPORATION,50200,151001600.00000003,0.009348126779538113
33,6367,JP3481800005,ダイキン工業,"DAIKIN INDUSTRIES,LTD.",6300,146758500,0.009085447200392869
34,6146,JP3548600000,ディスコ,DISCO CORPORATION,2400,140352000.00000003,0.008688837004122693
35,4578,JP3188220002,大塚ホールディングス,"OTSUKA HOLDINGS CO.,LTD.",11100,123210000,0.007627619180901994
36,6723,JP3164720009,ルネサスエレクトロニクス,RENESAS ELECTRONICS CORPORATION,35700,122879400,0.007607152571850731
37,6971,JP3249600002,京セラ,KYOCERA CORPORATION,32400,119588400.00000001,0.007403415093364014
38,4568,JP3475350009,第一三共,"DAIICHI SANKYO COMPANY,LIMITED",45000,115537500.00000001,0.00715263412964422
39,3382,JP3422950000,セブン＆アイ・ホールディングス,"SEVEN & I HOLDINGS CO.,LTD.",54300,114518700.00000001,0.007089562800843774
