No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",15729000,25567489500.000004,0.04765131846188105
2,9107,JP3223800008,川崎汽船,"KAWASAKI KISEN KAISHA,LTD.",7177400,20455590000,0.03812403378187246
3,8604,JP3762600009,野村ホールディングス,"NOMURA HOLDINGS,INC.",13336300,20271176000.000004,0.03778033283920348
4,8750,JP3476480003,第一ライフグループ,"DAIICHI LIFE GROUP,INC.",10219500,19606110750.000004,0.03654081982304753
5,5401,JP3381000003,日本製鉄,NIPPON STEEL CORPORATION,28367100,18427268160,0.03434375609989556
6,8725,JP3890310000,ＭＳ＆ＡＤインシュアランスグループホール,"MS&AD INSURANCE GROUP HOLDINGS,INC.",3510000,17283240000,0.03221157764797834
7,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,2415400,17233879000,0.03211958125816475
8,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",2522100,17185589400,0.0320295816863258
9,9101,JP3753000003,日本郵船,NIPPON YUSEN KABUSHIKI KAISHA,2688700,16427957000.000002,0.030617546970541948
10,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,2955000,16290915000,0.030362135425945316
11,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,72006900,16086341460,0.02998086221163875
12,5108,JP3830800003,ブリヂストン,BRIDGESTONE CORPORATION,4006400,15885376000.000002,0.029606313543718173
13,6902,JP3551500006,デンソー,DENSO CORPORATION,7707400,15164309500.000002,0.02826242839520979
14,7270,JP3814800003,ＳＵＢＡＲＵ,SUBARU CORPORATION,5543200,15052559600,0.028054154912864823
15,7751,JP3242800005,キヤノン,CANON INC.,3397300,15043244400.000002,0.028036793741689374
16,5411,JP3386030005,ＪＦＥホールディングス,"JFE HOLDINGS,INC.",7876600,14315720500.000002,0.026680873636685334
17,1605,JP3294460005,ＩＮＰＥＸ,INPEX CORPORATION,3940200,14291105400.000002,0.026634997330798084
18,7261,JP3868400007,マツダ,MAZDA MOTOR CORPORATION,11860500,13953878250,0.026006491418293743
19,8795,JP3539220008,Ｔ＆Ｄホールディングス,"T&D HOLDINGS, INC.",2656500,13516272000,0.02519090431187645
20,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,5825600,12827971200,0.023908086121284547
21,1928,JP3420600003,積水ハウス,"SEKISUI HOUSE,LTD.",3671700,12806889600,0.023868795363571085
22,1925,JP3505000004,大和ハウス工業,"DAIWA HOUSE INDUSTRY CO.,LTD.",2669300,12486985400,0.023272575038087297
23,8309,JP3892100003,三井住友トラストグループ,"SUMITOMO MITSUI TRUST GROUP,INC.",7226300,11952300200.000002,0.022276057380690606
24,7272,JP3942800008,ヤマハ発動機,"YAMAHA MOTOR CO.,LTD.",8282300,11123128900,0.020730692292117794
