No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,GS,US38141G1040,GOLDMAN SACHS GROUP,21008,3460343207.0000005,0.11533568601807133
2,CAT,US1491231015,CATERPILLAR INC DEL,21008,2731984957.0000005,0.09105899049817752
3,MSFT,US5949181045,MICROSOFT CORP,21008,1523096638.0000002,0.050765887979026716
4,UNH,US91324P1021,UNITEDHEALTH GROUP INC,21008,1423053736,0.04743138731155905
5,AMGN,US0311621009,AMGEN INC,21008,1308829929,0.043624227052631366
6,TRV,US89417E1091,TRAVELERS COS INC/THE,21008,1269494802,0.04231315945448807
7,V,US92826C8394,VISA INC-CLASS A SHARES,21008,1236676138,0.04121929017615189
8,JPM,US46625H1005,JPMORGAN CHASE & CO,21008,1184611961,0.03948395434035562
9,SHW,US8243481061,SHERWIN-WILLIAMS,21008,1164319762,0.03880760099836754
10,AXP,US0258161092,AMERICAN EXPRESS CO,21008,1139604472.0000002,0.03798382290562832
11,GOOGL,US02079K3059,ALPHABET INC-CL A,21008,1126571546,0.037549426266014076
12,AAPL,US0378331005,APPLE INC,21008,1125794973,0.03752354253878236
13,HD,US4370761029,HOME DEPOT,21008,1125524860,0.03751453948148609
14,MCD,US5801351017,MCDONALD'S CORP,21008,906362362,0.030209698445738446
15,JNJ,US4781601046,JOHNSON & JOHNSON,21008,863752121.0000001,0.028789468982028395
16,HON,US4385162056,HONEYWELL INTERNATIONAL INC,21008,816786317.0000001,0.027224065523558594
17,AMZN,US0231351067,AMAZON.COM INC,21008,795143556,0.026502696995081246
18,IBM,US4592001014,INTERNATIONAL BUSINESS MACHINES,21008,748684213,0.024954174239877596
19,BA,US0970231058,BOEING CO,21008,745848032,0.02485964232158559
20,NVDA,US67066G1040,NVIDIA CORP,21008,658534179,0.0219494098584402
21,CVX,US1667641005,CHEVRON CORP,21008,649316592,0.021642181165654566
22,CRM,US79466L3024,SALESFORCE INC,21008,610150285.0000001,0.020336740457489753
23,MMM,US88579Y1010,3M CORP,21008,594483762,0.019814564167557683
24,PG,US7427181091,PROCTER & GAMBLE CO,21008,486067373,0.01620096925719679
25,MRK,US58933Y1055,MERCK & CO INC,21008,438223704,0.014606305937508187
26,CSCO,US17275R1023,CISCO SYSTEMS,21008,383424638.00000006,0.012779814317407002
27,WMT,US9311421039,WALMART INC,21008,375118680,0.012502970863835868
28,DIS,US2546871060,DISNEY (WALT) CO,21008,324675178.00000006,0.010821653271825132
29,KO,US1912161007,COCA COLA CO,21008,298778146,0.009958486882575134
30,NKE,US6541061031,NIKE INC-B,21008,142788200,0.004759231676491208
31,DIA,US78467X1090,SS SPDR DOW JONES INDUS AVG ETF,1203,100831955,0.0033608003619244164
32,DMU6,-,DJIAVMN2609,9,378833110,0.012626775442338218
,,,,,,
,,,合計（Total）,,30137709384,1.0045111651888539
,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,30002363765,1
,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,
1546,"NEXT FUNDS ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信
　（NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund）",,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3047250000,
