No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,MAY,MYL1155OO000,MALAYAN BANKING,291100,124570735.00000001,0.12280684360359091
2,PBK,MYL1295OO004,PUBLIC BANK BHD,563100,114282611,0.1126643969443306
3,TNB,MYL5347OO009,TENAGA NASIONAL,180300,103678338,0.10221027787823708
4,CIMB,MYL1023OO000,CIMB GROUP HOLDINGS BERHAD,322400,99289134,0.0978832239423969
5,PMAH,MYL8869OO009,PRESS METAL ALUMINIUM HOLDINGS,142300,44271711,0.04364483430912063
6,IHH,MYL5225OO007,IHH HEALTHCARE BHD,118600,38950774,0.03839924048659434
7,SDG,MYL5285OO001,SD GUTHRIE BHD,138300,35901372,0.03539301727936611
8,T,MYL4863OO006,TELEKOM MALAYSIA,114600,34707255,0.03421580868648602
9,GAM,MYL5398OO002,GAMUDA BERHAD,201300,33728599,0.03325101021810004
10,RHBBANK,MYL1066OO009,RHB BANK BHD,85865,28706485.000000004,0.028300008134365014
11,AMM,MYL1015OO006,AMMB HOLDING,109100,28235506.000000004,0.027835698082782065
12,PTG,MYL6033OO004,PETRONAS GAS BERHAD,36500,25238100,0.02488073462480403
13,MISC,MYL3816OO005,MISC BHD,76900,24559939.000000004,0.024212176220094816
14,HLBK,MYL5819OO007,HONG LEONG BANK,24144,21043787.000000004,0.02074581207966927
15,SWB,MYL5211OO007,SUNWAY BHD,100200,20532904,0.020242163059048707
16,PCHEM,MYL5183OO008,PETRONAS CHEMICALS GROUP BHD,106300,20068708,0.01978453996183079
17,IOI,MYL1961OO001,IOI CORP,107900,18970287.000000004,0.01870167233679912
18,YTLP,MYL6742OO000,YTL POWER INTERNATIONAL BHD,108340,18024952.000000004,0.017769723051134226
19,CDB,MYL6947OO005,CELCOMDIGI BHD,147200,16963691.000000004,0.016723489249514688
20,KLK,MYL2445OO004,KUALA LUMPUR KEPONG,19700,16426575.000000002,0.016193978681812035
21,MAXIS,MYL6012OO008,MAXIS BHD,110400,15892605.000000002,0.01566756956751236
22,AXIATA,MYL6888OO001,AXIATA GROUP BERHAD,174500,13658199,0.013464802214578901
23,YTL,MYL4677OO000,YTL CORPORATION BERHAD,157640,11904539,0.011735973614877108
24,PETD,MYL5681OO001,PETRONAS DAGANGAN BHD,12900,9741725,0.009603784536586314
25,NESZ,MYL4707OO005,NESTLE (MALAYSIA) BERHAD,2400,9392458,0.00925946307260125
26,IOIPG,MYL5249OO007,IOI PROPERTIES GROUP BHD,57700,8601218,0.008479426839107844
27,MRDIY,MYL5296OO008,MR DIY GROUP M BHD,131100,8250259,0.008133437333432433
28,PEP,MYL4065OO008,PPB GROUP BERHAD,22220,8180217,0.00806438711116568
29,99SMART,MYL5326OO003,99 SPEED MART RETAIL HOLDING,54500,7716919.000000001,0.007607649298485548
30,SUNMED,MYL5555OO007,SUNWAY HEALTHCARE HOLDINGS B,86310,6517894,0.0064256022016951535
31,IKQ6,-,KLCI 2608,13,43921932,0.0433000080949314
,,,,,,
,,,合計（Total）,,1011929428,0.9976007527150514
,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,1014363136,1
,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,
1560,"NEXT FUNDS ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信
　（NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund）",,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3047370006,
