No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",64500,230329500.00000003,0.06840835307667892
2,6501,JP3788600009,日立製作所,"HITACHI,LTD.",26400,139048800.00000003,0.04129779036245254
3,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,34700,131408900,0.039028723757130505
4,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,2200,122100000.00000001,0.03626396058977463
5,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,20000,105200000.00000001,0.031244624521247266
6,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,3100,100750000.00000001,0.029922965023913138
7,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,20200,96475200,0.02865334030049652
8,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",7400,92870000,0.027582588206161912
9,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",10500,85197000.00000001,0.0253036908301968
10,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,1000,81150000,0.02410172319295832
11,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",15600,77017200.00000001,0.02287427277260271
12,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,36900,74316600.00000001,0.02207218880889472
13,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",19600,73774400,0.021911154251713916
14,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",9900,73418400,0.021805421491927185
15,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,11500,67988000,0.020192581102191624
16,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",700,54733000,0.016255817812941314
17,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",9200,53360000,0.015848033882640247
18,7974,JP3756600007,任天堂,"NINTENDO CO.,LTD.",6500,49913500,0.01482441602700832
19,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,2000,49350000.00000001,0.014657055324368371
20,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,6200,44237000.00000001,0.013138483412038169
21,8002,JP3877600001,丸紅,MARUBENI CORPORATION,8400,43688400,0.012975548041198277
22,9432,JP3735400008,ＮＴＴ,"NTT,INC.",285900,43571160.00000001,0.012940727510980875
23,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,14000,40894000,0.012145605277299291
24,8750,JP3476480003,第一ライフグループ,"DAIICHI LIFE GROUP,INC.",19700,37794450.00000001,0.011225032312139295
25,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,167800,37486520.00000001,0.011133576444945115
26,8630,JP3165000005,ＳＯＭＰＯホールディングス,"SOMPO HOLDINGS,INC.",5100,36276300.00000001,0.010774138522054394
27,6954,JP3802400006,ファナック,FANUC CORPORATION,5000,35675000.00000001,0.010595551138740458
