No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,5020,JP3386450005,ＥＮＥＯＳホールディングス,"ENEOS HOLDINGS,INC.",793800,950178600.0000001,0.39978846413858055
2,1605,JP3294460005,ＩＮＰＥＸ,INPEX CORPORATION,263800,861307000.0000001,0.3623956619122009
3,5019,JP3142500002,出光興産,"IDEMITSU KOSAN CO.,LTD.",230600,276258800,0.11623612798348361
4,5021,JP3298000005,コスモエネルギーホールディングス,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",31100,117806800.00000001,0.04956731254216937
5,1662,JP3421100003,石油資源開発,"JAPAN PETROLEUM EXPLORATION CO.,LTD.",48500,77648500,0.03267067323728883
6,1515,JP3680800004,日鉄鉱業,"NITTETSU MINING CO.,LTD.",15100,34745100,0.01461903074363219
7,1663,JP3277020008,Ｋ＆Ｏエナジーグループ,K&O ENERGY GROUP INC.,7100,13497100,0.005678916447207751
8,5011,JP3665600007,ニチレキグループ,"NICHIREKI GROUP CO.,LTD.",6000,12558000,0.005283789313558834
9,5013,JP3948400001,ユシロ,YUSHIRO INC.,2900,8207000,0.003453102316959496
10,3315,JP3889610006,日本コークス工業,"NIPPON COKE & ENGINEERING COMPANY,LIMITE",57000,5415000,0.0022783659127983027
11,1514,JP3400750000,住石ホールディングス,"SUMISEKI HOLDINGS,INC.",7000,3682000.0000000005,0.0015492046705306282
,,,,,,,
,,,合計（Total）,,,2361303900,0.9935206492184105
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,2376703395,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1618,NEXT FUNDS エネルギー資源（TOPIX-17）上場投信　（NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF）,,,,,,
,"2026年6月30日現在　（as of June 30, 2026）",,,ISINコード：,JP3046570002,,
