No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,1925,JP3505000004,大和ハウス工業,"DAIWA HOUSE INDUSTRY CO.,LTD.",214800,1004834400.0000001,0.06919159847751384
2,1812,JP3210200006,鹿島建設,KAJIMA CORPORATION,172100,926414300.0000001,0.06379169171500006
3,1928,JP3420600003,積水ハウス,"SEKISUI HOUSE,LTD.",231400,807123200,0.05557746070027667
4,1802,JP3190000004,大林組,OBAYASHI CORPORATION,245700,777394800,0.05353040148715765
5,1801,JP3443600006,大成建設,TAISEI CORPORATION,58000,757770000.0000001,0.05217906311557971
6,5334,JP3738600000,日本特殊陶業,"NITERRA CO.,LTD.",64900,611033500.0000001,0.042074977317963995
7,3436,JP3322930003,ＳＵＭＣＯ,SUMCO CORPORATION,155500,522013500.00000006,0.03594517513715859
8,5201,JP3112000009,ＡＧＣ,AGC INC.,83700,508812300,0.03503615756190305
9,1803,JP3358800005,清水建設,SHIMIZU CORPORATION,212100,504691950.00000006,0.034752435584643096
10,5333,JP3695200000,ＮＧＫ,"NGK INSULATORS,LTD.",84700,473811800,0.03262606835465435
11,5332,JP3596200000,ＴＯＴＯ,TOTO LTD.,49200,344892000.00000006,0.023748817498790552
12,1944,JP3263000006,きんでん,KINDEN CORPORATION,44300,314087000.00000006,0.02162762500070349
13,1911,JP3409800004,住友林業,"SUMITOMO FORESTRY CO.,LTD.",201400,271386500,0.018687323742317945
14,5929,JP3344400001,三和ホールディングス,SANWA HOLDINGS CORPORATION,77800,267787600,0.018439508138313222
15,1942,JP3230600003,関電工,"KANDENKO CO.,LTD.",42500,228140000,0.01570942562939725
16,5991,JP3742600004,日本発條,"NHK SPRING CO.,LTD.",61600,222376000,0.015312524036831955
17,5938,JP3626800001,ＬＩＸＩＬ,LIXIL CORPORATION,127700,221559500,0.015256300901799068
18,5076,JP3153850007,インフロニア・ホールディングス,INFRONEER HOLDINGS INC.,81400,211395800,0.01455644165191082
19,5393,JP3660400007,ニチアス,NICHIAS CORPORATION,62200,208929800.00000003,0.014386636078131154
20,5233,JP3449020001,太平洋セメント,TAIHEIYO CEMENT CORPORATION,49000,199626000.00000003,0.013745988431200383
21,1808,JP3768600003,長谷工コーポレーション,HASEKO CORPORATION,69300,192654000,0.013265905519443752
22,1951,JP3254200003,エクシオグループ,"EXEO GROUP,INC.",73000,191114000.00000003,0.013159863109216385
23,1721,JP3305530002,コムシスホールディングス,COMSYS HOLDINGS CORPORATION,34900,183783400.00000003,0.012655087464792525
24,5344,JP3879250003,ＭＡＲＵＷＡ,"MARUWA CO.,LTD.",3300,183282000.00000003,0.012620561708631484
25,1963,JP3667600005,日揮ホールディングス,JGC HOLDINGS CORPORATION,79500,179630250,0.012369106921912136
26,1969,JP3455200000,高砂熱学工業,"TAKASAGO THERMAL ENGINEERING CO.,LTD.",41600,177382400.00000003,0.01221432287526955
27,5901,JP3613400005,東洋製罐グループホールディングス,"TOYO SEIKAN GROUP HOLDINGS,LTD.",40800,166137600,0.011440020476227528
28,1893,JP3309000002,五洋建設,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",110100,166030800.00000003,0.011432666366219554
29,5947,JP3977400005,リンナイ,RINNAI CORPORATION,41800,149644000,0.010304292490950828
30,1959,JP3247050002,クラフティア,KRAFTIA CORPORATION,16800,142648800,0.009822612057169992
31,5214,JP3733400000,日本電気硝子,"NIPPON ELECTRIC GLASS CO.,LTD.",26500,141059500.00000003,0.009713174912641192
32,3110,JP3684400009,日東紡績,"NITTO BOSEKI CO.,LTD.",50200,140560000,0.009678779988025235
33,1860,JP3627000007,戸田建設,TODA CORPORATION,94100,140256050,0.009657850383746919
34,1417,JP3910620008,ミライト・ワン,MIRAIT ONE CORPORATION,37800,134265600.00000003,0.00924535573676865
35,5301,JP3560800009,東海カーボン,"TOKAI CARBON CO.,LTD.",79900,122846250,0.008459034050255727
36,1961,JP3325600009,三機工業,"SANKI ENGINEERING CO.,LTD.",47700,110139300,0.0075840498913994575
37,1980,JP3486000007,ダイダン,"DAI-DAN CO.,LTD.",44900,109600900.00000001,0.007546976363044644
38,1719,JP3767810009,安藤・間,HAZAMA ANDO CORPORATION,58900,107463050,0.007399766774275436
39,5384,JP3820900003,フジミインコーポレーテッド,FUJIMI INCORPORATED,23700,90534000.00000001,0.006234054264626329
40,1414,JP3360250009,ショーボンドホールディングス,"SHO-BOND HOLDINGS CO.,LTD.",64800,85698000,0.005901053553029216
