No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,260600,1343393000.0000002,0.25952522248204923
2,4578,JP3188220002,大塚ホールディングス,"OTSUKA HOLDINGS CO.,LTD.",65200,704486000,0.13609709585020088
3,4568,JP3475350009,第一三共,"DAIICHI SANKYO COMPANY,LIMITED",268900,701425650,0.13550587793063235
4,4519,JP3519400000,中外製薬,"CHUGAI PHARMACEUTICAL CO.,LTD.",91700,690867800,0.1334662451722496
5,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,256900,558757500,0.1079443353516161
6,4507,JP3347200002,塩野義製薬,"SHIONOGI & CO.,LTD.",106900,298144100.00000006,0.057597377598521314
7,4523,JP3160400002,エーザイ,"EISAI CO.,LTD.",38200,157345800,0.030397064560866417
8,4528,JP3197600004,小野薬品工業,"ONO PHARMACEUTICAL CO.,LTD.",65300,155936400,0.030124787685397957
9,4536,JP3336000009,参天製薬,"SANTEN PHARMACEUTICAL CO.,LTD.",49300,105156900.00000001,0.020314880208563393
10,4151,JP3256000005,協和キリン,"KYOWA KIRIN CO.,LTD.",34400,88992800,0.017192196341130637
11,4527,JP3982400008,ロート製薬,"ROHTO PHARMACEUTICAL CO.,LTD.",30900,73758300.00000001,0.01424909852693719
12,4506,JP3495000006,住友ファーマ,"SUMITOMO PHARMA CO.,LTD.",29400,44129400,0.008525198771319593
13,4540,JP3535800001,ツムラ,TSUMURA & CO.,10100,37561900.00000001,0.007256447260294259
14,4516,JP3717600005,日本新薬,"NIPPON SHINYAKU CO.,LTD.",7700,30923200.000000004,0.0059739408794425046
15,4887,JP3323040000,サワイグループホールディングス,"SAWAI GROUP HOLDINGS CO.,LTD.",15100,25443500,0.004915337506017985
16,4547,JP3240600001,キッセイ薬品工業,"KISSEI PHARMACEUTICAL CO.,LTD.",4600,18814000,0.0036346084398067237
17,4521,JP3207000005,科研製薬,"KAKEN PHARMACEUTICAL CO.,LTD.",4300,16533500,0.0031940469139759998
18,4587,JP3836750004,ペプチドリーム,PEPTIDREAM INC.,14200,15115900,0.0029201859102410146
19,4553,JP3623150004,東和薬品,"TOWA PHARMACEUTICAL CO.,LTD.",3900,14878500,0.002874323465061355
20,4565,JP3431300007,ネクセラファーマ,"NXERA PHARMA CO.,LTD.",12800,12672000.000000002,0.0024480577309041567
21,4534,JP3922800002,持田製薬,"MOCHIDA PHARMACEUTICAL CO.,LTD.",3600,11484000.000000002,0.002218552318631892
22,4549,JP3160700005,栄研化学,"EIKEN CHEMICAL CO.,LTD.",4100,10438600.000000002,0.0020165952832872577
23,4559,JP3428850006,ゼリア新薬工業,"ZERIA PHARMACEUTICAL CO.,LTD.",3800,7755800.000000001,0.00149831487920979
24,4569,JP3247090008,杏林製薬,"KYORIN PHARMACEUTICAL CO.,LTD.",5900,6820400,0.0013176083450014764
25,4886,JP3119660003,あすか製薬ホールディングス,"ASKA PHARMACEUTICAL HOLDINGS CO.,LTD.",2800,6445600.000000001,0.0012452020920388125
26,4552,JP3701000006,ＪＣＲファーマ,"JCR PHARMACEUTICALS CO.,LTD.",12700,5880100,0.0011359551975607268
27,4554,JP3816200004,富士製薬工業,"FUJI PHARMA CO.,LTD.",2300,4583900,0.0008855470196252812
28,4577,JP3486150000,ダイト,"DAITO PHARMACEUTICAL CO.,LTD.",3600,4435200.000000001,0.0008568202058164549
29,4548,JP3414000004,生化学工業,SEIKAGAKU CORPORATION,5000,3585000,0.0006925731506700916
30,4538,JP3823600006,扶桑薬品工業,"FUSO PHARMACEUTICAL INDUSTRIES,LTD.",1100,2306700,0.00044562300882864726
31,4574,JP3442200006,大幸薬品,"TAIKO PHARMACEUTICAL CO.,LTD.",6100,1726300.0000000002,0.00033349763737846005
32,4880,JP3423580004,セルソース,"CELLSOURCE CO.,LTD.",1700,530400,0.00010246605275185958
,,,,,,,
,,,合計（Total）,,,5160328150,0.9969050837760294
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,5176348515,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1621,NEXT FUNDS 医薬品（TOPIX-17）上場投信　（NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF）,,,,,,
,"2026年6月30日現在　（as of June 30, 2026）",,,ISINコード：,JP3046600007,,
