No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,6501,JP3788600009,日立製作所,"HITACHI,LTD.",319800,1684386600,0.1055868447357301
2,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,420600,1592812200.0000002,0.0998464452605932
3,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,26400,1465200000.0000002,0.09184699338429299
4,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,37900,1231750000.0000002,0.07721303173703446
5,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,12600,1022490000.0000001,0.06409543561664328
6,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",120000,889920000.0000001,0.05578520089581628
7,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,139100,822359200,0.05155010920141446
8,6752,JP3866800000,パナソニック　ホールディングス,PANASONIC HOLDINGS CORPORATION,150000,642600000.0000001,0.04028178948180909
9,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,23600,582330000,0.03650372621995313
10,6954,JP3802400006,ファナック,FANUC CORPORATION,60000,428100000,0.02683572063050493
11,6702,JP3818000006,富士通,FUJITSU LIMITED,116800,427371200.00000006,0.026790035339228333
12,6723,JP3164720009,ルネサスエレクトロニクス,RENESAS ELECTRONICS CORPORATION,123100,423710200.00000006,0.026560543227038942
13,6701,JP3733000008,日本電気,NEC CORPORATION,83400,395316000.00000006,0.024780634750686027
14,285A,JP3236330001,キオクシアホールディングス,KIOXIA HOLDINGS CORPORATION,7700,358050000.00000006,0.022444591851792317
15,6762,JP3538800008,ＴＤＫ,TDK CORPORATION,109600,329676800,0.02066599977378848
16,6971,JP3249600002,京セラ,KYOCERA CORPORATION,73400,270919400.00000006,0.0169827548044476
17,4062,JP3148800000,イビデン,"IBIDEN CO.,LTD.",15900,264735000,0.01659508175920748
18,7751,JP3242800005,キヤノン,CANON INC.,56400,249739200.00000003,0.015655060503821063
19,6920,JP3979200007,レーザーテック,LASERTEC CORPORATION,5300,200923000,0.01259498597580692
20,4543,JP3546800008,テルモ,TERUMO CORPORATION,83500,194054000,0.012164398344386833
21,6504,JP3820000002,富士電機,"FUJI ELECTRIC CO.,LTD.",9100,129993500,0.008148725180522174
22,7733,JP3201200007,オリンパス,OLYMPUS CORPORATION,68100,123942000.00000001,0.007769383056262655
23,7735,JP3494600004,ＳＣＲＥＥＮホールディングス,"SCREEN HOLDINGS CO.,LTD.",9000,113400000.00000001,0.007108551085025133
24,6525,JP3293330001,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,KOKUSAI ELECTRIC CORPORATION,14600,108361200.00000001,0.006792690704009043
25,6963,JP3982800009,ローム,ROHM COMPANY LIMITED,24700,106975700,0.006705839755787681
26,6479,JP3906000009,ミネベアミツミ,MINEBEA MITSUMI INC.,22100,81814200.00000001,0.005128575133866519
27,6841,JP3955000009,横河電機,YOKOGAWA ELECTRIC CORPORATION,13300,76900600,0.004820562994436364
28,6976,JP3452000007,太陽誘電,"TAIYO YUDEN CO.,LTD.",7000,71575000,0.004486724373109999
29,7701,JP3357200009,島津製作所,SHIMADZU CORPORATION,16700,68369800,0.004285804373659182
30,6506,JP3932000007,安川電機,YASKAWA ELECTRIC CORPORATION,13800,67164600,0.004210255645549197
31,6856,JP3853000002,堀場製作所,"HORIBA,LTD.",2600,66755000.00000001,0.0041845796091785955
32,6448,JP3830000000,ブラザー工業,"BROTHER INDUSTRIES,LTD.",15300,61368300.00000001,0.0038469108955127675
33,6645,JP3197800000,オムロン,OMRON CORPORATION,10700,58101000.00000001,0.003642098118086819
34,7747,JP3110650003,朝日インテック,"ASAHI INTECC CO.,LTD.",15000,53895000.00000001,0.0033784423344570508
35,6869,JP3351100007,シスメックス,SYSMEX CORPORATION,32500,51967500.00000001,0.0032576157717023246
36,6845,JP3937200008,アズビル,AZBIL CORPORATION,30500,50797750.00000001,0.003184289249376856
37,6806,JP3799000009,ヒロセ電機,"HIROSE ELECTRIC CO.,LTD.",1800,49275000,0.00308883469765973
38,6724,JP3414750004,セイコーエプソン,SEIKO EPSON CORPORATION,15800,46610000,0.002921777478598072
39,7752,JP3973400009,リコー,"RICOH COMPANY,LTD.",29500,46595250,0.0029208528654719335
40,6965,JP3771800004,浜松ホトニクス,HAMAMATSU PHOTONICS K.K.,19500,45298500.00000001,0.0028395652674163227
41,7729,JP3580200008,東京精密,"TOKYO SEIMITSU CO.,LTD.",2400,41184000.00000001,0.0025816452194503976
42,7276,JP3284600008,小糸製作所,"KOITO MANUFACTURING CO.,LTD.",13000,35054500,0.0021974136156085846
43,7731,JP3657400002,ニコン,NIKON CORPORATION,15700,29971300.000000004,0.001878769992368728
44,6754,JP3128800004,アンリツ,ANRITSU CORPORATION,8300,29581200.000000004,0.001854316325893699
45,6674,JP3385820000,ジーエス・ユアサ　コーポレーション,GS YUASA CORPORATION,5200,28506400.000000004,0.0017869418046751362
