No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,9503,JP3228600007,関西電力,"THE KANSAI ELECTRIC POWER COMPANY,INCORP",270300,659667150,0.1978409093741879
2,9502,JP3526600006,中部電力,"CHUBU ELECTRIC POWER COMPANY,INCORPORATE",183800,512250600.00000006,0.15362918182521806
3,9531,JP3573000001,東京瓦斯,"TOKYO GAS CO.,LTD.",81200,504982800.00000006,0.15144949444628805
4,9532,JP3180400008,大阪瓦斯,"OSAKA GAS CO.,LTD.",85800,473187000,0.1419136095893874
5,9501,JP3585800000,東京電力ホールディングス,"TOKYO ELECTRIC POWER COMPANY HOLDINGS,IN",449600,233792000.00000003,0.07011660635884347
6,9508,JP3246400000,九州電力,"KYUSHU ELECTRIC POWER COMPANY,INCORPORAT",115000,204585000.00000003,0.06135712903745205
7,9506,JP3605400005,東北電力,"TOHOKU ELECTRIC POWER COMPANY,INCORPORAT",131300,154999650.00000003,0.04648597661514728
8,9513,JP3551200003,電源開発,"ELECTRIC POWER DEVELOPMENT CO.,LTD.",36200,137560000,0.04125564763004083
9,9504,JP3522200009,中国電力,"THE CHUGOKU ELECTRIC POWER COMPANY,INCOR",86700,81550020.00000001,0.024457683115315376
10,9533,JP3600200004,東邦瓦斯,"TOHO GAS CO.,LTD.",68300,79330450,0.023792011424342632
11,9507,JP3350800003,四国電力,"SHIKOKU ELECTRIC POWER COMPANY,INCORPORA",46400,77302400,0.023183778535595147
12,9509,JP3850200001,北海道電力,"HOKKAIDO ELECTRIC POWER COMPANY,INCORPOR",56200,57661200,0.017293182241387834
13,9505,JP3845400005,北陸電力,HOKURIKU ELECTRIC POWER COMPANY,51000,49036500,0.014706546706967848
14,9551,JP3921260000,メタウォーター,"METAWATER CO.,LTD.",6600,20361000.000000004,0.006106471658878028
15,9543,JP3351150002,静岡ガス,"SHIZUOKA GAS CO.,LTD.",12800,16140800.000000002,0.004840790616945065
16,9536,JP3311600005,西部ガスホールディングス,"SAIBU GAS HOLDINGS CO.,LTD.",5700,13457700,0.004036101549220707
17,9511,JP3194700005,沖縄電力,"THE OKINAWA ELECTRIC POWER COMPANY,INCOR",12700,13385800.000000002,0.0040145380055699375
18,9519,JP3981200003,レノバ,"RENOVA,INC.",13600,12648000,0.0037932642572314364
19,9534,JP3847000001,北海道瓦斯,"HOKKAIDO GAS CO.,LTD.",14900,11502800,0.003449807091878698
20,9517,JP3130830007,イーレックス,"EREX CO.,LTD.",10200,8619000.000000002,0.00258492604625852
21,3150,JP3952860009,グリムス,"GREMS,INC.",1800,4633200,0.00138954395608829
22,9535,JP3796200008,広島ガス,"HIROSHIMA GAS CO.,LTD.",10600,4536800,0.0013606326124452547
23,9514,JP3802140008,エフオン,EF-ON INC.,3600,1162800,0.0003487355849390192
,,,,,,,
,,,合計（Total）,,,3332352670,0.9994065682796289
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,3334331368,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1627,NEXT FUNDS 電力・ガス（TOPIX-17）上場投信　（NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3046660001,,
