No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,9020,JP3783600004,東日本旅客鉄道,EAST JAPAN RAILWAY COMPANY,82200,302167200,0.12598407936398281
2,9022,JP3566800003,東海旅客鉄道,CENTRAL JAPAN RAILWAY COMPANY,61400,244863200.00000003,0.10209203653513287
3,9101,JP3753000003,日本郵船,NIPPON YUSEN KABUSHIKI KAISHA,29400,179634000.00000003,0.07489570050114537
4,9104,JP3362700001,商船三井,"MITSUI O.S.K.LINES,LTD.",28300,166800200,0.06954484019022648
5,9202,JP3429800000,ＡＮＡホールディングス,ANA HOLDINGS INC.,40500,126198000,0.05261636222454291
6,9021,JP3659000008,西日本旅客鉄道,WEST JAPAN RAILWAY COMPANY,35500,106535500.00000001,0.04441837792811924
7,9201,JP3705200008,日本航空,"JAPAN AIRLINES CO.,LTD.",34100,100356300.00000001,0.04184205322045434
8,9042,JP3774200004,阪急阪神ホールディングス,"HANKYU HANSHIN HOLDINGS,INC.",19600,92414000,0.03853063042693948
9,9107,JP3223800008,川崎汽船,"KAWASAKI KISEN KAISHA,LTD.",32100,91485000.00000001,0.03814329781860496
10,9147,JP3688370000,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディン,"NIPPON EXPRESS HOLDINGS,INC.",16200,85503600.00000001,0.03564944285252086
11,9005,JP3574200006,東急,TOKYU CORPORATION,38300,66910100.00000001,0.027897162063427225
12,9041,JP3260800002,近鉄グループホールディングス,"KINTETSU GROUP HOLDINGS CO.,LTD.",15900,55077600.00000001,0.02296377876082414
13,9024,JP3417200007,西武ホールディングス,SEIBU HOLDINGS INC.,15300,54498600,0.0227223733999784
14,9001,JP3597800006,東武鉄道,"TOBU RAILWAY CO.,LTD.",15400,47678400,0.019878793361912603
15,9142,JP3247010006,九州旅客鉄道,KYUSHU RAILWAY COMPANY,11200,40275200.00000001,0.016792140223029772
16,9007,JP3196000008,小田急電鉄,"ODAKYU ELECTRIC RAILWAY CO.,LTD.",22600,39900300,0.016635831294219635
17,9143,JP3162770006,ＳＧホールディングス,"SG HOLDINGS CO.,LTD.",25000,39537500,0.016484567278822686
18,9064,JP3940000007,ヤマトホールディングス,"YAMATO HOLDINGS CO.,LTD.",18100,37457950,0.015617530114493234
19,9023,JP3583900000,東京地下鉄,"TOKYO METRO CO.,LTD.",23700,34542750,0.01440208122340948
20,9364,JP3219000001,上組,"KAMIGUMI CO.,LTD.",6500,33663500,0.014035491130968004
21,9009,JP3278600006,京成電鉄,"KEISEI ELECTRIC RAILWAY CO.,LTD.",25900,33139050.000000004,0.01381682957398088
22,9072,JP3709600005,ニッコンホールディングス,"NIKKON HOLDINGS CO.,LTD.",6300,31770900.000000004,0.013246399963547208
